compound_short,compound_full,formula,mass,rt,cas_id
hVPApC45,Carnitine,C7 H15 N O3,161.1054,6.39,541-15-1
hVPApC46,Phenylalanine,C9 H11 N O2,165.0792,2.88,63-91-2
hVPApC47,Pyridoxal,C8 H9 N O3,167.0578,1.29,66-72-8
hVPApC48,Pyridoxine,C8 H11 N O3,169.0742,1.28,65-23-6
hVPApC49,Glycerol 2-Phosphate,C3 H9 O6 P,172.0137,7.86,17181-54-3
hVPApC50,Arginine,C6 H14 N4 O2,174.1119,10.61,74-79-3
hVPApC51,Tyrosine,C9 H11 N O3,181.074,4.59,60-18-4
hVPApC52,D-Mannitol,C6 H14 O6,182.0776,4.59,69-65-8
hVPApC53,D-Sorbitol,C6 H14 O6,182.0796,4.12,50-70-4
hVPApC54,Phosphocholine,C5 H14 N O4 P,183.0666,9.18,107-73-3
hVPApC55,O-Phosphoserine,C3 H8 N O6 P,185.0089,8.7,407-41-0
hVPApC56,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.1526,11.09,55528-53-5
hVPApC57,Acetylcarnitine,C9 H17 N O4,203.116,4.94,5080-50-2
hVPApC58,Tryptophan,C11 H12 N2 O2,204.0899,3.01,73-22-3
hVPApC59,Phosphocreatine,C4 H10 N3 O5 P,211.0362,8.17,67-07-2
hVPApC60,Propionylcarnitine,C10 H19 N O4,217.1314,3.98,20064-19-1
hVPApC61,Pantothenic Acid,C9 H17 N O5,219.1109,2.64,137-08-6
hVPApC62,Cystathionine,C7 H14 N2 O4 S,222.0678,8.71,56-88-2
hVPApC63,Carnosine,C9 H14 N4 O3,226.1074,8.03,305-84-0
hVPApC64,Cytidine,C9 H13 N3 O5,243.086,2.69,65-46-3
hVPApC65,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.1031,7.24,28319-77-9
hVPApC66,D-Glucose 6-phosphate,C6 H13 O9 P,260.0297,8.8,56-73-5
hVPApC67,Thiamine (Vit B1),C12 H16 N4 O S,264.105,6.72,59-43-8
hVPApC68,Adenosine,C10 H13 N5 O4,267.0972,1.73,58-61-7
hVPApC69,Inosine,C10 H12 N4 O5,268.0813,2.27,58-63-9
hVPApC70,Guanosine,C10 H13 N5 O5,283.0917,3.19,118-00-3
hVPApC71,5'-Methylthioadenosine,C11 H15 N5 O3 S,297.0902,1.08,2457-80-9
hVPApC72,Sphinganine,C18 H39 N O2,301.2976,0.73,764-22-7
hVPApC73,N-Acetylaspartyl Glutamic Acid,C11 H16 N2 O8,304.0909,8.08,3106-85-2
hVPApC74,Glutathione (GSH),C10 H17 N3 O6 S,307.0843,7.26,70-18-8
hVPApC75,CMP,C9 H14 N3 O8 P,323.0514,8.09,63-37-6
hVPApC76,UMP,C9 H13 N2 O9 P,324.0379,8.01,58-97-9
hVPApC77,dAMP,C10 H14 N5 O6 P,331.0655,7.26,653-63-4
hVPApC78,Nicotinamide Mononucleotide,C11 H15 N2 O8 P,334.0571,8.9,1094-61-7
hVPApC79,3-Phosphoglyceroinositol,C9 H19 O11 P,334.0666,8.02,00-00-006
hVPApC80,AMP,C10 H14 N5 O7 P,347.0635,7.88,61-19-8
hVPApC81,S-Adenosylmethionine (SAM),C15 H22 N6 O5 S,398.1377,9.41,29908-03-0
hVPApC82,CDP,C9 H15 N3 O11 P2,403.018,8.88,63-38-7
hVPApC83,UDP,C9 H14 N2 O12 P2,404.0025,8.74,58-98-0
hVPApC84,ADP,C10 H15 N5 O10 P2,427.0297,8.45,58-64-0
hVPApC85,GDP,C10 H15 N5 O11 P2,443.0244,9.08,146-91-8
hVPApC86,UTP,C9 H15 N2 O15 P3,483.969,9.19,63-39-8
hVPApC87,CDP-Choline,C14 H26 N4 O11 P2,488.1077,8.34,987-78-0
hVPApC88,dATP,C10 H16 N5 O12 P3,491.0011,8.84,1927-31-7
hVPApC89,ATP,C10 H16 N5 O13 P3,506.9964,8.91,56-65-5
hVPApC90,GTP,C10 H16 N5 O14 P3,522.991,9.63,86-01-1
hVPApC91,Cyclic adenosine diphosphate ribose (cADP-ribose),C15 H21 N5 O13 P2,541.0614,8.16,119340-53-3
hVPApC92,ADP-Ribose,C15 H23 N5 O14 P2,559.0715,7.7,20762-30-5
hVPApC93,UDP-Galactose,C15 H24 N2 O17 P2,566.0553,8.1,2956-16-3
hVPApC94,ADP-Glucose,C16 H25 N5 O15 P2,589.0818,8.36,102129-65-7
hVPApC95,GDP-Glucose,C16 H25 N5 O16 P2,605.0766,8.75,5750-57-2
hVPApC96,UDP-N-Acetylgalactosamine,C17 H27 N3 O17 P2,607.0821,7.84,7277-98-7
hVPApC97,GSSG,C20 H32 N6 O12 S2,612.1524,9.42,27025-41-8
hVPApC98,NAD,C21 H27 N7 O14 P2,663.1094,8.16,53-84-9
hVPApC99,Sphingomyelin,C41 H83 N2 O6 P,730.5991,0.93,85187-10-6
hVPApC100,NADP,C21 H28 N7 O17 P3,743.0756,9.29,53-59-8
hVPApC101,Coenzyme A (CoA),C21 H36 N7 O16 P3 S,767.1149,7.94,85-61-0
hVPApC102,Flavin adenine dinucleotide (FAD),C27 H33 N9 O15 P2,785.1567,7.27,146-14-5
hVPApC103,Acetyl-CoA,C23 H38 N7 O17 P3 S,809.1256,7.75,72-89-9
