ENTRY,FORMULA,mol_weight,exact_mass,pathway,name,reaction,enzyme,brite,dblinks
C00214,C10H14N2O5,242.2286,242.0903,Pyrimidine metabolism;Metabolic pathways,Thymidine;Deoxythymidine,R01567 R01568 R01569 R01570 R01571 R02806,R01567 R01568 R01569 R01570 R01571 R02806,Compounds with biological roles [BR:br08001]; Nucleic acids;  Nucleosides;   Deoxyribonucleosides;    C00214  Deoxythymidine (dT),CAS: 50-89-5;PubChem: 3514;ChEBI: 17748;ChEMBL: CHEMBL52609;KNApSAcK: C00019698;PDB-CCD: THM;3DMET: B01191;NIKKAJI: J4.548I
C01817,C8H16N2O4S2,268.3536,268.0551,Cysteine and methionine metabolism,L-Homocystine;Homocystine,R01292,R01292,,CAS: 626-72-2;PubChem: 4941;ChEBI: 141698 17485;3DMET: B01502;NIKKAJI: J5.770C
C02494,C11H15N5O4,281.2679,281.1124,,1-Methyladenosine,R03885,R03885,,CAS: 15763-06-1;PubChem: 5506;ChEBI: 16020;ChEMBL: CHEMBL1866485;NIKKAJI: J130.848C
C16526,C20H38O2,310.5145,310.2872,Biosynthesis of unsaturated fatty acids,Icosenoic acid;Eicosenoic acid;11-Icosenoic acid;11-Eicosenoic acid;(11Z)-Icosenoic acid;(11Z)-Eicosenoic acid;(Z)-Icosa-11-enoic acid,R08186,R08186,Compounds with biological roles [BR:br08001]; Lipids;  Fatty acids;   Unsaturated fatty acids;    C16526  Icosenoic acid (20:1;11);Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0103 Unsaturated fatty acids;    Monounsaturated fatty acids;     C16526  (Z)-Icos-11-enoic acid,PubChem: 51090855;ChEBI: 32425;LIPIDMAPS: LMFA01030085;LipidBank: DFA0124;KNApSAcK: C00035628;NIKKAJI: J12.741H
C20792,C20H39NO2,325.5292,325.2981,cAMP signaling pathway,Oleoylethanolamide;OEA,,,,CAS: 111-58-0;PubChem: 254741259;ChEMBL: CHEMBL280065
C08320,C24H48O2,368.6367,368.3654,Biosynthesis of unsaturated fatty acids,Tetracosanoic acid;Lignoceric acid,R08185,R08185,Compounds with biological roles [BR:br08001]; Lipids;  Fatty acids;   Saturated fatty acids;    C08320  Lignoceric acid (24:0);Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0101 Straight chain fatty acids;    C08320  Tetracosanoic acid,CAS: 557-59-5;PubChem: 10518;ChEBI: 28866;ChEMBL: CHEMBL1173620;LIPIDMAPS: LMFA01010024;LipidBank: DFA0024;KNApSAcK: C00001223;3DMET: B02164;NIKKAJI: J11.350F
C03990,C24H40O3,376.5726,376.2977,Secondary bile acid biosynthesis;Bile secretion,Lithocholic acid;Lithocholate;3alpha-Hydroxy-5beta-cholanate;3alpha-Hydroxy-5beta-cholanic acid,R03978 R04139 R07203 R07206 R11145 R11539,R03978 R04139 R07203 R07206 R11145 R11539,"Compounds with biological roles [BR:br08001]; Steroids;  24-Carbon atoms;   Cholane derivatives;    C03990  Lithocholic acid;Lipids [BR:br08002]; ST  Sterol Lipids;  ST04 Bile acids and derivatives;   ST0401 C24 bile acids, alcohols, and derivatives;    C03990  3alpha-Hydroxy-5beta-cholanic acid",CAS: 434-13-9;PubChem: 6705;ChEBI: 16325;ChEMBL: CHEMBL1478 CHEMBL3137668 CHEMBL3348901;LIPIDMAPS: LMST04010003;LipidBank: BBA0003;PDB-CCD: 4OA;3DMET: B01708;NIKKAJI: J1.532F
C12272,C26H43NO3,417.6245,417.3243,Neuroactive ligand-receptor interaction,N-Oleoyl dopamine,,,,PubChem: 14417;ChEBI: 31883;ChEMBL: CHEMBL250711;NIKKAJI: J467.921K
C03204,C20H21N7O7,471.4234,471.1502,,10-Formyldihydrofolate,R02238,R02238,,CAS: 28459-40-7;PubChem: 6080;ChEBI: 15634;NIKKAJI: J527.535K
C00010,C21H36N7O16P3S,767.5341,767.1152,Fatty acid degradation;Carbapenem biosynthesis;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of antibiotics;Ferroptosis;Thermogenesis;Cholinergic synapse;Fat digestion and absorption;Vitamin digestion and absorption,CoA;Coenzyme A;CoA-SH,R00091 R00130 R00209 R00210 R00211 R00212 R00227 R00228;R00229 R00230 R00235 R00236 R00238 R00259 R00265 R00271;R00351 R00352 R00371 R00383 R00389 R00390 R00391 R00394;R00395 R00399 R00405 R00407 R00432 R00454 R00468 R00472;R00487 R00521 R00577 R00586 R00627 R00664 R00693 R00705;R00706 R00727 R00740 R00829 R00830 R00832 R00851 R00918;R00920 R00921 R00922 R00925 R00926 R00927 R00931 R00932;R00935 R00982 R00989 R00998 R01013 R01023 R01075 R01089;R01111 R01154 R01160 R01172 R01173 R01174 R01176 R01177;R01180 R01196 R01197 R01199 R01204 R01210 R01213 R01256;R01274 R01277 R01280 R01281 R01300 R01301 R01318 R01319;R01322 R01357 R01358 R01368 R01422 R01461 R01496 R01556;R01558 R01598 R01613 R01614 R01615 R01616 R01617 R01624;R01625 R01626 R01651 R01776 R01777 R01798 R01806 R01807;R01808 R01850 R01889 R01923 R01933 R01941 R01943 R01944;R01945 R01946 R01952 R01978 R01999 R02058 R02081 R02082;R02083 R02138 R02152 R02191 R02193 R02194 R02195 R02220;R02221 R02224 R02241 R02242 R02251 R02255 R02366 R02367;R02375 R02385 R02387 R02396 R02402 R02404 R02405 R02406;R02416 R02447 R02450 R02452 R02453 R02481 R02482 R02505;R02506 R02539 R02543 R02569 R02570 R02571 R02576 R02616;R02617 R02620 R02662 R02694 R02699 R02760 R02764 R02772;R02794 R02837 R02899 R02911 R02986 R03017 R03040 R03056;R03064 R03065 R03109 R03157 R03158 R03168 R03171 R03174;R03209 R03210 R03230 R03352 R03374 R03381 R03383 R03437;R03438 R03455 R03552 R03621 R03631 R03668 R03695 R03718;R03719 R03720 R03727 R03735 R03755 R03756 R03760 R03762;R03767 R03778 R03779 R03838 R03858 R03859 R03861 R03903;R03910 R03932 R03965 R03974 R03991 R03992 R03994 R04021;R04022 R04024 R04030 R04050 R04097 R04150 R04157 R04192;R04205 R04211 R04254 R04316 R04348 R04356 R04361 R04363;R04364 R04365 R04413 R04466 R04480 R04484 R04507 R04546;R04580 R04618 R04709 R04723 R04742 R04747 R04776 R04777;R04811 R04868 R04950 R05063 R05064 R05129 R05163 R05188;R05189 R05190 R05330 R05331 R05332 R05351 R05451 R05452;R05455 R05506 R05537 R05546 R05586 R05587 R05620 R05672;R05714 R05744 R05841 R05870 R05876 R05918 R06251 R06307;R06310 R06311 R06361 R06367 R06368 R06396 R06409 R06410;R06414 R06415 R06448 R06453 R06458 R06459 R06480 R06481;R06482 R06483 R06510 R06515 R06517 R06527 R06544 R06545;R06568 R06569 R06583 R06624 R06625 R06635 R06637 R06641;R06643 R06644 R06645 R06731 R06735 R06736 R06796 R06797;R06799 R06800 R06801 R06806 R06817 R06821 R06872 R06908;R06944 R06978 R06987 R06997 R07160 R07161 R07175 R07249;R07250 R07251 R07252 R07253 R07255 R07262 R07294 R07296;R07382 R07399 R07416 R07432 R07433 R07719 R07721 R07731;R07741 R07754 R07757 R07758 R07815 R07828 R07833 R07873;R07876 R07880 R07881 R07882 R07883 R07884 R07885 R07886;R07887 R07891 R07895 R07899 R07902 R07910 R07926 R07927;R07928 R07929 R07930 R07931 R07937 R07938 R07944 R07953;R07987 R07988 R07989 R08036 R08088 R08091 R08095 R08097;R08117 R08171 R08172 R08174 R08175 R08176 R08177 R08178;R08179 R08180 R08181 R08182 R08183 R08184 R08185 R08186;R08187 R08188 R08189 R08190 R08191 R08192 R08213 R08248;R08250 R08273 R08331 R08332 R08381 R08386 R08423 R08430;R08432 R08433 R08453 R08530 R08531 R08532 R08549 R08566;R08567 R08619 R08623 R08627 R08631 R08640 R08644 R08680;R08712 R08713 R08733 R08738 R08743 R08744 R08745 R08767;R08796 R08797 R08805 R08806 R08807 R08808 R08809 R08810;R08870 R08871 R08938 R08983 R09034 R09035 R09036 R09037;R09096 R09097 R09106 R09255 R09256 R09257 R09258 R09279;R09280 R09286 R09317 R09419 R09450 R09470 R09524 R09527;R09528 R09557 R09589 R09621 R09622 R09631 R09643 R09839;R09840 R09842 R09854 R09873 R10003 R10099 R10100 R10104;R10142 R10171 R10172 R10173 R10174 R10200 R10210 R10219;R10233 R10234 R10237 R10238 R10239 R10243 R10253 R10254;R10278 R10473 R10474 R10484 R10485 R10500 R10514 R10516;R10526 R10529 R10589 R10590 R10612 R10681 R10700 R10707;R10745 R10746 R10747 R10758 R10769 R10770 R10771 R10820;R10825 R10866 R10893 R10936 R10947 R10960 R10965 R10967;R10998 R11124 R11125 R11182 R11199 R11200 R11201 R11370;R11390 R11412 R11435 R11445 R11450 R11451 R11479 R11516;R11542 R11550 R11584 R11586 R11588 R11615 R11616 R11632;R11664 R11667 R11701 R11708 R11723 R11781 R11782 R11902;R11926 R11957 R11958 R12039 R12042 R12049 R12085 R12117;R12159,R00091 R00130 R00209 R00210 R00211 R00212 R00227 R00228;R00229 R00230 R00235 R00236 R00238 R00259 R00265 R00271;R00351 R00352 R00371 R00383 R00389 R00390 R00391 R00394;R00395 R00399 R00405 R00407 R00432 R00454 R00468 R00472;R00487 R00521 R00577 R00586 R00627 R00664 R00693 R00705;R00706 R00727 R00740 R00829 R00830 R00832 R00851 R00918;R00920 R00921 R00922 R00925 R00926 R00927 R00931 R00932;R00935 R00982 R00989 R00998 R01013 R01023 R01075 R01089;R01111 R01154 R01160 R01172 R01173 R01174 R01176 R01177;R01180 R01196 R01197 R01199 R01204 R01210 R01213 R01256;R01274 R01277 R01280 R01281 R01300 R01301 R01318 R01319;R01322 R01357 R01358 R01368 R01422 R01461 R01496 R01556;R01558 R01598 R01613 R01614 R01615 R01616 R01617 R01624;R01625 R01626 R01651 R01776 R01777 R01798 R01806 R01807;R01808 R01850 R01889 R01923 R01933 R01941 R01943 R01944;R01945 R01946 R01952 R01978 R01999 R02058 R02081 R02082;R02083 R02138 R02152 R02191 R02193 R02194 R02195 R02220;R02221 R02224 R02241 R02242 R02251 R02255 R02366 R02367;R02375 R02385 R02387 R02396 R02402 R02404 R02405 R02406;R02416 R02447 R02450 R02452 R02453 R02481 R02482 R02505;R02506 R02539 R02543 R02569 R02570 R02571 R02576 R02616;R02617 R02620 R02662 R02694 R02699 R02760 R02764 R02772;R02794 R02837 R02899 R02911 R02986 R03017 R03040 R03056;R03064 R03065 R03109 R03157 R03158 R03168 R03171 R03174;R03209 R03210 R03230 R03352 R03374 R03381 R03383 R03437;R03438 R03455 R03552 R03621 R03631 R03668 R03695 R03718;R03719 R03720 R03727 R03735 R03755 R03756 R03760 R03762;R03767 R03778 R03779 R03838 R03858 R03859 R03861 R03903;R03910 R03932 R03965 R03974 R03991 R03992 R03994 R04021;R04022 R04024 R04030 R04050 R04097 R04150 R04157 R04192;R04205 R04211 R04254 R04316 R04348 R04356 R04361 R04363;R04364 R04365 R04413 R04466 R04480 R04484 R04507 R04546;R04580 R04618 R04709 R04723 R04742 R04747 R04776 R04777;R04811 R04868 R04950 R05063 R05064 R05129 R05163 R05188;R05189 R05190 R05330 R05331 R05332 R05351 R05451 R05452;R05455 R05506 R05537 R05546 R05586 R05587 R05620 R05672;R05714 R05744 R05841 R05870 R05876 R05918 R06251 R06307;R06310 R06311 R06361 R06367 R06368 R06396 R06409 R06410;R06414 R06415 R06448 R06453 R06458 R06459 R06480 R06481;R06482 R06483 R06510 R06515 R06517 R06527 R06544 R06545;R06568 R06569 R06583 R06624 R06625 R06635 R06637 R06641;R06643 R06644 R06645 R06731 R06735 R06736 R06796 R06797;R06799 R06800 R06801 R06806 R06817 R06821 R06872 R06908;R06944 R06978 R06987 R06997 R07160 R07161 R07175 R07249;R07250 R07251 R07252 R07253 R07255 R07262 R07294 R07296;R07382 R07399 R07416 R07432 R07433 R07719 R07721 R07731;R07741 R07754 R07757 R07758 R07815 R07828 R07833 R07873;R07876 R07880 R07881 R07882 R07883 R07884 R07885 R07886;R07887 R07891 R07895 R07899 R07902 R07910 R07926 R07927;R07928 R07929 R07930 R07931 R07937 R07938 R07944 R07953;R07987 R07988 R07989 R08036 R08088 R08091 R08095 R08097;R08117 R08171 R08172 R08174 R08175 R08176 R08177 R08178;R08179 R08180 R08181 R08182 R08183 R08184 R08185 R08186;R08187 R08188 R08189 R08190 R08191 R08192 R08213 R08248;R08250 R08273 R08331 R08332 R08381 R08386 R08423 R08430;R08432 R08433 R08453 R08530 R08531 R08532 R08549 R08566;R08567 R08619 R08623 R08627 R08631 R08640 R08644 R08680;R08712 R08713 R08733 R08738 R08743 R08744 R08745 R08767;R08796 R08797 R08805 R08806 R08807 R08808 R08809 R08810;R08870 R08871 R08938 R08983 R09034 R09035 R09036 R09037;R09096 R09097 R09106 R09255 R09256 R09257 R09258 R09279;R09280 R09286 R09317 R09419 R09450 R09470 R09524 R09527;R09528 R09557 R09589 R09621 R09622 R09631 R09643 R09839;R09840 R09842 R09854 R09873 R10003 R10099 R10100 R10104;R10142 R10171 R10172 R10173 R10174 R10200 R10210 R10219;R10233 R10234 R10237 R10238 R10239 R10243 R10253 R10254;R10278 R10473 R10474 R10484 R10485 R10500 R10514 R10516;R10526 R10529 R10589 R10590 R10612 R10681 R10700 R10707;R10745 R10746 R10747 R10758 R10769 R10770 R10771 R10820;R10825 R10866 R10893 R10936 R10947 R10960 R10965 R10967;R10998 R11124 R11125 R11182 R11199 R11200 R11201 R11370;R11390 R11412 R11435 R11445 R11450 R11451 R11479 R11516;R11542 R11550 R11584 R11586 R11588 R11615 R11616 R11632;R11664 R11667 R11701 R11708 R11723 R11781 R11782 R11902;R11926 R11957 R11958 R12039 R12042 R12049 R12085 R12117;R12159,Compounds with biological roles [BR:br08001]; Vitamins and Cofactors;  Cofactors;   Coenzymes;    C00010  CoA,CAS: 85-61-0;PubChem: 3312;ChEBI: 15346;ChEMBL: CHEMBL1213327 CHEMBL1623949;KNApSAcK: C00007258;PDB-CCD: COA;3DMET: B04618;NIKKAJI: J192.630F
C03056,C5H5NO2,111.0987,111.032,Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments,"2,6-Dihydroxypyridine",R04130 R07515,R04130 R07515,,CAS: 626-06-2;PubChem: 5956;ChEBI: 17681;ChEMBL: CHEMBL3086507;3DMET: B00531;NIKKAJI: J58.008B
C00179,C5H14N4,130.1915,130.1218,Arginine and proline metabolism;Metabolic pathways,Agmatine;(4-Aminobutyl) guanidine,R00566 R01157 R01416 R01417 R01418 R01425 R01617 R09255;R10338 R10496,R00566 R01157 R01416 R01417 R01418 R01425 R01617 R09255;R10338 R10496,Phytochemical compounds [BR:br08003]; Amino acid related compounds;  Others;   Amines;    C00179  Agmatine;Target-based classification of compounds [BR:br08010]; G Protein-coupled receptors;  Rhodopsin family: amine receptors;   Adrenaline;    alpha2a-adrenergic receptor;     C00179  Agmatine;    alpha2b-adrenergic receptor;     C00179  Agmatine;    alpha2c-adrenergic receptor;     C00179  Agmatine,CAS: 306-60-5;PubChem: 3479;ChEBI: 17431;ChEMBL: CHEMBL58343;KNApSAcK: C00001400;PDB-CCD: AG2;3DMET: B00052;NIKKAJI: J11.608D
C00315,C7H19N3,145.2459,145.1579,Arginine and proline metabolism;beta-Alanine metabolism;Glutathione metabolism;Phenylpropanoid biosynthesis;Metabolic pathways;ABC transporters;Bile secretion,"Spermidine;N-(3-Aminopropyl)-1,4-butane-diamine",R01914 R01915 R01917 R01918 R01919 R01920 R02869 R03899;R05329 R07300 R07477 R08983 R09076 R09077 R09081 R09531;R10347 R11154 R11159 R11199 R11200,R01914 R01915 R01917 R01918 R01919 R01920 R02869 R03899;R05329 R07300 R07477 R08983 R09076 R09077 R09081 R09531;R10347 R11154 R11159 R11199 R11200,,CAS: 124-20-9;PubChem: 3609;ChEBI: 16610;ChEMBL: CHEMBL19612;KNApSAcK: C00001431;PDB-CCD: SPD SR0;3DMET: B01214;NIKKAJI: J10.054D
C00534,C8H12N2O2,168.1931,168.0899,Vitamin B6 metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Vitamin digestion and absorption,Pyridoxamine;PM,R01710 R01712 R01713 R02493 R02494 R05839,R01710 R01712 R01713 R02493 R02494 R05839,Compounds with biological roles [BR:br08001]; Vitamins and Cofactors;  Vitamins;   Water-soluble vitamins;    C00534  Pyridoxamine (Vitamin B6);Risk category of Japanese OTC drugs [BR:br08312]; Third-class OTC drugs;  Inorganic and organic chemicals;   Pyridoxine hydrochloride;    C00534  Pyridoxamine,CAS: 85-87-0;PubChem: 3816;ChEBI: 16410;ChEMBL: CHEMBL593019;KNApSAcK: C00007504;PDB-CCD: PXM;3DMET: B00123;NIKKAJI: J3.891A
C05422,C6H6O6,174.1082,174.0164,Ascorbate and aldarate metabolism;Glutathione metabolism;Metabolic pathways,Dehydroascorbate;Dehydroascorbic acid;L-Dehydroascorbate;L-Dehydroascorbic acid,R00068 R00644 R01108 R02535 R03185 R03186 R03912 R04785;R07178 R07179 R07214 R07679 R08358 R10055 R12144,R00068 R00644 R01108 R02535 R03185 R03186 R03912 R04785;R07178 R07179 R07214 R07679 R08358 R10055 R12144,,CAS: 490-83-5;PubChem: 7786;ChEBI: 27956;KNApSAcK: C00007380;PDB-CCD: UU3;3DMET: B01855;NIKKAJI: J12.580F
C00333,C6H10O7,194.1394,194.0427,Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways;ABC transporters,D-Galacturonate;D-Galacturonic acid,R01980 R01981 R01982 R01983 R01984 R04320 R06201 R07413;R07676 R10565 R10841,R01980 R01981 R01982 R01983 R01984 R04320 R06201 R07413;R07676 R10565 R10841,Compounds with biological roles [BR:br08001]; Carbohydrates;  Monosaccharides;   Sugar acids;    C00333  D-Galacturonic acid,CAS: 685-73-4;PubChem: 3627;ChEBI: 12952 4153;KNApSAcK: C00001120;PDB-CCD: ADA GTR;3DMET: B04672;NIKKAJI: J82.118G
C19670,C18H35NO,281.4766,281.2719,,Oleamide;Oleyl amide;(Z)-9-Octadecenamide,R09537,R09537,,CAS: 301-02-0;PubChem: 135626138;ChEMBL: CHEMBL15927
C00665,C6H14O12P2,340.1157,339.996,Fructose and mannose metabolism;AMPK signaling pathway;Glucagon signaling pathway;Central carbon metabolism in cancer,"beta-D-Fructose 2,6-bisphosphate;D-Fructose 2,6-bisphosphate",R00763 R02730 R02731 R02732,R00763 R02730 R02731 R02732,,PubChem: 3934;ChEBI: 28602;PDB-CCD: FDP;3DMET: B01302;NIKKAJI: J470.690K
C00440,C20H25N7O6,459.4558,459.1866,One carbon pool by folate;Carbon fixation pathways in prokaryotes;Metabolic pathways;Microbial metabolism in diverse environments;Carbon metabolism;Antifolate resistance,5-Methyltetrahydrofolate,R00946 R01217 R01224 R02289 R02573 R02912 R07168 R09270;R09271 R10136 R10243 R10333,R00946 R01217 R01224 R02289 R02573 R02912 R07168 R09270;R09271 R10136 R10243 R10333,,CAS: 134-35-0;PubChem: 3729;ChEBI: 15641;ChEMBL: CHEMBL1221561 CHEMBL1231574;KNApSAcK: C00007252;PDB-CCD: C2F THH;3DMET: B04681;NIKKAJI: J356.349I
C02612,C5H8O5,148.114,148.0372,"Valine, leucine and isoleucine biosynthesis;C5-Branched dibasic acid metabolism;Metabolic pathways;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",(R)-2-Methylmalate;(R)-2-Methylmalic acid;(R)-Citramalate;(R)-Citramalic acid;(R)-alpha-Hydroxypyrotartaric acid;D-Citramalate;D-Citramalic acid;D-alpha-Hydroxypyrotartaric acid;(2R)-2-Hydroxy-2-methylbutanedioate,R03896 R03995 R07399 R10640,R03896 R03995 R07399 R10640,,PubChem: 5597;ChEBI: 15586 30934;3DMET: B00465;NIKKAJI: J73.970G
C00415,C19H21N7O6,443.4133,443.1553,One carbon pool by folate;Folate biosynthesis;Biosynthesis of phenylpropanoids;Metabolic pathways;Antifolate resistance,"Dihydrofolate;Dihydrofolic acid;7,8-Dihydrofolate;7,8-Dihydrofolic acid;7,8-Dihydropteroylglutamate",R00936 R00939 R01670 R02101 R02235 R02236 R02237 R02238,R00936 R00939 R01670 R02101 R02235 R02236 R02237 R02238,,CAS: 4033-27-6;PubChem: 3705;ChEBI: 15633;ChEMBL: CHEMBL46294;KNApSAcK: C00007248;PDB-CCD: DHF;3DMET: B01240;NIKKAJI: J373.767E
C03722,C7H5NO4,167.1189,167.0219,"Tryptophan metabolism;beta-Alanine metabolism;Nicotinate and nicotinamide metabolism;Biosynthesis of plant secondary metabolites;Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid;Metabolic pathways","Quinolinate;Pyridine-2,3-dicarboxylate;Quinolinic acid;2,3-Pyridinedicarboxylic acid",R00915 R03348 R04292 R04293,R00915 R03348 R04292 R04293,,CAS: 89-00-9;PubChem: 6487;ChEBI: 16675;ChEMBL: CHEMBL286204;KNApSAcK: C00007381;PDB-CCD: NTM;3DMET: B00627;NIKKAJI: J4.298F
C00341,C10H20O7P2,314.2091,314.0684,Ubiquinone and other terpenoid-quinone biosynthesis;Terpenoid backbone biosynthesis;Monoterpenoid biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of alkaloids derived from terpenoid and polyketide;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics,Geranyl diphosphate,R01658 R02003 R02004 R02006 R02007 R02009 R02010 R02011;R02013 R05765 R05766 R06120 R06421 R07631 R07632 R08393;R08394 R08395 R08396 R08397 R08398 R08399 R08528 R09040;R09250 R09940 R09961 R09962 R09963 R09964 R09965 R09966;R09968 R09969 R09970 R09971 R09972 R09974 R09975 R10176;R10509 R10969 R11086 R11087 R11551 R11602 R11603 R11842;R12089,R01658 R02003 R02004 R02006 R02007 R02009 R02010 R02011;R02013 R05765 R05766 R06120 R06421 R07631 R07632 R08393;R08394 R08395 R08396 R08397 R08398 R08399 R08528 R09040;R09250 R09940 R09961 R09962 R09963 R09964 R09965 R09966;R09968 R09969 R09970 R09971 R09972 R09974 R09975 R10176;R10509 R10969 R11086 R11087 R11551 R11602 R11603 R11842;R12089,Lipids [BR:br08002]; PR  Prenol Lipids;  PR01 Isoprenoids;   PR0102 C10 isoprenoids (monoterpenes);    PR010201 Acyclic monoterpenoids;     C00341  Geranyl diphosphate;Phytochemical compounds [BR:br08003]; Terpenoids;  Monoterpenoids (C10);   Linear monoterpenes;    C00341  Geranyl diphosphate,PubChem: 3634;ChEBI: 17211;ChEMBL: CHEMBL41342;LIPIDMAPS: LMPR0102010001;LipidBank: IIP0003;KNApSAcK: C00000846;PDB-CCD: GPP;3DMET: B00091;NIKKAJI: J1.452.575K J39.583H
C00109,C4H6O3,102.0886,102.0317,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Propanoate metabolism;C5-Branched dibasic acid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",2-Oxobutanoate;2-Ketobutyric acid;2-Oxobutyric acid;2-Oxobutyrate;2-Oxobutanoic acid;alpha-Ketobutyric acid;alpha-Ketobutyrate,R00654 R00993 R00994 R00995 R00996 R00997 R00998 R00999;R01000 R01001 R01199 R01283 R04673 R04770 R04930 R05840;R06987 R08637 R08648 R10991 R10992 R10996 R11098,R00654 R00993 R00994 R00995 R00996 R00997 R00998 R00999;R01000 R01001 R01199 R01283 R04673 R04770 R04930 R05840;R06987 R08637 R08648 R10991 R10992 R10996 R11098,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   2-Oxocarboxylic acids;    C00109  2-Oxobutanoate;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0106 Oxo fatty acids;    C00109  2-Oxobutanoic acid,CAS: 600-18-0;PubChem: 3409;ChEBI: 16763 30831;ChEMBL: CHEMBL171246;LIPIDMAPS: LMFA01060002;LipidBank: DFA0386;KNApSAcK: C00019675;PDB-CCD: 2KT;3DMET: B00028;NIKKAJI: J2.726J
C00108,C7H7NO2,137.136,137.0477,"Tryptophan metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Phenazine biosynthesis;Dioxin degradation;Aminobenzoate degradation;Biosynthesis of secondary metabolites - unclassified;Acridone alkaloid biosynthesis;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of alkaloids derived from shikimate pathway;Biosynthesis of plant hormones;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Degradation of aromatic compounds;Biosynthesis of amino acids;Benzoic acid family",Anthranilate;Anthranilic acid;o-Aminobenzoic acid;Vitamin L1;2-Aminobenzoate,R00823 R00825 R00980 R00982 R00983 R00984 R00985 R00986;R00987 R00988 R00989 R00990 R00991 R01073 R01816 R02453;R05365 R07734 R08473 R08477 R09517 R10451 R10495 R12035,R00823 R00825 R00980 R00982 R00983 R00984 R00985 R00986;R00987 R00988 R00989 R00990 R00991 R01073 R01816 R02453;R05365 R07734 R08473 R08477 R09517 R10451 R10495 R12035,Carcinogens [BR:br08008]; Group 3: Not classifiable as to its carcinogenicity to humans;  Compounds;   C00108  Anthranilate,CAS: 118-92-3;PubChem: 3408;ChEBI: 16567 30754;ChEMBL: CHEMBL14173;KNApSAcK: C00007382;PDB-CCD: BE2;3DMET: B00027;NIKKAJI: J2.912B
C16656,C8H12O2,140.1797,140.0837,Drug metabolism - cytochrome P450,"2-Propyl-2,4-pentadienoic acid;2,4-Diene-VPA",R08329,R08329,"Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0102 Branched fatty acids;    C16656  2-Propyl-2,4-pentadienoic acid",CAS: 72010-18-5;PubChem: 51090980;ChEBI: 80642;ChEMBL: CHEMBL3706507;NIKKAJI: J391.097K
