,Experiment,Folate,Status,Linoleic Acid,9(S)-HODE,9(S)-HpODE,Mead Ethanolamide,Noladin,Docosatrienoic Acid (22:3 n-3),Xanthine,N-Carbamoyl-L-aspartic Acid,Deoxyuridine,Glycerol 1-Phosphate / Glycerol 3-Phosphate,Riboflavin,Pantothenic Acid,Deoxycytidine,N-Methylnicotinate,Methylglyoxal,Phosphocreatine,Cysteamine,ATP,UTP,NADP,CMP,Creatine,Aspartic Acid,Alanine,Sarcosine,Serine,Creatinine,Proline,Guanidinoacetic Acid,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Citrulline,Tyrosine,Tryptophan,5'-Methylthioadenosine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,Phosphatidylethanolamine(32:0),Pyridoxal,Pyridoxine,Protoporphyrin,NAD,Flavin adenine dinucleotide (FAD),2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Thymine,Adenine,Hypoxanthine,Guanine,Thymidine,Cytidine,Uridine,2'-Deoxyguanosine,Adenosine,Inosine,Guanosine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Cytosine,Retinoic Acid,Archidonoyl glycine,4-Pyridoxic Acid,Biotin,Phenylacetic Acid,4-Aminobutyric Acid (GABA),Ornithine,4-Guanidinobutyric Acid,Glutamine,Histidine,3-Methoxytyrosine,S-Adenosylhomocysteine (SAH),Threonine,O-Phosphoethanolamine,Hypotaurine,Glutathione,Orotic Acid,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,2-Aminoadipic Acid,N-Acetylglutamic Acid,Kynurenine,"15-deoxy-delta-12,14-Prostaglandin J2",5-Methyl-tetrahydrofolic acid (5-CH3-THF),4-Acetamidobutanoic Acid,Urocanic Acid,ADP,Allantoin,Quinolinic Acid,Putrescine,S-Adenosylmethionine (SAM),Deoxycarnitine,Phosphocholine,Glycerol-3-phosphocholine,Sphingosine,Sphingomyelin,Carnitine,Nicotinamide,Nicotinamide Mononucleotide,Choline,Betaine,GTP,Arginine,CTP,gamma-Linolenic Acid,PAF C18:1,Arachidonoyl-PAF,Spermidine,Trimethylamine N-oxide,D-Erythrose,D-Glyceraldehyde 3-phosphate (G3P),NADH,Acetylcarnitine,Butyrylcarnitine,Valerylcarnitine,L-Hexanoylcarnitine,3-Phosphoglyceroinositol,Tetradecanoylcarnitine,Hexadecenoylcarnitine,Palmitoylcarnitine,Linolenyl carnitine,Linoleyl carnitine,Oleoylcarnitine,Stearoylcarnitine,LysoPE(18:2),LysoPE(18:0),LysoPC(16:1),LysoPC(16:0),LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PC(34:2),PC(35:2),PC(36:4),PC(36:2),Cysteineglutathione disulfide,5-Methylcytidine,AMP,Succinoadenosine
p263_5,cd_exp1,2ppm,A cd/cd,62663.49171,255221.3462,135180.8712,863177.8428,13051.12409,132731.0141,68667.61792,142119.5632,160336.9956,3991.249524,20091.48261,539969.6023,15442.09544,4005.081432,7638.156716,5476.841782,2627.449699,62360.04996,472.9110016,,22567.60082,16962738.33,815932.3043,3357371.492,661472.1867,960093.9212,200861.5915,15249188.08,19430.85344,3785374.122,2888349.109,3321247.065,700654.2944,867449.0365,6447466.245,1781983.944,2813834.812,28357.74086,1412151.339,427734.6717,227532.7628,555588.5368,2391.872587,83954.26232,157915.0399,13580.20863,9204.201712,99742.1872,82869.01142,77930.48676,59587.43504,253527.3626,11489263.79,117993.4222,49287.55058,683625.0925,50881.38431,934274.728,2463963.251,81688.57201,22796.18434,197704.8573,184238.3657,92188.79895,1348174.642,84858.21975,38897.7753,132157.3793,7214.346044,7400.311415,48688.63999,24404.71471,151710.9303,65308.08668,113640.1591,4300.075863,21913.57545,1187699.567,19347.96082,332775.003,19088.02989,7544920.111,322611.1138,1687.407374,46163.50531,2703471.037,166333.7201,230785.4779,364096.8052,34801.14998,24274.40113,280403.0782,1026.866049,99474.39338,13972.33115,60433.84533,212289.5008,4403.047052,12928.77258,201717.2179,124491.5917,274545.1341,6569.649485,59605.82309,110805.663,65401.20487,1992024.947,3402330.196,64926.35862,48795.66764,3281380.01,794783.2262,520.7153789,17377192.75,4688864.306,388.2616232,1906335.771,689.1239953,66156.96606,15041.63771,755964.1266,94403.55892,46164.17372,118369.2046,485.757811,1721.043613,686195.8784,1022057.856,65224.78571,25912.09864,12031.08551,5356.296306,12255.90383,34897.36315,20749.28376,138205.0489,288035.3781,226507.2663,16739.76759,62554.19297,34415.86644,352794.3949,99729.89095,187656.8603,586915.1058,21366973.68,184643.4065,18260736.48,8367067.026,2625.017666,30962.42204,329152.5538,38975.8481
p320_4,cd_exp1,2ppm,A cd/cd,62745.09827,220588.4327,96151.13886,667797.0234,16329.2182,110443.3407,53584.80187,97230.77539,189145.3694,9565.513601,9085.482511,1054593.415,31595.82268,7712.506686,9659.823176,17136.58499,3669.827715,84642.16914,3488.362356,1132.133841,27963.73333,16205869.04,936216.3159,4715606.351,657409.5223,1367013.235,215349.9293,16811314.57,45356.27451,5056134.948,4619244.414,5898893.53,994034.8986,1323265.362,8910344.258,2710614.191,4405319.294,24485.50215,2398314.689,701129.105,279917.2191,715860.607,2792.96731,89441.67348,164602.7332,20428.63327,25657.11595,54134.19184,130638.4068,106716.6044,48543.18705,322741.3802,12830010.42,135737.3746,36601.76172,794952.8846,46264.09087,935732.4672,2912402.571,124162.3027,19048.23627,258160.9712,238896.5922,60976.33835,254549.0344,434606.9544,49389.52568,142208.1169,10458.92186,11223.65647,9701.349721,28349.02879,216617.528,39634.00951,82412.72613,4776.843218,28388.56718,1294371.963,20427.1801,527220.6868,21864.79221,11926894.56,421109.4903,4198.259649,70356.53391,3872626.626,185752.2862,194752.7151,329927.2128,26197.12694,24109.35102,417600.0701,4196.754892,159197.1169,6892.233356,81236.49249,139132.0666,5672.897831,10567.89751,403468.0884,151550.1691,321710.0393,9489.900347,42394.85148,80021.31355,102183.0439,3614916.081,2875990.941,88750.9644,53796.32254,4313720.996,819907.0261,5365.140177,22401066.26,5085660.887,727.5070857,2827418.56,2914.162347,55104.87962,15475.95652,537188.575,102199.4721,49545.06481,201002.5004,170.501134,616.2195482,915456.9663,1298676.78,97430.89625,43802.21229,9530.869944,18478.17221,46419.77605,163887.9719,21868.53974,126382.3525,371197.4986,696714.117,18621.05166,68164.7925,45819.00135,427974.9356,98700.50697,238873.068,667013.1643,21972955.27,171686.7215,14056742.2,9578393.241,7328.892376,61617.75939,375966.9537,103434.4041
p367_7,cd_exp1,2ppm,A cd/cd,63729.46515,263920.7898,87781.85909,676420.1623,10692.32095,121015.8132,96912.47543,140937.2723,331711.6202,4538.093556,5731.857765,1195670.215,57655.40107,9825.263871,18471.17666,50848.44782,2087.687253,194639.8602,20766.01734,2968.879913,12080.62939,19642995.47,1294710.014,5313412.513,779010.1041,1422269.72,212553.1735,21979020.29,73265.83379,5624578.79,4366630.563,5214257.142,1311484.359,1786171.507,10663934.48,2752633.923,4049249.103,40738.32643,2056838.578,610114.203,482956.3846,1000482.614,3200.837927,115342.7909,194406.7881,22589.19265,41883.89102,57479.62224,187826.8091,202832.88,37816.00442,299405.2568,14108159.64,182336.917,62470.28926,1051546.958,150359.2204,678203.0621,3060770.674,109881.5143,87997.14308,208464.3425,203200.8991,81244.59936,177122.387,294813.5252,46496.34753,68644.24846,17874.44589,13735.48436,33918.42899,44356.56704,216566.034,68910.62302,85982.4129,15240.78182,23809.29112,1830870.087,22609.1546,548291.6375,22389.96079,11830103.48,566320.2714,7132.442044,68792.73426,4025981.347,244029.3864,302669.1164,190077.6294,32431.43916,10195.53399,596125.2688,3534.912849,160324.6828,17885.56662,120863.7415,189114.1911,5840.516073,18358.90275,213930.3289,177328.2745,721864.006,10919.39969,51942.38061,506731.6975,104049.1461,1250900.261,7150099.373,142893.505,82075.71869,6313040.533,535632.0432,4449.320885,11435602.6,7083216.442,11220.5082,5172526.384,16033.36068,86660.96536,29722.21656,643473.9956,144448.8676,88175.10484,141152.2125,2338.701685,955.04562,1498289.301,1607775.632,86681.25127,34219.94331,16270.70565,26617.70424,33104.79496,84974.13146,13109.64875,40546.93062,132952.5893,691139.4758,20560.88918,81829.46959,57691.67847,877317.5821,171681.4605,371354.6935,1646989.592,20809575.21,161740.6783,14063599.22,9282862.766,12557.87335,78092.23316,187725.8781,25074.2724
p414_4,cd_exp1,2ppm,A cd/cd,62673.31512,300115.0994,170810.588,942282.9231,21174.45597,146301.6611,19800.367,125330.4587,7345.162782,2927.609676,1477.50967,226228.9533,5327.773435,17261.35585,2908.406004,52726.0298,4105.234409,142012.2298,10645.62222,6495.807285,27114.33569,14767920.98,1250156.62,3159059.058,623674.8591,749443.7607,182653.8001,16430612.11,95155.60902,2631912.442,1707558.82,2305043.407,560662.4532,441295.682,9341980.022,1115753.423,2043503.777,40712.17843,1115918.722,316512.2206,633051.0144,1012857.981,3945.548956,179799.3626,290559.4334,17119.53953,15983.57347,27685.37808,42616.28849,222783.0382,54256.52612,181979.1222,14054504.64,222121.9195,74480.86887,120318.6715,32982.10492,467358.6996,1379505.517,51348.83557,14805.70678,108619.3463,74568.6575,16158.73646,177499.1499,335601.7486,13045.87877,121110.4509,18536.87892,12896.37943,111955.2588,33310.47166,68226.74253,36485.33529,130236.0954,2461.657842,10262.82249,894081.3431,32328.92585,256059.2101,28291.95256,2693545.952,267221.8629,350.0102327,74523.10068,2347115.993,276637.3842,355328.3334,221821.9731,20238.30614,21313.92853,316383.2422,1928.690113,123297.9888,22277.5029,110541.168,182867.9771,3463.055265,31653.17755,477543.1819,186562.7532,50560.81255,3726.192829,55700.80953,81136.35281,102115.3986,11031933.63,4613737.313,89438.81947,214536.4079,4364954.884,954481.5326,4866.494169,10284103.57,7276302.196,4977.987648,1171891.457,10109.66508,55401.38825,22424.52227,660545.8775,90103.78238,54278.47783,296716.8832,2608.268942,380.3530647,1157104.653,1113989.661,87753.39684,16653.05488,24941.02818,12548.47861,16119.99941,46463.3414,8548.384551,32491.42046,79469.27965,177738.3847,23437.34173,85370.38853,48098.20222,831859.304,203806.6794,336520.4354,1574156.31,21911965.02,186761.7446,17080706.35,8153268.013,4105.959446,,289826.5227,27697.88289
p201_6,cd_exp1,10ppm,N wt/wt,64107.91166,241895.5965,111242.7013,583898.5051,5108.829427,93061.75957,,61679.41494,54881.30309,5905.67558,5944.194995,1380743.334,62081.95696,7143.486515,2908.988152,39621.37734,12509.75789,107016.6125,8619.583262,1623.815853,19079.82288,20139337.52,833179.381,4976225.117,849628.841,1310511.969,325060.3652,20757817.83,24273.81032,6442705.05,4596769.5,6365653.794,995737.6531,1573891.02,8229263.449,2559915.762,4899659.572,25626.51182,2462606.55,855364.6913,597663.4533,513468.2716,7906.40079,115305.0819,232559.5435,15738.4141,29879.86517,50916.90191,202774.9105,199341.6972,56866.5498,156944.0072,15291819.66,141804.9756,37668.0679,346388.2959,59446.66749,720225.6315,1869442.099,113237.9296,26770.52474,175758.2549,48226.46708,98225.21915,176025.7096,249795.1012,59775.73689,112313.2738,12417.64356,9738.316113,20040.36392,7840.856556,226409.6821,52037.6644,80052.62923,1546.497172,19596.34102,219907.4485,19816.48689,312812.447,19722.812,7724978.97,438090.8422,5592.339751,66326.71331,4015339.369,235887.1601,269274.9736,1396866.536,14052.80961,18079.99914,529983.2955,5464.954309,157977.0642,19293.08407,96667.55502,149529.9094,7447.137132,8890.987455,192529.8519,151110.2043,28496.21446,13609.73133,39955.01329,45994.27049,166847.0753,17939675.65,6467109.624,120004.2972,51630.10921,6544503.963,3607299.363,2428.221811,18862831.61,12895958.1,759.6959983,2373095.937,3733.193296,75707.20991,29727.28263,603266.8409,83346.86493,67963.71797,88379.09735,1205.087521,5376.303273,1373776.779,2361419.88,163857.6698,45274.11262,13955.26141,15264.77345,29912.60239,109190.1933,10526.20231,88070.48826,242848.9304,416464.4822,29056.21132,71667.74817,56944.45019,842428.2929,208156.4427,457925.8227,1241321.905,18817876.78,150382.687,15809864.02,6562604.744,7761.956573,69453.5411,286826.9064,75355.83172
p317_7,cd_exp1,10ppm,N wt/wt,44897.91507,244187.3782,86764.2336,560136.3453,9523.312206,102648.6023,195100.7584,56398.74077,174211.9067,3238.022769,15645.40371,496105.0765,17356.84251,9253.526133,9386.54799,20840.03618,1969.888357,114863.6068,4153.941852,1293.900239,9909.727394,16796281.23,940729.6603,3794550.727,710535.4379,844956.2539,192584.788,17360192.02,67832.6524,4378947.242,3179037.005,4149657.146,866177.3452,1155061.456,7656372.817,1679569.114,2060854.365,27302.89342,1034106.067,648099.0161,276267.5842,826574.4651,3943.019488,101980.9632,175404.952,12334.32253,27647.5744,34830.53356,47883.43032,187576.0358,50511.5102,128708.1944,13301935.28,155473.6146,48096.93628,802052.196,45664.66238,448718.3452,2943344.575,76276.20334,23000.37616,194899.1353,233840.6929,52182.48911,205934.9289,298102.2394,46490.12413,49748.38684,5805.501596,11377.07805,27763.37111,15049.7975,145990.3013,44112.06068,64470.57785,8956.763793,21675.64237,1172320.176,29986.83525,426610.3153,22331.30103,5690284.224,380357.455,871.3417754,49085.22988,4097029.788,247139.3767,244656.0392,406590.322,18122.09937,16042.40446,383559.7407,5669.528526,97413.71636,18932.10865,83136.79617,113581.025,4207.981127,16475.88631,195609.3877,140398.7932,288878.2169,6072.212564,39898.46912,171031.4013,98329.82913,3161148.195,3973453.432,52047.87288,73059.63335,5053512.636,476517.0922,1396.751897,25841402.6,7140042.187,2715.942758,1783500.513,3361.515951,60954.96652,21409.927,740205.1819,91152.61826,56299.69227,110136.0996,770.9296434,132.7605085,760995.2345,548103.1138,159790.304,28497.25499,25834.72037,22297.07629,29713.44894,71146.29667,8440.646753,39541.15069,107001.5031,99657.46454,16487.59926,74957.17219,46808.31247,677505.4944,123365.0891,297367.8903,1294362.203,20646272.34,178396.7487,16995370.21,8853052.847,13858.43821,22240.96186,246891.1933,54248.79079
p327_2,cd_exp1,10ppm,N wt/wt,56972.46162,238597.5254,61553.42038,563921.5266,6578.923464,101804.8172,5237.124534,166054.1074,125055.1012,6507.876176,5811.778037,1463923.492,62105.17688,5997.607387,10630.21069,66825.08374,14011.24354,235370.6481,31028.12187,5756.506091,17421.17559,21455593.09,1169798.423,5363373.626,858571.4933,1527431.728,223753.3412,20878654.71,48858.86,6063480.038,4888675.033,6189083.077,1169670.596,1733998.005,10814448.18,2818018.244,5150402.064,67964.8684,2650812.039,741691.6257,777451.924,925250.557,5906.361019,150614.3491,295804.9372,27813.71965,33447.50924,49783.12359,145113.1818,269375.5877,55603.98685,437233.4289,16711258.96,251780.8559,43522.75295,650702.1308,128797.397,617928.1594,807430.1017,126067.1286,68632.03162,188899.69,91555.18134,78157.19663,177616.9507,202608.0996,53988.13512,99795.07538,23266.85429,16290.10482,36467.99919,43149.49332,227351.3365,45441.32072,62238.15847,925.7315667,25333.90429,891733.0193,27278.81698,471562.5036,24675.6853,10145402.71,618791.0368,3204.247751,70251.0377,4224293.319,343327.2588,281234.5703,662298.3731,22152.26349,16787.75581,527968.5428,4824.19284,169148.3365,26464.96606,83359.59008,137976.6246,5928.224954,9826.489651,448627.069,213512.2505,113343.3485,10494.29696,83427.13353,75136.85121,151747.3363,14157521.09,5877694.359,106638.8481,63141.82947,6245369.236,2896652.018,7205.875753,17595864.08,9795166.198,11713.79799,4475413.82,20015.24225,75717.32554,22018.07087,699898.6765,109179.5976,47612.8677,587133.8766,3096.40252,6948.619267,1174707.753,2038779.936,91688.08176,33183.73394,19077.40773,8898.466505,18083.04466,37532.91754,5971.033525,21379.21072,75693.55343,98838.66736,19445.24915,77899.36779,47173.60978,806559.4717,162415.8865,338650.9754,1594844.011,21925300.9,171589.1986,16445791.45,8723068.311,17181.85439,80630.16659,248271.0416,60265.76064
p315_4,cd_exp1,10ppm,N wt/wt,68463.84739,277540.8832,96775.4794,625693.6328,3797.741827,117244.0286,200043.2014,76844.31863,233753.3526,2886.120807,2378.012724,803012.4025,48635.7181,5238.682344,13448.36478,64526.88199,2401.855709,225245.6226,24766.87453,5884.817067,18410.30291,19735430.02,1536767.712,4545403.551,808080.8128,1641161.693,175160.304,20093273.06,69498.56038,4210447.885,3716676.03,4226306.161,1039923.086,1326643.222,9302876.468,1924305.995,3596886.972,154329.6024,2071551.981,746975.6482,403433.7963,1064728.741,4393.844659,121929.538,215286.5967,19612.73616,39049.06156,36092.5791,102161.2574,206615.066,50201.67881,229557.4156,14199716.33,190244.8034,48900.39187,831781.3426,72839.47617,759302.1915,748618.9689,87430.84026,39438.30733,159762.6512,253701.4119,97161.2963,122010.1423,178590.6259,53521.91927,93622.60364,22033.62202,15868.6702,31003.80233,39713.78425,175745.8437,89460.53651,87977.13164,15882.95443,18462.75212,2656946.249,21993.12091,904461.3314,21116.90006,5341583.881,513404.8574,5369.952797,84770.51235,3266225.201,294666.5153,269510.092,504444.6706,34477.28566,15767.3282,436588.3547,2552.77755,142910.2498,10088.87021,53749.17658,240547.4189,6766.765732,19682.76563,262035.0016,192110.3897,470347.9466,9359.27932,39537.11624,519062.0909,113178.2391,1680121.52,5312007.22,127857.7644,71938.7232,5980685.851,497554.4055,5609.85958,12285661.54,8596754.751,14097.93121,3146790.207,21797.79877,73528.39005,21496.5834,565468.6992,125434.6998,60455.34102,1473317.028,3731.536645,3258.311859,1534809.409,1902642.994,97389.23624,29620.50958,21678.95709,18173.02222,25701.235,78345.44747,6943.086483,26884.40151,107715.8549,854440.8026,19427.8496,70009.49773,54880.02927,743308.9786,149167.4156,324594.8468,1480754.306,21034265.7,157715.1937,13152220.22,8781691.978,8243.352818,46234.93598,252481.6893,36140.80399
p389_1,cd_exp1,10ppm,N wt/wt,47430.21625,205244.1459,46203.65596,532567.714,10596.84537,102387.2243,340924.4082,93083.82784,185110.619,10904.93381,7069.783182,1964205.2,58936.42273,8100.11642,16495.14764,218364.7038,4759.74408,578957.0258,69009.09148,23223.8699,31057.21976,20916553.14,2533965.461,6873264.62,875231.1177,1231079.799,260327.1402,25427075.54,159338.3894,7269218.596,6184977.736,6947489.435,1795865.721,2865413.11,19824282.99,3176276.299,5781830.125,37373.67338,3584247.344,1021898.146,1301717.114,1818998.359,3146.249206,275536.2779,437068.8848,20180.85745,43229.0843,45275.15439,227370.1986,431201.5707,54386.45423,245136.9508,17911188.62,442229.9348,42863.62533,1048498.037,212205.9504,1035657.514,5463852.599,144094.3113,127073.3214,566014.9148,579415.3267,158806.5875,279641.6263,462068.64,118946.813,148855.3375,53676.02752,34653.57494,69267.44684,77152.69509,404515.9406,56816.40322,66224.63573,14627.85464,72664.39176,8912.318677,39803.23255,773595.238,18127.97726,3339578.419,750101.6927,9426.713613,127313.1726,5624896.985,542264.5246,473184.5062,756321.7967,58485.05881,21901.93346,1149095.83,6388.011196,365702.5541,42201.31898,102956.02,182087.9899,5094.713397,17733.9324,157130.6951,376897.9058,393284.2982,9434.582653,53694.52743,244135.5238,279913.5703,8881861.604,6539212.996,69907.96734,42449.20242,11645320.86,857673.1739,13924.70474,26472910.02,12645286.13,46793.58042,3865828.973,83657.94946,79268.66822,18520.46845,704676.5334,117227.5983,89310.28054,56604.10882,3673.99142,6734.03458,5209492.078,2023941.485,130905.7089,36329.92495,27433.48274,29421.83472,36478.20205,86574.8478,14253.21642,51187.99738,120922.5053,192790.0562,22539.05986,84329.14664,52388.01899,777220.8859,162829.111,319256.2007,1676573.762,23641186.4,160483.3904,16146895.55,7892397.811,15601.69288,126086.8502,340303.699,113194.3601
p315_1,cd_exp1,10ppm,A cd/cd,25203.38306,27890.83984,4889.401813,306177.737,3187.270245,32998.65731,261.588792,55249.09363,,1060.604103,,540054.6109,37200.99953,2158.77267,143.5210844,51809.22428,5169.034486,92754.10254,6170.515776,2795.154767,10045.92194,14133689.51,1546947.188,3863150.653,556453.0042,668355.2446,264934.0557,16816606.78,15855.67592,4152613.17,3567973.308,4623938.588,670147.2699,654752.6167,9332132.399,1770470.977,3423514.597,28558.74843,1676007.978,498291.9045,305161.0833,493144.104,1544.427964,89714.08079,154356.0766,26653.51637,10076.53004,34047.05574,102516.5816,139207.7798,43915.59606,275351.9003,11914411.7,90878.19831,45061.38714,29947.00994,,541989.8437,1360962.436,80500.8711,,191560.3353,1766.312666,53749.57405,73523.75817,70063.95977,37936.84342,46776.36195,7635.910726,4474.030175,5491.202,17480.18583,183249.1736,2571.957492,1258.638854,223.0219595,21431.39208,520190.1842,20038.22365,187954.1857,18115.98559,1129557.874,297806.9552,1711.077163,59021.66577,2495039.634,139208.609,193840.706,679492.0024,2045.248493,6549.400993,407745.6944,2734.088496,121241.3481,17202.707,4396.246664,37867.31657,6937.393048,12941.47264,234533.0717,85025.10845,9059.936374,9719.478434,34138.39757,33407.81282,98057.18983,23229269.8,2010327.543,70769.19152,55892.42603,3331204.421,1312814.271,822.6105712,15556852.82,4706690.652,1478.27518,618006.2334,5650.51785,1180.362647,19454.71927,632495.7117,64065.02806,35891.91311,128227.6193,1406.891418,902.8280645,854576.4541,945167.495,71116.43833,22136.95288,13416.68791,2843.554394,11483.40742,14327.81245,11817.02896,40323.09536,155143.227,253066.1309,18317.90799,73377.5348,36945.25752,574531.2603,102364.8261,244732.9045,1097682.689,20860711.15,158924.4383,13691219.02,8630707.639,5497.414776,35646.48829,119304.907,27371.44727
p315_6,cd_exp1,10ppm,A cd/cd,58238.45142,242636.2428,66904.48752,596405.1611,7379.731008,104414.0706,81375.57663,100653.0564,234263.8541,5008.636385,5088.425028,1099027.778,45799.08121,7947.60251,9973.370386,47650.37065,1889.241444,179496.6174,18837.61383,3031.441874,15095.56296,18645250.45,1300864.916,4464602.16,728780.138,1097546.012,240264.0393,16569691.93,69358.4971,5055486.4,4054800.742,5234215.388,973556.4242,1426543.842,8726361.542,2351521.343,3944250.295,27474.90858,2084133.105,564459.9976,404992.3169,682982.3073,4364.279389,124573.9211,221870.7719,23181.42978,47814.63613,60348.21197,186331.2663,177304.609,39750.6224,334233.9771,14919915.84,163649.7261,42478.37378,1028930.854,74436.05619,566959.3084,2052308.568,106584.0847,38738.02997,172299.7729,290904.087,94594.79489,134477.9302,203168.4763,53492.35519,79035.33611,14568.49146,13251.99556,21571.68996,36597.01762,197956.0758,63786.36199,78901.10343,6879.090094,19753.43496,857320.0784,21127.39167,398739.7664,23515.85716,7713541.27,441371.9675,2886.163219,62440.123,3658530.559,255100.8728,219795.7551,692487.4608,40635.8853,11090.0842,488034.8136,4948.990584,161500.0585,20609.98442,93107.03904,191455.4743,5308.735886,13397.32013,275829.3325,160790.3093,458703.8682,10648.68529,39529.6173,105187.5217,133894.264,4637819.855,4139801.948,101278.7342,66517.69759,5489304.514,622918.8566,5106.664061,16475775.98,9699100.644,7967.361903,2613860.9,14259.09902,61156.40866,20028.55051,616607.7981,103045.7082,43401.49815,138911.8723,1253.79759,3305.481407,1474218.637,1616434.885,106511.6562,33678.55505,15984.50763,12751.82539,24662.1802,63171.61144,9990.592139,51188.46372,128507.4804,82254.30816,21858.77903,85728.31526,50172.39783,723231.8531,138223.4337,317300.9085,1373825.31,21407106,158272.9532,15506740.42,7893885.456,11496.76718,58811.24873,203274.5113,56211.90718
p372_2,cd_exp1,10ppm,A cd/cd,48074.46981,228794.0515,36530.89942,612146.2604,11796.97931,116335.8307,2353.576802,82910.67109,26571.01308,10667.49001,8990.501956,1183601.728,48984.33946,13279.85554,3174.171827,102250.1143,13576.39543,303605.5514,34739.56207,10266.30401,28707.20616,21961928.26,2049572.482,6064295.917,908018.3952,1790374.608,276118.6293,23362785.56,81677.73516,6997267.835,5531592.042,6453190.852,1451818.387,2077312.325,11694702.15,3252457.73,5114989.281,51507.24201,2771342.364,739465.94,906497.3133,1116031.842,11784.90766,239684.1257,435366.2136,20418.60611,28458.9562,61919.60103,219462.6075,429983.5288,69698.67735,451685.0431,17942769.48,371626.7596,52448.74689,182578.4642,36537.71184,621245.8177,2495516.098,152248.2579,8171.691654,187802.9992,52181.86779,98263.57777,139404.9084,253383.2317,67822.69179,132010.1408,29648.62027,20998.23901,50035.48757,83101.4983,199107.8148,83391.9572,71258.54867,1093.39998,23150.27972,1256882.292,30703.02909,672765.5947,26238.85343,15059297.21,682103.7631,4574.438816,93520.06344,4849753.726,270572.8852,396997.1401,951527.6722,17708.38014,23428.79165,748058.6179,7666.281563,284981.5588,42375.15056,81640.49392,268998.5369,5998.776783,18366.09679,581410.4497,286203.321,48282.97439,10754.56527,72968.47229,104751.7597,235786.553,21576805.49,9307279.49,138458.0193,60897.48722,8814447.82,2944697.435,5551.204827,18478263.65,10724888.49,19014.44491,4942096.9,27550.93608,66176.965,22309.31354,673196.1961,113378.5571,72402.37749,277280.4522,4588.409772,3991.852533,1855915.834,2442627.249,86535.68137,36362.33811,16874.45635,24338.95585,30568.36352,89571.01432,5152.925778,29956.4257,130028.5509,197032.5626,22174.38916,103685.4584,52252.62809,840032.2962,148570.5414,336005.0163,1692031.203,22293615.79,188570.3623,15827183.28,8368484.14,26585.15449,60176.44938,420418.3021,73241.28697
p376_5,cd_exp1,10ppm,A cd/cd,54538.63513,237481.1619,67019.38983,633278.6394,18846.85388,120106.2425,219.2396315,120751.929,104777.1434,11058.15497,4535.923217,1161148.508,60354.12998,4806.43948,5783.288591,76648.80661,8762.900739,326053.5216,43322.15949,8839.163904,19518.74782,18587828.1,1026969.101,4901537.474,757690.957,1564830.509,211130.2743,19650107.96,46067.40532,5318671.872,4455971.284,5120771.672,1376053.612,1786635.909,12834652.04,2395031.691,4211783.185,34844.14697,2254296.111,584117.6337,790515.2981,1052858.717,9861.931961,168841.0476,344402.7459,29332.46241,24362.68006,97859.00263,202628.4626,340325.6846,49189.11236,409544.4272,15294637.65,282301.1904,55187.48109,436962.3039,59249.11719,485328.6053,990174.3234,109493.1056,37228.42998,129848.703,69913.70357,114116.0429,479029.8443,105725.0172,72336.87926,120414.9222,27446.54389,21907.98466,56523.5001,45712.93623,177390.238,55203.7897,86332.96359,641.4314646,13061.54613,8242.960114,21727.65662,421941.7463,23765.83762,12508267.99,524331.4707,4627.259997,81452.10259,3805068.071,345694.7156,267978.2929,556376.1922,14973.38308,14846.12728,425879.635,8145.467466,170465.5664,24743.72766,64409.2549,173299.9289,7126.825073,17677.60909,181295.0119,274822.1102,79448.83363,8820.696505,87718.95777,92040.8587,157984.9495,13212481.39,7502309.487,119605.1101,71591.74296,5972503.331,1540946.046,14129.47488,17860347.69,10011888.59,21139.87887,3762561.432,33110.58742,61199.17914,32549.87711,720228.5714,101760.8784,80238.68327,74400.99759,2809.767059,10804.1386,1077765.505,2005058.709,101089.9339,31037.05127,16003.81005,18855.4489,21152.93686,69346.82178,8258.897457,26582.36455,96115.55164,298702.5471,26032.83447,99736.60907,76001.9149,1198463.669,262956.2885,533867.0058,2165228.291,21661383.2,158381.1234,16791715.8,8915229.146,9784.260858,70012.48517,189712.4801,51159.80644
