,mix,24,pmix2.d,1.586,75333,9543,0,0,0,0,0,0,0,0,0,0,0,84876,98.40,1.60,0,0,0,0,0,0,0,0,0,0,0,100.00,98.40, 1.60, 0.13
,mix,24,pmix3.d,1.571,87471,12485,0,0,0,0,0,0,0,0,0,0,0,99956,96.87,3.13,0,0,0,0,0,0,0,0,0,0,0,100.00,96.87, 3.13, 0.26
,mix,24,pmix4.d,1.586,83972,11942,0,445,0,0,0,0,0,0,0,0,0,96359,96.61,3.08,0,0.32,0,0,0,0,0,0,0,0,0,100.00,96.61, 3.39, 0.34
,mix,24,pmix5.d,1.589,76999,12003,0,0,0,1010,0,3659,0,0,0,0,0,93671,90.16,4.10,0,0,0,1.22,0,4.52,0,0,0,0,0,100.00,90.16, 9.84, 3.49
,light,24,pP1_L_C1.d,1.579,147172,15396,0,0,2269,2188,0,0,0,0,0,0,0,167026,97.19,0.00,0,0,1.48,1.33,0,0,0,0,0,0,0,100.00,97.19, 2.81, 1.05
,light,24,pP1_L_VPA1.d,1.595,73763,11462,0,0,0,2188,0,0,0,0,0,0,0,87413,92.95,4.18,0,0,0,2.87,0,0,0,0,0,0,0,100.00,92.95, 7.05, 1.54
,light,24,pP2_L_C2.d,1.614,56898,0,0,0,0,0,0,1644,0,0,0,0,0,58541,96.99,0,0,0,0,0,0,3.01,0,0,0,0,0,100.00,96.99, 3.01, 1.75
,light,24,pP2_L_VPA2.d,1.564,79115,9653,0,0,0,5000,0,0,0,0,0,0,0,93768,92.82,1.08,0,0,0,6.10,0,0,0,0,0,0,0,100.00,92.82, 7.18, 2.63
,light,24,pP3_L_C3.d,1.580,143036,17375,0,0,0,4979,0,0,0,0,0,0,0,165390,95.49,1.06,0,0,0,3.45,0,0,0,0,0,0,0,100.00,95.49, 4.51, 1.53
,light,24,pP3_L_VPA3.d,1.564,96655,13715,10888,0,0,6568,0,0,0,0,0,0,0,127826,83.73,2.67,7.70,0,0,5.90,0,0,0,0,0,0,0,100.00,83.73, 16.27, 3.96
,light,24,pP3_L_VPA4.d,1.567,92097,13603,0,0,0,0,0,0,0,0,0,0,0,105699,96.40,3.60,0,0,0,0,0,0,0,0,0,0,0,100.00,96.40, 3.60, 0.30
,light,24,pP4_L_C4.d,1.566,174377,23975,0,0,0,0,0,0,0,0,0,0,0,198352,97.36,2.64,0,0,0,0,0,0,0,0,0,0,0,100.00,97.36, 2.64, 0.22
,light,24,pP4_L_C5.d,1.581,149552,19112,8261,0,0,0,0,0,0,0,0,0,0,176925,94.84,1.78,3.37,0,0,0,0,0,0,0,0,0,0,100.00,94.84, 5.16, 0.71
,light,24,pP4_L_VPA5.d,1.583,123371,15752,0,0,0,6217,0,0,0,0,0,0,0,145340,93.49,1.62,0,0,0,4.90,0,0,0,0,0,0,0,100.00,93.49, 6.51, 2.17
,heavy,24,pP1_H_C1.d,1.563,196824,19926,7118,0,0,3261,0,0,0,0,0,0,0,227129,96.55,0.00,1.79,0,0,1.66,0,0.00,0,0,0,0,0,100.00,96.55, 3.45, 0.99
,heavy,24,pP1_H_VPA1.d,1.582,140308,18772,0,0,0,0,0,567,0,0,0,0,0,159647,97.31,2.28,0,0,0,0,0,0.42,0,0,0,0,0,100.00,97.31, 2.69, 0.43
,heavy,24,pP1_H_VPA2.d,1.578,99546,12177,0,4160,0,6728,0,0,0,0,0,0,0,122610,89.11,1.07,0,3.63,0,6.19,0,0,0,0,0,0,0,100.00,89.11, 10.89, 3.58
,heavy,24,pP2_H_C2.d,1.561,233265,30681,0,4313,0,2464,0,0,0,0,0,0,0,270722,95.35,2.02,0,1.61,0,1.02,0,0,0,0,0,0,0,100.00,95.35, 4.65, 1.00
,heavy,24,pP2_H_C3.d,1.577,240942,29298,0,0,0,3943,0,6037,0,0,0,0,0,280220,94.84,1.06,0,0,0,1.61,0,2.49,0,0,0,0,0,100.00,94.84, 5.16, 2.21
,heavy,24,pP2_H_VPA3.d,1.581,133760,19262,0,0,7151,4844,0,0,0,0,0,0,0,165016,89.36,3.00,0,0,4.82,2.82,0,0,0,0,0,0,0,100.00,89.36, 10.64, 3.03
,heavy,24,pP3_H_C4.d,1.584,276018,35235,0,0,0,3725,0,0,0,0,0,0,0,314977,96.97,1.67,0,0,0.00,1.36,0,0,0,0,0,0,0,100.00,96.97, 3.03, 0.71
,heavy,24,pP3_H_VPA4.d,1.616,69682,0,0,0,814,5444,0,0,0,0,0,0,0,75940,91.84,0,0,0,0.74,7.42,0,0,0,0,0,0,0,100.00,91.84, 8.16, 3.34
,heavy,24,pP4_H_C5.d,1.585,504951,62099,13393,0,8844,0,0,7254,0,0,0,0,0,596542,94.82,1.38,0.68,0,1.68,0,0,1.44,0,0,0,0,0,100.00,94.82, 5.18, 1.63
,heavy,24,pP4_H_VPA5.d,1.566,118732,15678,0,0,0,3184,0,0,0,0,0,0,0,137593,95.28,2.06,0,0,0,2.66,0,0,0,0,0,0,0,100.00,95.28, 4.72, 1.28
,solv,24,psol2.d,1.661,0,0,0,0,0,383,0,0,0,0,0,0,0,383,0,0,0,0,0,100.00,0,0,0,0,0,0,0,100.00,0.00, 100.00, 41.67
,solv,24,psol3.d,1.580,0,0,9248,0,0,0,0,0,0,0,0,0,0,9248,0,0,100.00,0,0,0.00,0,0,0,0,0,0,0,100.00,0.00, 100.00, 16.67
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,3.59,3.748,0.84,1.484
,light,5.87,4.044,1.59,1.140
,heavy,5.86,3.000,1.82,1.149
,solv,100.00,,29.17

5-Methylthioadenosine, Formula, C11H15N5O3S
, Tgt RT, 1.730, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,m+13,m+14,m+15,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,m+13,m+14,m+15,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,298.09684,299.10311,300.10939,301.11567,302.12194,303.12822,304.13450,305.14077,306.14705,307.15333,308.15960,309.16588,310.17216,311.17843,312.18471,313.19099,Sum,298.09684,299.10311,300.10939,301.11567,302.12194,303.12822,304.13450,305.14077,306.14705,307.15333,308.15960,309.16588,310.17216,311.17843,312.18471,313.19099,Sum, Unlabeled, Labeled, Labeling
,mix,26,pmix1.d,1.870,467006,131627,49355,0,0,0,0,0,0,0,0,0,0,0,0,0,647988,86.48,11.59,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,86.48, 13.52, 1.03
,mix,26,pmix2.d,1.685,1686238,474943,170879,21386,0,0,0,0,0,0,0,0,4529,0,0,0,2357974,86.41,11.62,1.71,0.00,0,0,0,0,0,0,0,0,0.26,0,0.00,0,100.00,86.41, 13.59, 1.21
,mix,26,pmix3.d,1.670,1803356,503158,175188,22833,0,0,0,0,0,0,0,0,0,607,427,0,2505569,87.07,11.48,1.40,0.00,0,0,0,0,0,0,0,0,0,0.03,0.02,0,100.00,87.07, 12.93, 1.00
,mix,26,pmix4.d,1.669,1758137,496793,172525,20581,0,0,0,0,0,0,0,0,0,0,4992,0,2453028,86.58,11.72,1.42,0.00,0,0,0,0,0,0,0,0,0,0,0.28,0,100.00,86.58, 13.42, 1.23
,mix,26,pmix5.d,1.671,1657964,462981,167760,0,0,0,0,0,0,0,0,6090,1491,8907,0,0,2305192,86.24,11.34,1.58,0,0,0,0,0,0,0,0,0.35,0.00,0.49,0,0,100.00,86.24, 13.76, 1.65
,light,26,pP1_L_C1.d,1.679,2954856,424275,0,0,0,0,0,0,0,0,0,158,0,0,4711,0,3384000,99.81,0.00,0,0,0,0,0,0,0,0,0,0.01,0,0,0.18,0,100.00,99.81, 0.19, 0.17
,light,26,pP1_L_VPA1.d,1.711,1612951,221880,0,0,0,0,0,0,0,1413,0,0,1313,0,0,0,1837558,99.82,0.00,0,0,0,0,0,0,0,0.09,0,0,0.09,0,0,0,100.00,99.82, 0.18, 0.13
,light,26,pP2_L_C2.d,1.730,1400203,190921,0,0,0,0,0,0,0,0,0,0,3034,0,0,0,1594159,99.76,0.00,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,100.00,99.76, 0.24, 0.19
,light,26,pP2_L_VPA2.d,1.647,2026965,291194,0,0,0,0,0,0,0,0,0,0,0,2617,2746,0,2323521,99.74,0.00,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0,100.00,99.74, 0.26, 0.23
,light,26,pP3_L_C3.d,1.663,2830354,404423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3234777,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,26,pP3_L_VPA3.d,1.613,2466101,351478,0,0,0,0,0,0,0,10527,0,0,0,0,611,0,2828717,99.52,0.00,0,0,0,0,0,0,0,0.46,0,0,0,0,0.03,0,100.00,99.52, 0.48, 0.30
,light,26,pP3_L_VPA4.d,1.633,2258153,318039,0,0,0,0,0,0,0,2869,0,9510,0,2699,0,0,2591270,99.31,0.00,0,0,0,0,0,0,0,0.13,0,0.45,0,0.10,0,0,100.00,99.31, 0.69, 0.50
,light,26,pP4_L_C4.d,1.616,2083759,306937,0,0,0,0,0,0,0,6650,0,0,0,0,2740,0,2400085,99.51,0.00,0,0,0,0,0,0,0,0.34,0,0,0,0.00,0.15,0,100.00,99.51, 0.49, 0.34
,light,26,pP4_L_C5.d,1.647,1896920,282040,0,0,0,0,0,0,0,1555,0,0,0,0,0,0,2180515,99.91,0.00,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,100.00,99.91, 0.09, 0.05
,light,26,pP4_L_VPA5.d,1.650,3063798,440100,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,3505094,99.96,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,100.00,99.96, 0.04, 0.04
,heavy,26,pP1_H_C1.d,1.629,1133961,1405392,654720,116750,0,0,0,0,0,0,0,0,0,0,0,0,3310823,40.54,44.84,14.62,0.00,0,0,0,0,0,0,0,0,0,0,0,0,100.00,40.54, 59.46, 4.94
,heavy,26,pP1_H_VPA1.d,1.632,777680,902839,389998,76092,0,0,0,0,0,0,0,0,0,0,5472,0,2152082,42.91,44.06,12.68,0.00,0,0,0,0,0,0,0,0,0,0,0.34,0,100.00,42.91, 57.09, 4.95
,heavy,26,pP1_H_VPA2.d,1.611,709055,849363,390128,79730,0,0,0,0,0,0,0,0,5538,0,0,0,2033814,41.42,44.09,14.13,0.00,0,0.00,0,0.00,0,0,0,0,0.36,0,0,0,100.00,41.42, 58.58, 5.11
,heavy,26,pP2_H_C2.d,1.644,919727,1205833,584972,113236,0,0,0,0,0,533,0,0,0,0,0,0,2824300,38.59,45.51,15.88,0.00,0,0,0,0,0,0.02,0,0,0,0,0,0,100.00,38.59, 61.41, 5.17
,heavy,26,pP2_H_C3.d,1.626,877925,1099068,519415,91346,0,0,0,0,0,0,0,0,0,4317,6970,0,2599041,39.93,44.67,14.90,0.00,0,0,0,0,0,0,0,0,0,0.18,0.33,0,100.00,39.93, 60.07, 5.42
,heavy,26,pP2_H_VPA3.d,1.647,1076174,1169910,493839,101253,0,0,0,0,0,0,0,8176,0,0,6006,0,2855357,44.84,42.68,11.83,0.00,0,0,0,0,0,0,0,0.37,0,0,0.28,0,100.00,44.84, 55.16, 4.96
,heavy,26,pP3_H_C4.d,1.667,1124870,1364971,612759,125019,0,0,0,0,0,6481,0,4940,0,0,8798,0,3247838,41.10,44.41,13.68,0.00,0,0,0,0,0,0.26,0,0.18,0,0,0.36,0,100.00,41.10, 58.90, 5.41
,heavy,26,pP3_H_VPA4.d,1.732,520550,560889,232573,45706,0,0,0,0,0,0,0,0,0,0,2036,0,1361755,45.49,42.84,11.47,0.00,0,0,0,0,0,0.00,0,0,0,0,0.20,0,100.00,45.49, 54.51, 4.57
,heavy,26,pP4_H_C5.d,1.668,1325876,1563435,669133,125927,0,0,0,0,0,0,0,0,0,0,5576,0,3689947,42.63,44.57,12.60,0.00,0,0,0,0,0,0,0,0,0,0,0.20,0,100.00,42.63, 57.37, 4.84
,heavy,26,pP4_H_VPA5.d,1.632,882853,947537,379934,73697,0,0,0,0,0,10097,0,4773,0,20121,5024,0,2324036,45.07,42.27,10.62,0.00,0,0,0,0,0,0.56,0,0.23,0,1.15,0.11,0,100.00,45.07, 54.93, 5.83
,solv,26,psol2.d,1.711,0,0,0,0,0,0,0,0,0,0,0,0,3759,0,9868,0,13627,0,0,0,0,0,0,0,0,0,0,0,0,27.18,0,72.82,0,100.00,0.00, 100.00, 89.71
,solv,26,psol3.d,1.729,0,0,0,0,0,0,0,0,0,0,0,10814,0,0,0,0,10814,0,0,0,0,0,0,0,0,0,0,0,100.00,0,0,0,0,100.00,0.00, 100.00, 73.33
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,13.44,0.312,1.22,0.259
,light,0.27,0.221,0.20,0.154
,heavy,57.75,2.344,5.12,0.357
,solv,100.00,,81.52

Xanthine, Formula, C5H4N4O2
, Tgt RT, 1.830, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,, Corrected Abundance Percentages,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,Abund,m+0,m+1,m+2,m+3,m+4,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,153.04070,154.04698,155.05326,156.05953,157.06581,Sum,153.04070,154.04698,155.05326,156.05953,157.06581,Sum, Unlabeled, Labeled, Labeling
,mix,27,pmix1.d,2.681,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,mix,27,pmix2.d,2.414,357813,0,22419,0,0,380232,94.55,0,5.45,0,0,100.00,94.55, 5.45, 2.72
,mix,27,pmix3.d,2.415,340164,0,0,0,0,340164,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,27,pmix4.d,2.397,377726,0,0,0,50738,428463,87.68,0,0,0,12.32,100.00,87.68, 12.32, 12.32
,mix,27,pmix5.d,2.416,344338,0,17829,0,0,362167,95.56,0,4.44,0,0,100.00,95.56, 4.44, 2.22
,light,27,pP1_L_C1.d,2.440,625472,0,20997,0,0,646470,97.28,0,2.72,0,0,100.00,97.28, 2.72, 1.36
,light,27,pP1_L_VPA1.d,2.472,574488,0,0,0,0,574488,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,27,pP2_L_C2.d,2.491,324318,0,0,0,0,324318,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,27,pP2_L_VPA2.d,2.408,756335,0,0,0,0,756335,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,27,pP3_L_C3.d,2.408,563128,0,0,0,0,563128,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,27,pP3_L_VPA3.d,2.557,1545179,148202,0,0,0,1693381,97.51,2.49,0,0,0,100.00,97.51, 2.49, 0.62
,light,27,pP3_L_VPA4.d,2.411,1531607,132644,0,0,0,1664251,98.40,1.60,0,0,0,100.00,98.40, 1.60, 0.40
,light,27,pP4_L_C4.d,2.609,851094,0,0,0,0,851094,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,27,pP4_L_C5.d,2.425,815530,0,0,0,0,815530,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,27,pP4_L_VPA5.d,2.461,1337499,0,0,0,0,1337499,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,27,pP1_H_C1.d,2.539,1601171,868304,82565,0,0,2552041,67.05,32.12,0.83,0,0,100.00,67.05, 32.95, 8.44
,heavy,27,pP1_H_VPA1.d,2.873,887592,458177,0,0,0,1345769,68.96,31.04,0,0,0,100.00,68.96, 31.04, 7.76
,heavy,27,pP1_H_VPA2.d,2.886,779733,421680,0,0,0,1201413,67.80,32.20,0,0,0,100.00,67.80, 32.20, 8.05
,heavy,27,pP2_H_C2.d,2.389,1010178,588029,64453,0,0,1662660,64.87,33.70,1.43,0,0,100.00,64.87, 35.13, 9.14
,heavy,27,pP2_H_C3.d,2.570,1459194,815140,86548,0,0,2360882,66.02,32.72,1.26,0,0,100.00,66.02, 33.98, 8.81
,heavy,27,pP2_H_VPA3.d,2.375,1261197,609702,0,0,0,1870899,70.58,29.42,0,0,0,100.00,70.58, 29.42, 7.36
,heavy,27,pP3_H_C4.d,2.395,943089,482889,48961,0,0,1474939,68.35,30.63,1.02,0,0,100.00,68.35, 31.65, 8.17
,heavy,27,pP3_H_VPA4.d,2.493,480724,215378,0,0,0,696101,72.41,27.59,0,0,0,100.00,72.41, 27.59, 6.90
,heavy,27,pP4_H_C5.d,2.462,656060,0,23563,0,0,679623,97.06,0,2.94,0,0,100.00,97.06, 2.94, 1.47
,heavy,27,pP4_H_VPA5.d,2.393,1356324,609758,53752,0,0,2019835,71.86,27.65,0.49,0,0,100.00,71.86, 28.14, 7.16
,solv,27,psol2.d,3.250,0,0,4343,0,9716,14059,0,0,30.39,0,69.61,100.00,0.00, 100.00, 84.80
,solv,27,psol3.d,3.086,0,0,0,0,5357,5357,0,0,0,0,100.00,100.00,0.00, 100.00, 100.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,NaN,NaN,3.45,5.112
,light,0.68,1.131,0.24,0.450
,heavy,28.50,9.303,7.32,2.177
,solv,100.00,,92.40

Nicotinamide, Formula, C6H6N2O
, Tgt RT, 1.850, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,, Corrected Abundance Percentages,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,123.05529,124.06157,125.06784,126.07412,127.08040,128.08667,129.09295,Sum,123.05529,124.06157,125.06784,126.07412,127.08040,128.08667,129.09295,Sum, Unlabeled, Labeled, Labeling
,mix,28,pmix1.d,1.804,112374,0,0,0,0,0,0,112374,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,28,pmix2.d,1.669,250035,21518,0,0,18874,0,0,290427,91.69,1.14,0,0,7.17,0,0,100.00,91.69, 8.31, 4.97
,mix,28,pmix3.d,1.653,267152,23971,0,0,14499,0,0,305622,93.26,1.50,0,0,5.24,0,0,100.00,93.26, 6.74, 3.74
,mix,28,pmix4.d,1.653,258900,22018,0,0,0,0,0,280918,98.87,1.13,0,0,0,0,0,100.00,98.87, 1.13, 0.19
,mix,28,pmix5.d,1.671,242347,0,0,0,17590,0,0,259937,92.97,0,0,0,7.03,0,0,100.00,92.97, 7.03, 4.68
,light,28,pP1_L_C1.d,1.662,426394,35113,0,0,16421,0,0,477929,95.37,0.83,0,0,3.80,0,0,100.00,95.37, 4.63, 2.67
,light,28,pP1_L_VPA1.d,1.694,136363,0,0,0,5894,0,0,142258,95.69,0,0,0,4.31,0,0,100.00,95.69, 4.31, 2.87
,light,28,pP2_L_C2.d,1.697,157889,13639,0,0,0,0,0,171528,98.74,1.26,0,0,0,0,0,100.00,98.74, 1.26, 0.21
,light,28,pP2_L_VPA2.d,1.647,246242,0,0,0,0,0,0,246242,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,28,pP3_L_C3.d,1.663,332186,25175,0,0,5666,0,0,363026,98.06,0.20,0,0,1.73,0,0,100.00,98.06, 1.94, 1.19
,light,28,pP3_L_VPA3.d,1.630,245639,0,0,0,8269,0,0,253908,96.61,0,0,0,3.39,0,0,100.00,96.61, 3.39, 2.26
,light,28,pP3_L_VPA4.d,1.649,230100,0,0,0,5380,0,0,235481,97.62,0,0,0,2.38,0,0,100.00,97.62, 2.38, 1.58
,light,28,pP4_L_C4.d,1.633,368551,29571,0,0,0,0,0,398122,99.35,0.65,0,0,0,0,0,100.00,99.35, 0.65, 0.11
,light,28,pP4_L_C5.d,1.647,334642,29765,0,0,0,0,0,364407,98.49,1.51,0,0,0,0,0,100.00,98.49, 1.51, 0.25
,light,28,pP4_L_VPA5.d,1.650,272613,24998,0,0,11036,0,0,308648,94.34,1.71,0,0,3.96,0,0,100.00,94.34, 5.66, 2.92
,heavy,28,pP1_H_C1.d,1.646,404946,33221,10710,0,0,0,0,448877,97.08,0.81,2.11,0,0.00,0,0,100.00,97.08, 2.92, 0.84
,heavy,28,pP1_H_VPA1.d,1.648,243740,21407,0,0,0,0,0,265147,98.60,1.40,0,0,0,0,0,100.00,98.60, 1.40, 0.23
,heavy,28,pP1_H_VPA2.d,1.645,232454,21845,0,0,13153,0,0,267452,92.68,1.89,0,0,5.43,0,0,100.00,92.68, 7.32, 3.94
,heavy,28,pP2_H_C2.d,1.644,372006,31587,7281,0,9218,0,0,420093,95.10,1.08,1.38,0,2.43,0,0,100.00,95.10, 4.90, 2.26
,heavy,28,pP2_H_C3.d,1.643,483790,37295,0,0,0,0,0,521086,99.66,0.34,0,0,0.00,0,0,100.00,99.66, 0.34, 0.06
,heavy,28,pP2_H_VPA3.d,1.663,276663,23206,0,0,0,0,0,299869,98.99,1.01,0,0,0,0,0,100.00,98.99, 1.01, 0.17
,heavy,28,pP3_H_C4.d,1.667,331193,24664,0,0,14113,0,0,369970,95.70,0.07,0,0,4.22,0,0,100.00,95.70, 4.30, 2.83
,heavy,28,pP3_H_VPA4.d,1.699,74150,0,16137,0,18215,0,0,108502,67.92,0,14.77,0,17.31,0,0,100.00,67.92, 32.08, 16.46
