Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FAnC1,hVPA_FAnC2,hVPA_FAnC3,hVPA_FAnC4,hVPA_FAnC5,hVPA_FAnC6,hVPA_FAnC7,hVPA_FAnC8,hVPA_FAnC9,hVPA_FAnC10,hVPA_FAnC11,hVPA_FAnC12,hVPA_FAnC13,hVPA_FAnC14,hVPA_FAnC15,hVPA_FAnC16,hVPA_FAnC17,hVPA_FAnC18,hVPA_FAnC19,hVPA_FAnC20,hVPA_FAnC21,hVPA_FAnC22,hVPA_FAnC23,hVPA_FAnC24,hVPA_FAnC25,hVPA_FAnC26,hVPA_FAnC27,hVPA_FAnC28,hVPA_FAnC29,hVPA_FAnC30,hVPA_FAnC31,hVPA_FAnC32,hVPA_FAnC33,hVPA_FAnC34,hVPA_FAnC35,hVPA_FAnC36,hVPA_FAnC37,hVPA_FAnC38,hVPA_FAnC39,hVPA_FAnC40,hVPA_FAnC41,hVPA_FAnC42,hVPA_FAnC43,hVPA_FAnC44,hVPA_FAnC45,hVPA_FAnC46,hVPA_FAnC47,hVPA_FAnC48,hVPA_FAnC49,hVPA_FAnC50,hVPA_FAnC51,hVPA_FAnC52,hVPA_FAnC53,hVPA_FAnC54,hVPA_FAnC55,hVPA_FAnC56,hVPA_FAnC57,hVPA_FAnC58,hVPA_FAnC59,hVPA_FAnC60,hVPA_FAnC61,hVPA_FAnC62,hVPA_FAnC63,hVPA_FAnC64,hVPA_FAnC65,hVPA_FAnC66,hVPA_FAnC67,hVPA_FAnC68,hVPA_FAnC69,hVPA_FAnC70,hVPA_FAnC71,hVPA_FAnC72,hVPA_FAnC73,hVPA_FAnC74,hVPA_FAnC75,hVPA_FAnC76,hVPA_FAnC77,hVPA_FAnC78,hVPA_FAnC79,hVPA_FAnC80,hVPA_FAnC81,hVPA_FAnC82,hVPA_FAnC83,hVPA_FAnC84,hVPA_FAnC85,hVPA_FAnC86,hVPA_FAnC87,hVPA_FAnC88,hVPA_FAnC89,hVPA_FAnC90,hVPA_FAnC91,hVPA_FAnC92,hVPA_FAnC93,hVPA_FAnC94,hVPA_FAnC95,hVPA_FAnC96,hVPA_FAnC97,hVPA_FAnC98,hVPA_FAnC99,hVPA_FAnC100,hVPA_FAnC101,hVPA_FAnC102,hVPA_FAnC103,hVPA_FAnC104,hVPA_FAnC105,hVPA_FAnC106,hVPA_FAnC107,hVPA_FAnC108,hVPA_FAnC109,hVPA_FAnC110,hVPA_FAnC111,hVPA_FAnC112,hVPA_FAnC113,hVPA_FAnC114,hVPA_FAnC115,hVPA_FAnC116,hVPA_FAnC117,hVPA_FAnC118,hVPA_FAnC119,hVPA_FAnC120,hVPA_FAnC121,hVPA_FAnC122,hVPA_FAnC123,hVPA_FAnC124,hVPA_FAnC125,hVPA_FAnC126,hVPA_FAnC127,hVPA_FAnC128,hVPA_FAnC129,hVPA_FAnC130,hVPA_FAnC131,hVPA_FAnC132,hVPA_FAnC133,hVPA_FAnC134,hVPA_FAnC135,hVPA_FAnC136,hVPA_FAnC137,hVPA_FAnC138,hVPA_FAnC139,hVPA_FAnC140,hVPA_FAnC141,hVPA_FAnC142,hVPA_FAnC143,hVPA_FAnC144,hVPA_FAnC145,hVPA_FAnC146,hVPA_FAnC147,hVPA_FAnC148,hVPA_FAnC149,hVPA_FAnC150,hVPA_FAnC151,hVPA_FAnC152,hVPA_FAnC153,hVPA_FAnC154,hVPA_FAnC155,hVPA_FAnC156,hVPA_FAnC157,hVPA_FAnC158,hVPA_FAnC159,hVPA_FAnC160,hVPA_FAnC161,hVPA_FAnC162,hVPA_FAnC163,hVPA_FAnC164,hVPA_FAnC165,hVPA_FAnC166,hVPA_FAnC167,hVPA_FAnC168,hVPA_FAnC169,hVPA_FAnC170,hVPA_FAnC171,hVPA_FAnC172,hVPA_FAnC173,hVPA_FAnC174,hVPA_FAnC175
P1_VPA_FA1,neg,cells,sample,vpa,5X,p1,937069.6682,36961.4561,989433.6595,5636425.448,1726902.027,12455.54354,243077.6262,1273689.386,1729665.766,227902.1621,345529.978,2328.147653,10607.50591,24144.63764,139891.8327,91031.35704,866296.4418,45384.77689,739693.3783,485314.0029,1240991.516,198780.3101,9820.040986,6542173.766,157845.0502,61252.4094,61348.51904,2082213.166,2012019.081,80513.3892,48075.2214,1054094.706,3531448.692,54303.469,33899.63277,1410470.751,138065.8543,4957131.102,128710.9563,197131.2858,6807846.96,19239.25924,206320.2201,12225.59351,135218.4312,75713.17931,49589.6881,222482.1313,217164.9425,37100.75982,228140.3021,124266.5472,202596.0614,5280.450511,11802.30722,5154.482559,100649.2926,1548356.625,26545.72908,21407.31472,21587.86648,22117.51979,4031.738517,14922.21743,209617.2988,39303.20012,11180.22688,54071.91607,82662.84405,42428.30264,112411.0529,16329.0948,4504.767653,21313.58103,190129.4651,127550.4292,4516.020945,879775.0503,38667.40528,338388.0274,16935.55859,213476.8784,12341.36427,49740.13882,15922.31794,85294.85065,40712.524,33460.3426,8425.777187,19693.2412,10720852.69,3371.953868,22703.74706,103897.4682,37581.14861,387114.0355,283862.4049,30554.13455,1139855.306,3234.52631,9018.067223,151801.941,34323.08285,8023.006689,120984.2909,9901.282231,329935.8166,9839.075681,3003.738128,5674.732422,30772.30369,416720.9062,11192538.16,2742.413421,51985.56057,110762.9677,61557.36862,53943.89255,50035.16373,140062.5517,4914645.405,13429.76967,5884394.081,11106.42126,9204.296202,38391.76802,174133.6865,24685.55315,3298949.918,61047.18803,84836.63861,8839.831377,36619.69169,2312603.864,3602.978619,266835.2149,21946.17586,207129.4166,9455.460985,4882.80114,172998.7738,37017.83958,14901.38307,38965.49247,5820.070129,4469.193314,24858.98026,111315.532,5877.810551,252297.8652,987575.7192,77726.65111,7107.837204,154.6133582,17282.42352,559954.5505,5659.695621,14332.80907,2765751.194,207624.6283,188303.2051,3825.392462,77192.87805,404657.1728,9613.769493,12739.64825,22229.44737,1597650.117,906136.9969,354064.3444,44603.30308,3172.417886,5680.121129,2931.860761,754.3217624
P1_VPA_FA2,neg,cells,sample,vpa,5X,p1,844279.6292,31718.98447,1161278.622,5574472.642,1165091.228,13425.58933,230772.7287,1263216.807,1634764.24,263308.3166,333097.3745,3064.296366,11119.78185,19814.44715,139703.8697,100688.3711,837326.6892,52560.85721,730896.25,512090.8278,1232445.035,223617.726,9544.622645,6091526.706,120708.2185,49888.32921,68113.74381,1985547.87,1937970.098,66053.85217,48989.71587,1013377.847,3249795.546,53706.85361,33135.36988,1501184.004,109978.105,5900492.394,122862.4224,203227.1303,6564490.777,34538.5601,182073.7058,14181.84386,119712.407,71529.35905,45063.85026,245733.621,223761.6733,30789.64285,174413.2764,107052.0174,238377.5966,6362.419435,7851.49873,3965.581035,100147.2424,1532810.99,19665.98316,15037.24713,20713.66154,27486.93946,5965.135806,14359.8512,180342.2371,31514.55029,12380.30116,51862.61319,56721.14381,31740.73592,105122.1243,17881.18036,4355.151665,21058.51056,181953.0402,137025.6516,3916.229216,901439.5085,43866.13373,357998.0646,13059.54145,212769.5142,12361.63771,38237.78392,14829.08527,62487.21968,39734.30341,37746.41965,10069.51332,23434.36589,11001897.18,3310.255336,18646.04357,104378.905,38817.19102,385883.4434,266616.9964,33526.74012,1166202.957,2420.931583,8198.819948,134962.6903,35654.82807,7368.13512,121871.7019,10304.12396,368424.9132,8147.865048,6422.555884,4793.583765,26950.97361,545370.177,12011449.57,2348.664365,52857.50118,115336.1574,67692.67462,68733.60284,39473.72934,165348.1564,6019394.958,11551.23439,7071222.198,8596.772125,8784.636335,40554.77695,194737.1222,22337.55066,3294469.974,72915.39007,90659.32108,8838.565838,31174.11466,2770023.446,3985.397215,277009.3303,25525.54207,250527.5722,10411.74769,5341.53425,126192.0726,35379.3713,12797.79268,38994.5483,5304.142638,3484.985718,25660.84688,114279.5048,4556.622655,243927.4087,927861.4604,77713.898,5396.302741,267.7718381,15984.25344,563912.2722,7566.553046,14106.88313,2657141.86,196279.3769,177704.8648,2783.554842,74172.04357,386231.0332,9202.99174,11813.68401,14717.67499,1509251.387,793562.7191,326699.8221,44113.89019,2811.647924,5486.74719,2419.648267,336.4116534
P2_C2,neg,cells,sample,cntrl,base,p2,683288.7224,28090.57839,1070555.322,4964712.523,999527.1158,10992.31523,217162.9675,1120859.046,1441164.886,242098.2711,316116.8607,1532.713064,9978.979858,21615.44029,110341.7984,121743.0397,869575.6923,50010.79956,703994.206,453706.8274,1089195.237,230205.8874,10444.18708,5618914.05,83387.26815,42017.72158,64730.38521,1820347.459,1789849.798,63335.93155,40615.07465,942850.1977,3246009.859,43997.13443,31478.23004,1284534.89,96598.302,5027707.761,96077.41457,203105.2964,5757401.705,38953.07818,169126.1186,10672.22056,139816.3083,68103.87058,49574.97569,250949.6063,209249.3175,26180.7364,154742.4275,103091.0104,190402.6909,4470.389259,8408.054961,4267.943479,92650.49738,1375237.876,22194.6636,10687.61698,15352.91746,22617.29152,2615.773676,10889.98784,177550.517,19343.37029,9682.671933,52648.79999,50215.43552,30825.02015,91542.94948,21205.53199,3357.557173,20284.36069,180627.6034,122611.4568,4225.199809,828938.606,36939.38323,325549.3422,13825.21569,205387.2922,11008.50238,25778.02823,12616.58501,69876.91803,37561.30996,33697.42529,7499.810896,16920.90808,11102189.11,3044.124528,19387.11446,104819.2532,30667.03293,346253.4921,251444.0834,30985.92665,1228547.417,1052.52155,5088.722451,120254.0405,23883.52432,8535.209903,116902.4556,7292.551164,330113.1106,8419.62683,1638.265981,4852.897542,19428.02943,402244.4062,11480649.87,2228.54309,59088.89931,82389.96861,61702.07745,71847.7967,36500.02683,169371.6206,4638319.687,8723.518268,7055971.944,8698.571749,7231.186623,33391.96094,197284.3529,22299.38724,3081482.188,48542.08609,96809.72034,6670.742533,22293.64433,2240470.935,2996.304951,249210.7524,27845.0919,264404.3287,8433.804385,4731.696925,102471.1264,40445.03167,7729.429463,40001.98641,5905.075359,3833.181993,24440.44243,100418.7967,2972.230385,239391.8744,762972.7599,66446.96279,6224.727655,,8813.477269,491477.2804,4863.297257,12640.0362,2571184.81,196002.442,154844.125,2173.450899,65318.47133,334136.4111,7331.834011,9899.71077,19008.83148,1483562.62,699234.1644,302742.636,39576.87575,2638.510956,5443.651442,4139.089313,763.5253948
P2_FA3,neg,cells,sample,cntrl,5X,p2,411929.6754,14920.53122,336525.4153,1944680.656,759807.1887,5593.550437,86736.03524,461422.9687,689365.974,96861.73979,119333.3748,258.0022125,3193.038742,10185.41794,47882.22966,42144.21562,355291.0307,17199.68141,279884.2302,178647.3424,452905.9941,72996.47058,3179.25017,2277639.829,48819.24609,24584.24308,27143.21344,769030.2973,719816.499,30132.99387,12061.47085,422474.8479,1494037.872,30503.01078,18426.34034,526356.1926,56435.80182,1435730.177,33581.68273,79539.40254,2570967.254,16802.57016,69595.72147,3441.214198,69661.82134,25931.57172,22188.62787,119078.4872,68656.49948,12682.34327,72338.48408,51353.56734,119406.9516,1422.824806,1889.77844,1841.307642,42745.50269,554177.3356,6933.431082,3126.845327,7890.165161,8772.673315,536.0158949,3710.664453,90151.53394,12175.4859,4391.124216,23455.43122,36595.4731,16709.32038,35395.88745,9280.565681,1209.120643,7176.20512,61239.68576,43842.96604,1520.248622,320321.6791,14833.77297,127725.1001,10011.7,81272.10738,4680.644978,11190.64326,6138.394643,36174.67635,24827.93257,13947.47259,2919.509367,5245.65985,4859014.853,654.9325244,6856.131449,47132.6707,11445.50739,145062.2796,98430.55527,11358.50045,571845.7006,298.3195237,1521.642305,65695.96854,12151.98811,1844.838285,49895.22284,3628.660973,131771.7732,4947.171982,849.3201284,892.2522811,7714.445085,141477.8797,4302286.238,831.1376789,23381.54355,39045.40115,28793.37581,23641.92588,18541.18499,61280.85242,1603656.099,3939.865544,2246445.385,3366.844397,2739.452179,13552.3269,67896.55373,7262.266474,1174811.536,19939.9117,38758.43797,3210.389851,12305.69604,840110.3953,439.4633562,105695.972,9086.196525,170789.1892,4940.791535,1040.018921,67314.62511,18891.50965,3440.220365,14923.01548,2216.657687,1036.226166,11126.47127,47869.23208,516.6983562,109590.6587,340718.7512,30667.52527,2736.737977,159.537,3182.115626,297548.9996,2680.999597,5747.101892,1261092.789,98731.97566,70354.76254,1313.951541,31347.16386,144758.7814,3140.726136,5509.341991,7609.956204,653243.69,378846.856,146342.999,18046.83013,752.4960302,1565.001914,1235.710567,102.063959
P2_FA4,neg,cells,sample,cntrl,5X,p2,1011840.26,31746.63915,1073329.138,5442839.532,1349193.427,15492.38318,222612.5708,1183247.941,1590678.618,247048.2011,331130.932,2053.87448,10719.20071,25372.54486,123728.1644,117722.3493,901467.6869,50287.48459,786293.3369,588238.2476,1186803.018,228349.6863,8754.801244,5801119.511,99954.30421,41621.28279,64448.65709,2176024.636,2112794.777,60871.07985,42170.54308,966141.4507,3507548.739,92701.13885,34287.54526,1440599.143,97438.22785,5228455.682,110049.9167,205582.5744,6055482.585,34319.4129,182923.9411,10723.67512,155581.1729,65532.32276,57784.0764,247649.0519,216138.4007,24422.84002,138646.5865,116750.2331,215999.062,4690.685263,9116.047603,6810.951588,103428.1292,1552408.862,20248.35033,15198.13544,24292.92183,21026.94891,3206.293737,12491.59216,222342.2736,19221.85496,10696.6429,47158.12208,52206.61023,37878.62389,96400.35061,15247.28947,4851.491825,20744.86595,188491.773,132241.0117,4741.439408,922520.6378,37285.06925,331660.386,12903.87916,204016.9083,13202.85613,36339.84102,15326.65031,73863.54378,49039.45441,33630.45492,9600.181207,18671.58167,11220740.15,2781.70878,17469.6091,100251.5651,32127.51395,395769.064,254571.0028,29255.69447,1200027.806,1607.060815,4840.487687,149249.7186,29316.8436,6692.819273,130192.0882,11093.60822,337194.9377,10870.90224,2376.581939,4113.166673,22785.79723,415340.6378,12012403.37,2297.8807,54127.83227,87273.89246,84910.66636,61574.31595,38899.30497,156964.5779,4491155.181,9873.841517,7276902.114,10033.72871,8062.019542,37623.16641,195694.6075,20093.59611,3024756.09,56369.67203,93136.92711,8292.607821,24494.93322,2161465.914,3353.134127,247109.9323,24826.39608,337279.2676,16050.85849,5237.246811,120099.7594,34583.89512,8953.87896,34942.54623,6001.320364,3980.281344,21803.57237,104294.0129,3680.803113,196753.9069,722006.4379,57928.03999,7157.609898,655.3418804,11138.05594,464436.4913,6753.460743,10312.62444,2261340.474,165332.1626,155832.6949,1370.395871,68249.07579,321399.4619,7287.946367,10836.54284,15404.88736,1343352.121,746493.2664,300965.7201,38657.0278,2261.601938,4636.121302,1742.945461,590.7886135
P2_VPA_FA3,neg,cells,sample,vpa,5X,p2,883777.2937,44016.17939,1106915.139,6257032.467,3591566.155,14989.54352,248939.7197,1274879.91,1812012.148,406219.3363,405142.3983,2088.013542,7394.126852,30483.57544,142566.5232,102371.2933,907629.089,60716.75842,877120.8764,514309.178,1187305.67,193511.018,12833.3714,8115972.516,135878.7538,44400.23679,91830.3212,2539439.766,2347997.394,93915.43552,40774.649,714421.4054,3592689.806,145566.2285,40466.64997,1754204.8,103257.2921,3758932.677,118416.3394,311543.1337,6708984.736,17983.98544,201470.9878,11511.24255,209669.1488,108129.233,62242.34618,357623.5171,181970.9472,30824.1978,146139.8907,139639.6046,226361.9354,4798.020516,9574.459507,11195.86169,115437.2291,1779708.384,17190.67639,15008.89601,17497.88235,40810.39158,1697.139141,19749.04099,278551.4671,46987.33975,51333.86292,49945.78811,64847.51085,56609.65079,100199.538,13071.12367,4862.057856,26224.52262,189785.4407,204509.5365,9743.743101,993142.5142,54654.89839,929421.0862,25868.38805,238483.9954,9970.777799,40957.55414,20557.46079,152956.8362,42825.03475,35963.16829,15558.89873,28370.35528,11142965.24,2796.359908,15269.45891,113109.1552,45326.15294,395123.1288,351122.3389,36096.25422,1420614.163,1316.006907,5774.44702,124293.4234,25810.25647,9409.98002,86227.08535,9579.668501,359623.733,24317.44222,2143.87929,5132.960494,12626.95096,320347.6921,12871991.24,13080.95887,47893.09096,35985.42262,102727.9345,49367.11535,35703.97816,170046.3347,3293940.841,8863.666418,7407077.18,9214.684668,11133.5152,37847.92811,200273.5143,15343.70983,2993651.27,57635.78076,99806.32551,7201.498325,25793.60901,1283475.433,4043.248905,309515.1708,29980.80551,792057.9146,12483.69036,4718.866165,145276.7554,40333.21414,7246.353533,39648.96875,9318.219064,4499.227348,26131.8439,107926.7185,2536.971922,232444.6776,708663.1101,57628.95573,6733.384208,3609.909312,9289.52267,678090.9414,4107.630941,14546.86362,2855349.303,186680.3386,180169.8216,3338.726676,76156.93046,465889.7696,7794.337589,12284.5192,23045.76286,1677326.623,721410.9483,335128.0791,47479.54391,2639.554154,4861.413088,4237.837093,509.9352308
P2_VPA2,neg,cells,sample,vpa,base,p2,977084.245,51833.43766,1154003.881,5082145.866,5675569.37,12216.9889,218718.4228,1019995.189,1471665.914,299206.0948,358803.6626,2122.55183,11223.22763,33800.04102,129201.7025,73137.56751,718272.6049,48925.32609,786750.0007,570693.538,981649.6982,189282.3907,8294.522686,7461798.571,166225.2628,50629.43658,69741.92456,2302214.057,2075917.657,93810.72473,39705.11323,661198.7491,3010076.49,156526.8695,26766.22679,1469785.146,118030.3776,4174651.202,97503.48141,247248.6092,5273123.038,22896.10675,193466.7622,12640.14391,208202.7399,89618.11382,40353.36021,337243.6627,133417.7432,33610.913,189860.4071,130225.6778,199470.5071,6058.894811,6648.192518,11345.20739,91287.74024,1580847.714,28466.39407,16888.95733,17258.19281,35504.5683,2499.759586,15441.55782,301500.4404,31746.57162,45058.50546,55940.20018,56301.95628,37032.08391,94866.09209,11668.26229,4249.300899,22290.56732,138157.9015,189796.8324,14367.36519,897379.4193,42337.21429,921187.7876,21577.11018,205424.1937,9298.004915,49330.2258,21437.22374,102093.942,52478.99185,34492.00117,11304.01333,21142.50393,9736867.545,3036.472078,14249.52604,116693.5874,39402.31123,343370.8079,254756.8297,33260.02257,1142158.47,2799.092059,8164.868087,126939.7624,29092.28092,8409.974169,136981.989,10452.78887,376027.5419,34238.34291,8184.884661,2995.515798,27016.853,364991.1582,12658746.5,12547.40997,48479.84174,68347.93313,138829.7206,46793.92615,54623.05782,169917.377,4032875.365,14157.02625,7701461.148,7893.929139,10882.71202,45660.89986,198715.6841,12942.08623,2131135.026,52579.32766,102013.1754,7708.367295,40006.62036,1513615.815,3860.817048,248695.5516,21350.50548,694629.4622,9929.443986,5288.394016,171242.1451,41893.90473,15057.77055,40150.93546,7729.773876,3517.835716,21401.70606,103767.4857,3558.188822,213595.3991,852994.9388,67572.18324,7321.396545,1659.766705,8722.861161,453036.626,3207.977071,12828.90676,2279708.762,171121.2917,159557.2249,3823.894701,61980.83498,332807.4192,5933.232108,11195.28501,16120.65323,1227337.438,674366.7814,323352.7157,35727.03926,1946.835156,4179.358878,1611.43977,247.0370241
P2_VPA3,neg,cells,sample,vpa,base,p2,856835.6832,38566.71006,1352584.767,4532758.685,1771151.196,18948.84888,189739.3084,922547.6074,1289891.851,370604.9223,367698.5365,1649.747334,11378.43068,21529.44502,136828.2083,97729.48992,746207.0856,58086.8357,670388.2105,513626.7615,880213.0985,205109.8658,9829.043853,7143188.194,94038.14974,30591.67087,82050.12693,1792794.078,1756357.596,75441.12103,39782.82812,713503.3185,2890480.805,96355.43234,31226.76267,1496320.359,73440.63814,5762995.136,94974.24355,251994.5637,4574708.091,42893.14136,160273.0176,10843.04743,171030.7332,86805.42197,50064.87588,338049.2374,202869.0653,23271.23948,101932.822,106977.2923,153852.9792,4138.896511,6179.071938,5898.533807,96132.12668,1339601.705,11944.33048,11649.17742,12091.42649,35623.61194,2769.887629,17191.52652,152935.7611,16909.10493,38321.09334,46559.30909,49421.76923,34182.79974,100057.0761,23614.50707,4939.674781,24224.57151,122064.8436,193289.9164,3744.908419,823938.2873,49722.56594,934999.7673,14632.20911,216121.8986,8560.554857,29283.11691,14336.58771,59981.32083,50865.79969,40533.95907,12146.9544,23727.60384,10076578.23,2790.64445,11877.4531,102933.2599,38622.12565,321829.3027,239516.596,36089.60375,1194816.966,1647.055553,3635.420377,121747.5911,30573.67305,6574.21637,128450.7287,10042.98891,372759.5424,9377.291201,1363.477006,2727.090553,11570.7018,361025.357,12683127.51,9621.373765,44178.92534,41229.80906,73352.61023,57951.52092,26409.27907,176115.8229,4034852.954,5810.458947,7974981.742,7231.156077,9211.1616,56428.55796,214234.1557,10797.57446,2436150.954,65573.38068,103338.6035,8422.395937,24499.63251,1445926.296,4566.988502,283218.597,22177.31668,462299.3067,8462.698482,6233.303252,80186.04531,44494.96086,9418.167037,42292.76599,8379.379352,2213.952201,22307.90895,92559.98462,2943.098702,209780.7926,709614.2183,58130.34128,7607.020149,3305.039819,12252.83882,443355.44,3058.711526,11486.31767,2564768.014,178206.5468,163044.3254,2403.649476,58372.95706,334619.6702,5976.164009,8930.939935,16131.10749,1282648.015,576835.1978,296707.8537,44805.03029,1241.514384,3982.60799,2532.395241,230.8668983
P3_C3,neg,cells,sample,cntrl,base,p3,1043801.104,41822.2836,1098800.763,4976377.584,4341649.356,13754.59432,217957.9776,1157152.845,1419836.06,225656.7612,310376.4123,1918.671001,6452.141636,32101.17073,100997.6721,63769.57328,792199.9228,50069.71959,757236.717,702858.0938,1077840.088,207927.0584,12262.27009,6050444.117,144047.5761,84817.28848,63415.56178,2243884.792,2074230.13,70729.63519,43410.82852,844099.9962,3357658.962,35675.96789,25147.27913,1185486.94,192816.145,4915174.556,111642.3186,215506.9094,6065664.354,47456.32415,204560.153,12871.14162,206227.3406,63612.59659,45252.94481,322413.1073,132962.5957,38693.39367,328915.3704,114797.7991,248914.2944,6614.355415,7915.252107,8749.886285,74533.45923,1566476.144,28691.62183,11793.26686,30148.23433,28945.15849,3875.515719,12768.87514,284825.2185,46317.28664,15743.37214,66105.59816,50590.87027,35278.66553,111979.1794,23223.77161,6278.771126,22478.57425,188082.5856,126504.6253,14036.75881,863273.1932,34580.58195,370605.0644,22738.66604,182805.6683,8787.287973,29862.92283,19744.35801,79252.86561,47888.47415,30074.03747,10034.59833,21551.08129,9673623.125,2579.98527,16874.0368,122904.5161,39091.21707,366390.0168,232546.1084,28272.94741,1162656.489,3333.007605,6825.837365,148194.5523,30804.19569,9100.09551,79310.95351,8962.171274,351053.8145,27303.41561,2807.669715,4249.172532,23354.03172,454130.9081,10948399.23,3332.806832,53585.51739,98876.32798,99606.95582,76100.87853,68130.15823,147228.3298,5074737.432,19113.10343,6518866.275,8621.63534,10267.62638,43430.96268,185473.807,23524.94188,2628391.961,56643.10346,90574.1463,9552.495573,38815.39844,2364299.783,2196.586137,232313.2176,30480.43637,451425.5212,7762.982243,5033.285078,181895.6391,35941.10746,16636.69936,34166.71153,7795.066355,4074.625508,18674.54609,103777.0615,3181.010193,212539.2637,886080.5687,75062.46004,7154.432897,337.3051974,13789.93814,439290.5973,5297.464461,13523.53054,2341924.223,175114.8135,169725.5519,3904.032068,59631.8687,368182.5368,7496.955752,15567.00394,18889.15604,1576552.31,757052.2284,322174.8618,34701.27089,3120.237428,4092.546653,4579.19059,106.7942552
P3_C4,neg,cells,sample,cntrl,base,p3,966647.147,30885.27743,1104719.282,4742307.043,1338609.768,17652.73083,206422.9625,1136071.585,1329823.689,234872.7084,334716.7518,1682.984373,12484.62406,26210.21748,120532.389,86261.52644,850611.5804,50521.77169,700982.6724,576345.5207,1054621.95,228186.9949,11788.02611,5883791.867,88357.52143,44407.02122,62185.68876,1808398.5,1802513.478,69642.19505,45013.14051,896042.9289,3194222.133,32350.94859,26943.10882,1134779.14,109287.786,5393707.57,106338.667,210913.4941,5677210.941,40738.80369,180954.2758,8424.802788,162724.0448,62497.66561,38549.14698,234274.7976,260791.9408,29126.98153,248784.5517,108845.3166,194793.3911,5172.324994,9209.138893,5593.42775,81241.85696,1354931.565,18581.80083,14709.4009,22030.66308,19838.94137,2690.505777,11022.03814,189496.1307,20956.31841,9799.788198,57461.32468,40061.10823,36447.99447,109381.8581,17911.8366,5581.67347,19274.97877,181240.9885,123448.0665,3044.425637,841981.4211,35705.61991,348044.2759,11558.65941,198545.893,9994.196191,35519.5522,13489.90284,70745.98726,45233.88232,33326.51715,10131.08614,10832.56083,10041466.32,1642.978328,17718.12014,113398.8451,36651.79742,330825.1623,240928.8983,27862.92957,1265678.581,1427.124679,3139.131711,138881.4431,24488.78882,6989.906134,139003.4372,8700.721924,321450.2556,8279.874228,5695.419286,4046.458046,21944.54504,343664.1043,10507832.61,1969.535504,45171.95905,77307.89293,57325.714,60833.72364,33104.1287,143227.3574,4147621.833,7431.034119,6578892.93,9153.42542,7983.671828,36341.6909,185726.5827,18393.00524,2807626.601,46947.76938,89132.48607,5546.233174,18255.33837,1896052.196,2366.991628,235423.4051,61395.21035,223197.4282,18467.1882,5435.300208,100403.0329,36809.14856,8618.255497,38842.30533,5279.656794,2736.097707,20740.34629,89016.70621,2728.153551,222718.8356,690206.9374,58012.23002,5091.279996,250.9053087,11278.69089,483708.7036,5136.354359,13492.42472,2651713.761,197231.1396,163055.4639,2063.166333,59680.68821,310586.0748,8360.264821,10419.08936,14453.02719,1230050.646,724484.6132,298773.0198,39180.47088,1980.225431,4700.167524,1956.602525,343.6057066
P3_FA5,neg,cells,sample,cntrl,5X,p3,765851.9268,32030.40494,1005040.342,5091383.756,1646662.318,12242.73716,216933.1996,1279166.675,1586601.079,247767.3546,313565.5181,2348.095561,9909.953013,21648.83816,115762.7972,77062.77477,917505.0619,50129.78668,720565.6751,468392.9189,1174867.136,227602.2062,9186.73336,5678500.648,106880.6435,55315.9435,65136.00113,2016205.065,1913460.043,47610.60023,43547.69445,837281.8337,3600936.089,29103.09038,14676.03317,1227168.626,138749.3376,3900638.868,110786.7889,223672.3232,6583489.019,29628.87997,179013.3346,8485.993027,149601.2503,65497.69075,42049.13935,225795.2767,194950.0707,32642.76502,274251.0831,125099.9302,213445.3923,4984.45276,9419.175644,6225.133521,91814.60526,1460459.213,21392.33439,9290.067002,23085.06582,23005.04506,2448.208546,11855.00594,214969.7477,33564.78527,12415.66685,54572.05912,46822.61197,41558.87015,100689.2519,16545.09685,3592.146931,20208.35197,186482.8283,121719.0548,5025.388941,846860.7966,34414.84927,315089.5878,20348.93902,198581.4994,10169.81306,37122.53048,18792.56181,105637.0584,37653.00943,28014.80001,6921.341155,11108.56808,10357153.74,1951.318666,18916.83978,115675.0713,40221.63408,345593.2058,260923.4002,25881.68432,1346163.987,1990.700728,5263.57819,128677.0378,24358.58484,7405.887298,119972.772,8626.350553,288742.7239,12819.65057,2318.101826,4507.547517,19759.21446,347789.3496,10920091.79,2652.927057,49252.29745,90090.79755,70051.8397,63291.58606,41042.23233,135051.3953,4010977.749,11029.70205,6142064.705,8540.010572,7408.772101,38443.49997,175876.7358,20860.86121,2945133.539,43364.27486,87638.08086,5210.623736,20648.11902,2060689.163,2151.426276,254762.4229,26159.81194,326435.4699,9742.170504,4310.255727,122231.5124,36612.37083,7394.162872,35473.70281,5923.000664,2418.275234,23006.16264,96834.99864,2734.938214,208667.2135,669982.9791,62974.27598,4341.994265,508.9262083,8199.188901,622956.4053,6691.294654,12911.68491,2799105.707,217164.3484,165227.8343,2578.954182,65608.88489,342485.0773,8306.583233,12001.16158,17204.07422,1337657.671,706704.0627,305299.4033,38745.02257,2605.60057,4822.121323,3533.421255,287.3549858
