Cmpnd_short,Cmpnd_full,Formula,Mass,RT,CAS_ID
pC74,"NE,NE,NE-Trimethyllysine",C9 H20 N2 O2,188.1519,12.42,55528-53-5
pC75,N-Acetylmethionine,C7 H13 N O3 S,191.0617,1.46,1115-47-5
pC76,Acetylcarnitine,C9 H17 N O4,203.1159,5.08,5080-50-2
pC77,Tryptophan,C11 H12 N2 O2,204.0899,3.18,73-22-3
pC78,Kynurenine,C10 H12 N2 O3,208.0854,3.23,2922-83-0
pC79,Phosphocreatine,C4 H10 N3 O5 P,211.0359,7.51,67-07-2
pC80,Propionylcarnitine,C10 H19 N O4,217.1315,4.27,20064-19-1
pC81,Pantothenic Acid,C9 H17 N O5,219.1104,2.2,137-08-6
pC82,N-Acetylmannosamine,C8 H15 N O6,221.0892,3.26,3615-17-6
pC83,Deoxycytidine,C9 H13 N3 O4,227.0912,2.18,951-77-9
pC84,Deoxyuridine,C9 H12 N2 O5,228.0758,1.33,951-78-0
pC85,L-Ergothioneine,C9 H15 N3 O2 S,229.0896,5.45,58511-63-0
pC86,Thymidine,C10 H14 N2 O5,242.0906,1.18,50-89-5
pC87,Cytidine,C9 H13 N3 O5,243.0856,2.84,65-46-3
pC88,Uridine,C9 H12 N2 O6,244.0691,1.69,58-96-8
pC89,Biotin,C10 H16 N2 O3 S,244.0887,2.84,58-85-5
pC90,2'-Deoxyadenosine,C10 H13 N5 O3,251.1038,1.71,958-09-8
pC91,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.1031,7.23,28319-77-9
pC92,D-Glucose 6-phosphate,C6 H13 O9 P,260.0298,8.41,56-73-5
pC93,Thiamine (Vit B1),C12 H16 N4 O S,264.1054,7.95,59-43-8
pC94,Adenosine,C10 H13 N5 O4,267.0969,1.76,58-61-7
pC95,2'-Deoxyguanosine,C10 H13 N5 O4,267.0975,2.56,961-07-9
pC96,Inosine,C10 H12 N4 O5,268.081,2.35,58-63-9
pC97,1-Methyladenosine,C11 H15 N5 O4,281.1131,1.44,15763-06-1
pC98,2'-O-Methylinosine,C11 H14 N4 O5,282.0981,1.58,301-02-0
pC99,Guanosine,C10 H13 N5 O5,283.0918,3.38,118-00-3
pC100,Stearic Acid,C18 H36 O2,284.2695,0.71,57-11-4
pC101,Ophthalmic Acid,C11 H19 N3 O6,289.1276,6.7,495-27-2
pC102,5'-Methylthioadenosine,C11 H15 N5 O3 S,297.0897,1.12,2457-80-9
pC103,Retinoic Acid,C20 H28 O2,300.2075,0.75,302-79-4
pC104,Sphinganine,C18 H39 N O2,301.2977,0.94,764-22-7
pC105,N-Acetylaspartyl Glutamic Acid,C11 H16 N2 O8,304.0907,7.09,3106-85-2
pC106,"2',3'-cyclic CMP",C9 H12 N3 O7 P,305.0417,4.1,633-90-9
pC107,dCMP,C9 H14 N3 O7 P,307.0568,7.55,1032-65-1
pC108,Glutathione (GSH),C10 H17 N3 O6 S,307.084,6.71,70-18-8
pC109,N-Acetylneuraminic Acid,C11 H19 N O9,309.107,5.83,131-48-6
pC110,CMP,C9 H14 N3 O8 P,323.0514,7.87,63-37-6
pC111,UMP,C9 H13 N2 O9 P,324.0361,7.47,58-97-9
pC112,"2',3'-cAMP",C10 H12 N5 O6 P,329.0528,2.57,634-01-5
pC113,dAMP,C10 H14 N5 O6 P,331.0683,7.31,653-63-4
pC114,Nicotinamide Mononucleotide,C11 H15 N2 O8 P,334.0567,8.98,1094-61-7
pC115,3-Phosphoglyceroinositol,C9 H19 O11 P,334.067,7.4,00-00-006
pC116,Sucrose,C12 H22 O11,342.1164,6.44,57-50-1
pC117,Dodecanoylcarnitine,C19 H37 N O4,343.2748,1.02,25518-54-1
pC118,dGMP,C10 H14 N5 O7 P,347.0631,8.35,902-04-5
pC119,AMP,C10 H14 N5 O7 P,347.0633,7.43,61-19-8
pC120,1-Oleoylglycerol,C21 H40 O4,356.292,0.73,111-03-5
pC121,GMP,C10 H14 N5 O8 P,363.0581,8.07,85-32-5
pC122,S-Lactoylglutathione,C13 H21 N3 O8 S,379.1048,6.57,54398-03-7
pC123,S-Adenosylhomocysteine (SAH),C14 H20 N6 O5 S,384.1224,7.03,979-92-0
pC124,S-Adenosylmethionine (SAM),C15 H22 N6 O5 S,398.1375,9.68,29908-03-0
pC125,CDP,C9 H15 N3 O11 P2,403.0171,8.26,63-38-7
pC126,UDP,C9 H14 N2 O12 P2,404.0047,7.9,58-98-0
pC127,dADP,C10 H15 N5 O9 P2,411.0344,7.76,02793-06-8
pC128,dGDP,C10 H15 N5 O10 P2,427.0291,8.08,102783-74-4
pC129,ADP,C10 H15 N5 O10 P2,427.0295,7.83,58-64-0
pC130,alpha-Tocopherol,C29 H50 O2,430.3769,0.7,59-02-9
pC131,GDP,C10 H15 N5 O11 P2,443.0245,8.44,146-91-8
pC132,Phylloquinone,C31 H46 O2,450.3533,0.95,84-80-0
pC133,Adenylosuccinic Acid,C14 H18 N5 O11 P,463.0743,8.26,19046-78-7
pC134,4-Hydroxy Nonenal Glutathione,C19 H33 N3 O8 S,463.1996,5.28,00-00-039
pC135,UTP,C9 H15 N2 O15 P3,483.9686,8.44,63-39-8
pC136,CDP-Choline,C14 H26 N4 O11 P2,488.1075,7.88,987-78-0
pC137,dATP,C10 H16 N5 O12 P3,491.0006,8.25,1927-31-7
pC138,ATP,C10 H16 N5 O13 P3,506.9959,8.34,56-65-5
pC139,GTP,C10 H16 N5 O14 P3,522.9906,9.14,86-01-1
pC140,beta-Carotene,C40 H56,536.4371,0.71,7235-40-7
pC141,Cyclic adenosine diphosphate ribose (cADP-ribose),C15 H21 N5 O13 P2,541.0609,7.66,119340-53-3
pC142,ADP-Ribose,C15 H23 N5 O14 P2,559.072,6.92,20762-30-5
pC143,UDP-Glucose,C15 H24 N2 O17 P2,566.0551,7.23,133-89-1
pC144,ADP-Glucose,C16 H25 N5 O15 P2,589.0819,7.57,102129-65-7
pC145,UDP-N-Acetylglucosamine,C17 H27 N3 O17 P2,607.0817,6.99,528-04-1
pC146,GSSG,C20 H32 N6 O12 S2,612.1521,8.56,27025-41-8
pC147,NAD,C21 H27 N7 O14 P2,663.1107,7.67,53-84-9
pC148,Sphingomyelin,C41 H83 N2 O6 P,730.5957,0.95,85187-10-6
pC149,NADP,C21 H28 N7 O17 P3,743.0752,8.5,53-59-8
pC150,Coenzyme A (CoA),C21 H36 N7 O16 P3 S,767.1153,7.15,85-61-0
pC151,Flavin adenine dinucleotide (FAD),C27 H33 N9 O15 P2,785.1569,6.52,146-14-5
