Samples,Mode,Type,Group,VPA,FA,Plate,VPA_FAnC1,VPA_FAnC2,VPA_FAnC3,VPA_FAnC4,VPA_FAnC5,VPA_FAnC6,VPA_FAnC7,VPA_FAnC8,VPA_FAnC9,VPA_FAnC10,VPA_FAnC11,VPA_FAnC12,VPA_FAnC13,VPA_FAnC14,VPA_FAnC15,VPA_FAnC16,VPA_FAnC17,VPA_FAnC18,VPA_FAnC19,VPA_FAnC20,VPA_FAnC21,VPA_FAnC22,VPA_FAnC23,VPA_FAnC24,VPA_FAnC25,VPA_FAnC26,VPA_FAnC27,VPA_FAnC28,VPA_FAnC29,VPA_FAnC30,VPA_FAnC31,VPA_FAnC32,VPA_FAnC33,VPA_FAnC34,VPA_FAnC35,VPA_FAnC36,VPA_FAnC37,VPA_FAnC38,VPA_FAnC39,VPA_FAnC40,VPA_FAnC41,VPA_FAnC42,VPA_FAnC43,VPA_FAnC44,VPA_FAnC45,VPA_FAnC46,VPA_FAnC47,VPA_FAnC48,VPA_FAnC49,VPA_FAnC50,VPA_FAnC51,VPA_FAnC52,VPA_FAnC53,VPA_FAnC54,VPA_FAnC55,VPA_FAnC56,VPA_FAnC57,VPA_FAnC58,VPA_FAnC59,VPA_FAnC60,VPA_FAnC61,VPA_FAnC62,VPA_FAnC63,VPA_FAnC64,VPA_FAnC65,VPA_FAnC66,VPA_FAnC67,VPA_FAnC68,VPA_FAnC69,VPA_FAnC70,VPA_FAnC71,VPA_FAnC72,VPA_FAnC73,VPA_FAnC74,VPA_FAnC75,VPA_FAnC76,VPA_FAnC77,VPA_FAnC78,VPA_FAnC79,VPA_FAnC80,VPA_FAnC81,VPA_FAnC82,VPA_FAnC83,VPA_FAnC84,VPA_FAnC85,VPA_FAnC86,VPA_FAnC87,VPA_FAnC88,VPA_FAnC89,VPA_FAnC90,VPA_FAnC91,VPA_FAnC92,VPA_FAnC93,VPA_FAnC94,VPA_FAnC95,VPA_FAnC96,VPA_FAnC97,VPA_FAnC98,VPA_FAnC99,VPA_FAnC100,VPA_FAnC101,VPA_FAnC102,VPA_FAnC103,VPA_FAnC104,VPA_FAnC105,VPA_FAnC106,VPA_FAnC107,VPA_FAnC108,VPA_FAnC109,VPA_FAnC110,VPA_FAnC111,VPA_FAnC112,VPA_FAnC113,VPA_FAnC114,VPA_FAnC115,VPA_FAnC116,VPA_FAnC117,VPA_FAnC118,VPA_FAnC119,VPA_FAnC120,VPA_FAnC121,VPA_FAnC122,VPA_FAnC123,VPA_FAnC124,VPA_FAnC125,VPA_FAnC126,VPA_FAnC127,VPA_FAnC128,VPA_FAnC129,VPA_FAnC130,VPA_FAnC131,VPA_FAnC132,VPA_FAnC133,VPA_FAnC134,VPA_FAnC135,VPA_FAnC136,VPA_FAnC137,VPA_FAnC138,VPA_FAnC139,VPA_FAnC140,VPA_FAnC141,VPA_FAnC142,VPA_FAnC143,VPA_FAnC144,VPA_FAnC145,VPA_FAnC146,VPA_FAnC147,VPA_FAnC148,VPA_FAnC149,VPA_FAnC150,VPA_FAnC151,VPA_FAnC152,VPA_FAnC153,VPA_FAnC154,VPA_FAnC155,VPA_FAnC156,VPA_FAnC157,VPA_FAnC158,VPA_FAnC159,VPA_FAnC160,VPA_FAnC161,VPA_FAnC162,VPA_FAnC163,VPA_FAnC164,VPA_FAnC165,VPA_FAnC166,VPA_FAnC167,VPA_FAnC168,VPA_FAnC169,VPA_FAnC170,VPA_FAnC171,VPA_FAnC172,VPA_FAnC173,VPA_FAnC174,VPA_FAnC175,VPA_FAnC176,VPA_FAnC177,VPA_FAnC178
QC11,neg,cells,QC,QC,QC,QC,35417.8166,1171602.824,2948.54964,116524.5159,11201.87504,2449363.835,849854.8002,7540752.078,66135.28603,39420.45019,1359155.042,13812.96422,57785.39233,1119112.02,870359.6519,104253.9903,262831.4445,664602.7333,152002.6631,242644.2189,1097420.358,25538.10129,116376.1155,536935.2995,93224.71401,215825.2706,1531508.04,55903.91729,65238.68585,6250748.7,8945.521018,8148805.912,93723.2395,269542.3086,48937.28382,672060.1344,822526.1696,747613.2448,52829.32695,45995.61853,17862.58284,14081.28893,2006712.743,5948266.35,60211.42767,1581750.909,67611.4236,9067.491869,4397.758661,35418.35061,458011.2769,3178416.641,57815.36948,123288.5129,10819466.12,37137.94065,87332.47614,61737.42999,3228.415476,112585.5067,33972.26205,63341.54776,2400.270051,19664.85032,140111.0701,295820.044,18818.67646,5442.424544,2984.960306,77426.54106,933346.8548,10946.38301,30560.52902,32734.16328,7267.953569,126585.9387,116670.7991,20368.4816,2429733.933,19029.05907,20437.82127,85933.73804,65459.68345,848203.4362,29865.67051,1184679.912,10169.5068,60351.09529,11655978.42,38375.47123,22776.7424,9251.326103,21594.6349,31346.56375,167905.5953,14247.84247,18471.61781,13479.18818,24013.79671,2101297.292,26410.77393,12017.37859,5146.934629,131869.7691,30116.92197,12639.74549,46711.2718,27879.24439,67714.7554,20216.9477,1391650.401,467769.6016,16873.89472,70273.34089,3647.14079,879738.9896,8499.455507,23723.8067,21410.7985,1230686.982,36984.28497,190210.7046,101614.6863,1359513.03,59524.10436,174830.0981,8994.468378,100457.3668,109108.3771,42146.56716,3004622.899,261521.9248,10174.9615,19478.32843,74303.17427,88951.53672,47448.09931,265952.4636,56218.91039,3957.491876,95973.25518,16978.4272,46973.04537,7791.565342,14775.93977,14353.36263,16717.38254,41267.89594,238664.7889,6223.734988,17602.322,1152.041991,63023.48814,4744.807048,72218.25462,3193.901873,13665.68166,49261.59855,682.3701903,302590.3279,12127.24839,3371.133368,196660.4077,712522.9504,201945.8499,130982.1943,2184.870787,10531.67152,7393592.081,9316275.22,17103.92243,194861.1727,29889.0642,1122.451229,1015.129924,9851.966371,4105.189989,1492.135007
Solv2,neg,cells,solv,solv,solv,solv,10647.67741,40815.46512,222.2890534,25879.97457,6261.286657,48389.8014,24396.04118,90633.49057,32109.4362,,10812.27155,6690.667851,13962.60939,9986.515944,607.7565432,154.6497271,15014.82113,3353.485667,26913.98536,19941.71347,15672.09162,12210.58764,21457.21997,19257.39466,59311.70696,26774.63456,8024.542716,16107.0578,163.0550328,15545.0608,2147.944084,41987.03805,12430.91275,14967.37117,11150.67072,16869.55044,8197.710528,5794.944828,31904.68812,6126.39165,6431.895314,10227.2499,141631.0516,62820.67243,4401.496493,24527.43014,8737.398951,2370.973316,678.2311575,16033.00211,1421.869344,177731.611,20432.09051,6118.140403,47812.55889,2727.303145,230.5888282,4645.762741,436.9112207,3558.216482,1647.854551,3460.074861,,,32183.01289,963.5233011,4524.042212,2791.465181,,174.9513572,1303.40113,,4213.657801,1421.064583,,,,2852.216143,39651.22655,4975.190109,2486.352886,4624.748214,3876.611898,2787.098718,1205.464549,5039.822076,,11755.75415,49783.4979,463.9072709,633.5547903,2706.811145,7966.829817,1370.965014,10141.89134,,,10161.3344,2580.351267,400.5537324,1339.347501,,1172.064014,406.4604227,20572.58503,2402.019307,21267.53338,6212.912359,206.5996928,3191.622328,244367.6314,1218.457637,,,,3107.791437,2751.514608,10260.09449,558.9023423,290.637379,8532.593436,9345.522987,665.6175201,326708.6261,1262.566982,13825.06213,599.9635022,22915.1463,5245.35252,276.0211701,29980.21324,844.765479,1858.281674,6438.283462,6996.797636,5103.841365,2964.03691,1450.604333,302.3847251,,6858.213333,1783.157867,,308.1020792,76.32566954,3241.816545,,,1139.743706,78.80107357,,,633.0030197,,,,,,,798.1709757,,,466.7029487,913.0853036,1675.679457,,,,2904.663902,4969.704909,,3739.268932,,,,,,
Solv3,neg,cells,solv,solv,solv,solv,10123.80882,42402.84458,73.20664629,24592.32125,5680.9155,56015.20716,22084.14899,134213.947,33885.6788,,13464.48861,8312.692374,16521.31184,13321.15194,467.5734951,320.2055308,15875.67714,4859.967585,31054.70577,26868.68885,11791.29003,12312.08675,25833.53594,23443.59293,25408.84577,37262.87834,8631.241718,14660.97964,178.5866212,19605.84735,3096.3355,57037.5984,4580.99969,15343.38248,7669.976255,21606.8594,10807.7875,7140.450624,30373.88181,7565.167986,8222.733434,9631.112652,183530.1013,75235.70062,6820.894522,42859.62745,15860.3856,3757.362277,1257.828144,18045.36885,969.8177276,170794.2754,28626.33376,7204.425925,57408.0149,3977.296448,546.6420832,11329.97428,888.4468234,6262.878468,4478.868349,3686.849566,,,37419.9048,1264.992086,5124.150204,2790.435632,,391.4000228,2592.074841,,6128.799512,204.5377229,,,,1561.867071,59489.77623,7610.735501,3832.218765,6005.135963,5338.497611,3962.33297,1775.968391,6806.01098,,12196.04617,46653.56674,1369.437058,1597.84744,2812.314955,6151.785944,1685.486043,11668.52059,423.2313454,,4644.77124,2483.112186,393.5724813,3672.447928,,1722.363569,1126.209647,21357.46465,3254.043143,11936.3755,7467.406663,624.7960886,2653.652048,265329.3104,1933.934837,,,,2571.839578,3942.658872,16236.73785,358.3441298,,11257.01803,11964.36393,795.1995503,506860.2032,1570.130456,11891.88552,616.5307332,25091.13349,5574.511103,,30625.36528,1420.835777,2505.057297,6984.303107,8231.999656,5810.667782,3562.265836,1609.420373,101.4026435,,8185.408366,1715.292771,158.8074193,584.1520042,84.49267005,3441.469263,,,,153.7649971,,,1050.887487,,,,,,,,,,362.6508255,1596.233996,2971.051649,35.91817249,,,5545.171678,7257.527616,,3329.860373,,,,,,73.87022774
Solv4,neg,cells,solv,solv,solv,solv,8466.266316,42413.03706,,21680.37172,4951.708467,53801.58418,25719.17643,205336.0096,21619.93739,,12488.48473,8116.714132,17166.93766,15939.19435,1065.293148,148.1023487,15611.12456,6537.588118,41251.41477,21260.20654,17845.52145,9813.577956,23210.58758,18613.74364,54210.97251,22957.57309,10319.29755,13570.25672,39.58234077,17057.0303,2175.152209,53575.64094,6556.362596,15461.24611,6664.90772,23329.77684,8102.776769,6327.790992,17529.88301,10589.86047,11453.94196,9690.800087,133504.8473,122711.4697,8283.031312,59144.51477,16669.72039,7602.721502,2383.47456,9916.791827,1750.952038,193701.052,7598.727559,7873.585842,43638.65971,3969.936532,397.5161602,18644.19795,317.4556479,10047.45313,11542.84357,6650.809296,,,30516.03064,410.8553965,4447.511875,3038.69411,,1111.2843,1983.86806,,5699.51505,,,,,261.8357847,78275.62062,9887.22722,6729.996762,9848.71519,3312.747051,4788.572209,1572.336681,9576.994564,,9442.741601,131306.0365,915.8375633,988.4081534,7028.369392,7254.417931,912.4980717,8331.301774,307.8409627,,4838.709127,2941.521523,2141.060472,5556.381993,,4345.784192,1029.417396,24490.70932,4259.772827,24169.64024,13374.76443,1328.711668,9275.925281,446748.8141,2508.182892,,,288.3711477,1772.283224,7902.589554,20363.60534,956.3869918,279.138881,20667.56869,16702.47673,2530.070697,1042954.205,1269.579921,10466.49995,,44383.90339,3955.071443,306.1132923,71077.00298,603.1104799,8719.070589,14770.35897,8806.314709,6925.268948,5097.280186,4191.331692,202.1155656,,7127.348326,6329.674485,233.0073509,573.1022291,3110.885987,2729.884252,,99.33640012,4521.916893,,,,2249.562477,,,,,,,8694.255227,,,332.6061788,1489.839797,246.5598574,,,,6845.107922,10726.92276,,4240.874431,564.3873695,,,,,
T1_E1_C1,neg,cells,empty,cntrl,cntrl,e1,20268.17975,101633.2239,81.08782284,40733.38908,72730.57336,171228.2033,25100.79599,1204639.113,49176.2331,,31996.2785,7564.761852,33809.98484,116756.9902,29821.86409,72.97723514,20281.42214,64712.42212,51193.86643,49090.05544,94468.15366,26187.37212,25361.48837,234815.9326,34239.99249,136745.6883,186283.4779,10343.57867,5599.649891,23833.40489,14302.20539,3451590.472,22379.77197,23424.91477,5467.266734,26351.04319,359283.0563,376279.578,26185.63114,46580.9582,18692.00549,7828.576217,198613.7377,531680.0075,8160.254631,211872.7752,107836.5066,14771.5691,1254.310151,31014.77175,20545.55869,1252952.426,24977.12679,19933.41995,224849.7885,8484.879827,70547.64176,42817.86822,1304.362703,89295.27602,9754.710751,8701.894526,,3952.013307,16145.26976,174727.6246,7300.422335,8568.105895,,3639.8341,190473.4682,,8846.517167,,,4844.779301,20172.05287,11065.85777,55435.96017,254687.3026,37145.33297,24452.36803,289372.7094,175389.9676,15191.21293,74670.516,,13120.50695,1173852.267,13830.28629,8109.787677,15650.06794,34844.75114,15279.01225,60031.21323,2908.453015,,19343.3551,10410.35625,248991.903,12089.84815,,8455.140472,77871.56131,51766.71647,17524.84834,15324.51648,32897.60299,33246.0518,12472.62869,2811629.299,70253.00174,,,102.5695574,75614.32977,7645.040276,47714.9895,1796.651233,2405.970506,12338.22546,107780.1737,31792.37058,2963411.587,1220.753717,283562.9751,23557.17147,174019.5073,19801.09668,1938.188774,107386.9208,97181.66915,4737.425231,36905.49947,10816.33696,16131.68805,7715.817106,13514.06494,227.9192955,,15222.50243,12458.19835,12051.40704,1201.657872,7638.874806,2853.436208,,,14982.97494,44232.37733,990.1060405,,15059.69623,,4759.13925,,,2159.089845,931.4329072,30878.36472,530.9070263,,347.9399465,1268.424288,710.0183109,149.4975281,78.19561065,,12274.65588,14601.06342,,3418.430349,170.7262664,,,,,
T1_E1_C2,neg,cells,empty,cntrl,cntrl,e1,20240.10323,77154.0665,151.8496012,48688.56395,55402.22692,119980.1551,34608.61692,934942.6918,40738.1369,,23215.42816,7297.701425,32449.87803,75150.55033,25602.97046,,16229.8875,35743.75125,53737.56086,41625.17685,91140.88212,14923.86605,24434.06511,163066.6675,34743.8834,101193.4462,123808.6071,9130.030154,2677.904576,16262.74196,13572.75259,2245003.538,17913.97174,21090.24502,6538.758639,24951.66818,229202.9148,235940.4686,20320.87597,42200.42742,19639.1567,11390.79007,163971.1457,457843.0303,6157.576656,183601.0944,92544.30309,13396.63817,2450.899018,20645.20511,16163.16713,860075.1763,21096.40508,18814.08534,146090.1814,8305.534581,47985.48974,35117.27926,692.154943,60244.96754,11175.17865,4943.157701,,2417.366379,15035.61586,121558.6335,5520.671527,13266.7376,,4402.657557,125795.9476,,3811.965034,,,2310.967844,11420.91487,8015.195143,53888.04969,247821.1193,33143.87409,17588.82435,241418.739,115054.4747,12339.93803,52421.06759,,14822.26882,522498.5524,11349.03577,7464.354429,10632.21384,27613.38318,9734.542052,40093.27727,2639.749878,,14180.71524,10221.29478,158412.1604,9939.113322,,6773.776414,53881.52585,51239.92203,11521.08581,15017.50062,28362.50994,22690.17964,9609.421989,2386987.902,35892.28994,,,,53813.90703,6140.489294,36105.93545,2132.603873,2418.53161,8839.875928,59981.26808,20176.11982,2816075.122,811.9097056,222725.9469,18343.20951,153719.485,12247.15431,958.2387656,35314.86488,58369.05556,4311.066002,28386.88926,10820.88937,11219.6802,7584.039985,9274.139288,,,13360.01726,10737.01614,173566.5873,1607.929989,7325.476965,3062.300226,,,1826.908076,30065.50619,,,36588.4893,,4870.342655,,,,564.8393546,4995.363146,,,,,,,,,889.0579602,1324.111552,,1648.501478,,,,,,
T1_E1_C3,neg,cells,empty,cntrl,cntrl,e1,19769.19788,79103.81489,426.1427245,45584.22771,65174.82546,147165.2993,27389.97696,1196183.246,49792.20449,92.5678342,29020.05057,7125.070577,32932.97332,91824.41576,25503.19729,82.33048835,16599.22982,45626.64629,44431.24259,42991.15259,79734.69894,16962.38533,21874.95957,193660.4648,32549.6349,118248.8032,152520.7247,9270.196565,2937.869418,17864.17204,11848.54226,2645485.318,20669.02289,20608.55629,13989.1463,23414.09559,296562.3365,297081.7733,21590.27922,37999.17657,15612.44377,6141.077244,196700.573,397831.6452,5959.203279,249965.7247,102085.1959,12767.6323,1297.417174,22794.87781,18923.1889,1030897.266,22754.65897,12037.55557,180591.2663,7542.797973,59369.95376,49868.7908,1006.05186,69139.08416,9102.11086,4724.399192,,2932.222001,15734.38182,143583.0138,5048.73421,12092.08588,,4108.863953,164663.1115,,2489.28599,,,4834.325567,14796.22665,9886.220694,48180.48529,177301.0207,40583.98397,23004.87509,393232.8031,145966.3202,12429.16607,65728.09035,,13513.29713,668702.4685,6712.638595,5067.925776,12806.22621,23140.63431,11522.26969,43032.90292,2573.700481,,16044.06309,7671.333895,173744.8884,9658.854689,,6510.562617,66375.02963,34556.0273,14338.40651,16059.98465,30429.47901,28416.97484,8790.719053,2137245.055,55432.53035,,,307.9481805,54325.22317,5260.501172,41655.74447,2407.513005,2311.923817,7365.760771,47962.00002,17585.73014,2183265.477,863.2088288,218747.7264,13628.66343,136261.3178,13887.14972,1007.541193,25596.76016,78010.41,4339.7544,29610.7937,8363.158105,9476.627316,8147.334189,6625.247649,,,16283.48073,11857.28309,89413.90024,2831.955805,15331.21997,2929.602299,,47.87310566,557.7303037,42384.03335,,,29717.35876,,4182.368561,,,,1766.390325,500.9926383,,,71.32793044,,,,,,,157.2320133,,640.2075622,,,,,,
T1_E1_FA1,neg,cells,empty,cntrl,fa,e1,18289.25459,61105.52176,2109.474516,67357.38904,33050.01458,69763.01487,24225.22641,1924556.526,55934.40711,,14318.36623,32579.55098,41067.67134,34531.15441,33180.10238,76.58107128,33351.59557,14745.55609,45997.17156,25252.6344,76532.34742,15077.50945,27791.30465,67776.00663,87675.87436,75881.85669,45490.25088,15874.18058,1066.55139,8365.790367,9619.137361,493975.82,27019.27222,16792.34188,15461.10203,27028.96632,89597.1215,77695.88393,16299.19284,32773.36581,36400.20841,10271.11149,158301.4973,413127.833,7480.358908,91601.8392,119781.3623,17053.95525,3294.984577,18054.0207,103.1904625,373117.935,10126.06258,11470.23122,70531.9784,6341.091883,17294.31464,38678.82348,867.0316211,26239.57443,13848.41319,7759.116528,243.1089355,,65472.37568,34415.67668,5856.002575,13471.15331,,9042.223664,45668.13737,,10856.16967,,,,7430.767931,1511.691137,58443.11055,192128.9724,19743.92187,13581.26618,359602.2934,42435.78231,12584.41471,31391.5159,,17725.7224,223801.4947,5575.047302,2611.252923,8153.975861,5673.610285,4589.557962,27023.68644,3069.32754,,10005.36962,7905.508489,23610.72341,8462.79606,,5787.681944,23358.62073,14311.72358,1226.230795,28697.45658,12611.84996,15116.21972,5460.016019,877010.3807,8752.157432,,,121.1214085,11263.46563,3621.156058,33380.23453,4121.020087,814.6445089,3138.798436,16696.95681,8804.703425,1001961.497,4082.780885,128732.7431,11953.58284,58064.36503,4754.74282,,93219.15839,14352.99414,2766.560555,12775.29209,10752.65521,6121.530197,4997.560287,7530.4866,,,7988.657032,9754.493195,39453.73588,975.7474177,9659.461178,2634.454343,,,4446.762227,41863.91598,,,2524.636944,,3192.424952,,,,,7832.970554,,,760.8751049,312.203177,626.3286179,,,,2974.108732,5132.694561,,1551.389029,,,,,,
T1_E1_FA2,neg,cells,empty,cntrl,fa,e1,20665.64017,75794.44111,149.4750658,57743.51878,66843.27998,138608.0032,29748.63476,1162261.773,43786.38455,,25517.80888,6877.751876,35072.19699,84622.25411,23790.30802,,17628.57917,43019.42604,46830.71067,44058.48992,87130.73487,20170.61748,24311.02932,188930.5653,34994.50538,111631.6912,144408.1695,7123.154195,2246.810619,17792.66488,11518.84439,2497372.636,18199.50187,44861.42429,5310.14851,25175.69979,277046.9482,296114.3048,21672.55001,41458.6501,16410.70141,12120.33298,181533.588,387114.9541,5970.373048,236418.0618,109464.3759,12224.63213,1414.565614,27327.80592,16989.72982,1001480.296,22683.24561,15862.58855,166031.8573,6481.850693,51187.2742,39518.95799,1223.414303,67368.68347,8865.260449,4294.248279,,2781.136276,14131.31792,131007.8674,5284.740969,12036.09287,,4124.214134,148818.5623,,3210.781354,,,2294.743757,11554.38641,9223.598504,56507.56724,226957.1926,41786.00276,20151.88854,335729.5445,136489.994,11205.97257,62764.82108,,12605.71238,580088.5812,9836.84349,7153.552581,12567.31219,24058.18515,11247.38513,45080.35266,2724.462197,,14914.96658,7803.393462,185857.9749,9331.046677,,6524.672988,65244.27673,32838.88195,13346.86104,12920.21253,37151.00217,24612.53972,9032.024766,2179904.466,44586.97213,,,,65131.10164,4870.855766,33770.59265,2857.577646,1305.285479,7889.628783,47303.36526,22159.72922,2526715.649,1425.54066,226207.4802,17410.29411,130832.0205,11876.02067,1436.584641,30746.45814,68573.84749,3921.061439,23538.9569,8408.094397,10315.31184,7318.921986,9087.494463,,,12348.48219,11636.29596,64989.98918,1536.219341,10233.23308,2975.464681,,,1701.512471,183604.1172,,,24214.55977,,3795.693443,,,,615.9216708,2799.038676,,,,,,,,,520.7269738,1449.147788,,932.6460368,,,,,,
T1_E1_FA3,neg,cells,empty,cntrl,fa,e1,19147.90557,84232.57305,,38045.97202,86286.54008,148152.4042,35055.65206,1213715.455,40292.0297,,30148.28806,7661.638414,31497.84437,100280.4922,20442.32013,154.7186898,15685.33181,61208.05283,49256.01691,48455.5652,81345.28946,25387.14879,23179.4998,220027.8817,28562.9625,121508.3653,173195.6439,8102.653795,2289.344307,27044.83573,13085.56592,3650615.251,19291.90251,40886.25407,6915.048267,25373.96553,340224.5318,351231.1819,23962.80425,42510.1722,17721.73284,12396.42944,180857.5652,423613.2599,6748.617105,211190.5078,112299.9792,14392.39253,903.166182,28120.60694,22894.69112,1251354.455,27220.3243,15962.55697,188634.9633,8875.922817,62875.06901,37482.27125,1194.471459,96891.29948,8285.444244,3858.723616,,4788.019355,11380.44752,191729.526,4885.392645,12415.24209,,2754.998017,172882.761,,2175.021937,,,4036.730447,14977.05844,11932.57125,56926.31256,193352.875,35403.29507,20455.37624,275665.8761,161043.777,14785.04725,71855.90617,,14231.98018,751983.0952,11680.82198,8678.394314,13998.55459,27388.05283,14774.90355,47711.14402,1498.284275,,17879.64427,8199.240106,282230.46,12284.26145,,7315.436653,70269.1458,44121.86955,14650.04044,12578.97081,32315.14258,34244.26617,9163.101452,2658760.987,64834.63969,,,,69015.86224,6170.332521,45424.94073,3172.537668,1543.1633,7349.242661,60653.96587,31335.03,2906662.987,1856.197405,269594.8912,19149.95209,163044.9886,13382.84452,222.441108,21115.86226,100474.8453,5310.130957,29916.36822,7751.613532,11191.15947,7923.776603,9259.237163,,,15648.34535,9452.75065,7872.532994,1698.140654,6864.309887,2589.893033,,106.3053244,130.2772537,210017.5543,,,24096.33591,,3859.927637,,,,1588.461981,121.0780619,,,,,,,,,327.1797615,398.2335203,,1239.248018,72.38281125,,,,,
T1_E2_V1,neg,cells,empty,vpa,cntrl,e2,19564.90151,89675.57965,,42912.20965,60457.12699,134197.7051,26143.73462,1063463.314,44668.01091,,25408.70108,7693.63869,30589.16435,92029.31728,27888.12257,151.3769462,19458.47272,49352.54821,48917.60852,47795.51803,99020.33525,18213.56438,26714.70385,193620.9234,34972.92138,117784.9586,146670.6389,10474.81395,3572.511217,20209.74696,14306.0585,2678837.034,19685.04049,23937.32164,15037.12896,25024.66239,277460.0242,299203.9244,23245.24173,47124.20976,19096.83782,6380.083876,187301.8672,446912.544,6563.771088,206942.3425,110245.5308,14188.95901,1942.960359,169941.0963,17787.00972,1018532.208,21744.28702,19681.98947,168823.1252,8452.930137,58484.00246,38556.57972,798.3905514,77685.99075,9631.278821,6025.320209,,2973.725433,17661.71361,144708.1952,7325.065989,12605.9901,,3760.339502,156541.2473,,5172.606862,,,,16268.74649,8562.340274,47450.48282,295130.6075,37258.19236,22634.47767,276048.1522,144573.0581,13100.30002,62898.12157,,12664.05964,735071.8796,9787.091967,7274.750328,15252.27255,39284.6401,11221.58366,51441.42369,3118.790389,,17789.22995,10140.72125,192211.535,9658.326337,,7340.049885,66241.15951,33175.94331,16184.39909,13571.69325,41280.43896,26755.86991,10220.87007,2370308.969,49699.81144,,,200.5441218,65880.72499,5996.301092,42689.3271,3099.718626,3336.347174,8314.661758,67750.84717,26984.50541,2430112.434,1193.069745,244333.9031,20783.58428,157786.1073,16193.06121,336.237607,53869.55162,76354.92318,3180.961961,21988.66209,9857.335861,12519.71447,5631.383183,12538.43879,,,10593.48722,12255.75916,45898.5121,1070.353833,8436.052667,1509.923607,,,5562.616319,34697.58311,,,3371.111042,,5072.164629,,,,409.8251766,9297.476174,,77.26370666,171.5726449,,,,75.88370657,72.04871268,2534.314957,4214.553971,,1475.045674,84.5771875,,,,,
T1_E2_V2,neg,cells,empty,vpa,cntrl,e2,13950.91525,77268.84475,,15917.25852,67134.72054,124828.9573,31520.71998,766503.5482,26625.68052,,25999.86993,7127.623875,23177.16624,81157.10145,18419.81496,,15564.29761,48935.52278,44840.58168,39772.14149,88217.31589,15490.40101,24354.60779,174980.1843,23855.44188,135933.8565,142807.3533,10941.86052,2565.791315,24279.35097,12690.1041,3361666.894,18485.75505,17813.97767,7400.613279,22941.82299,257689.309,252855.9322,25562.30573,46044.52562,17598.87056,12235.89091,161499.1066,451863.6211,6996.775456,126845.4003,98832.27522,13436.46487,1273.946711,103735.9945,20099.52807,1031952.639,24799.26635,18689.79194,152784.0509,10790.99067,49250.0507,29487.12068,1349.163773,80688.64069,6668.465552,4331.223329,,3428.455396,14470.95526,158006.3111,4987.881046,12878.94619,,1395.669029,119405.1254,,2989.266125,,,3614.905219,24720.21085,10775.90628,48275.2727,260028.6609,11605.07218,17187.6712,120844.6777,113870.6079,15340.05216,55647.6962,,9550.905528,740966.2519,13691.48995,9688.200637,11464.51512,29157.87479,8268.964986,36730.7741,2142.311952,,15199.73474,7893.789889,259366.4663,11178.48595,,7149.083163,51187.22472,32595.37036,13981.81683,9055.739074,26681.70592,28837.2258,8442.390321,1993524.494,40914.76646,,,329.7513061,35473.85732,6209.154676,35749.43703,1587.92472,3611.185216,4894.030498,43998.93717,31823.74897,2180914.853,1077.534342,236215.0011,15041.10896,122856.0602,11182.11306,651.2549056,27667.81266,74865.33656,3446.513207,21418.94502,8530.823323,8807.250291,8149.06153,10973.18938,,,12625.44446,11543.36252,36936.97234,1179.351499,7429.078577,2518.861613,,44.67777791,1273.863421,32056.66384,,,38045.12263,75.16622488,5987.627776,,,,2266.858723,2517.557571,,85.73315948,146.0911042,,,,,81.48682436,885.8393215,1580.265766,,1400.041129,167.1765008,,,,,
T1_E2_V3,neg,cells,empty,vpa,cntrl,e2,19547.08005,90906.50798,,44338.17898,71217.55059,135871.2701,32603.73203,1096288.476,41278.49224,108.5008115,28166.71922,6716.471747,33354.67484,82855.97992,22231.10712,74.41893287,13645.56299,42960.64574,39990.32202,41845.62416,85248.25899,19787.88994,23219.10219,186779.6203,31371.23924,107628.7282,140508.3236,9666.833731,2668.736838,30472.26273,12244.15752,2936409.03,17766.38363,20383.71714,14074.65698,23715.92339,267271.6293,275352.4547,21599.38566,40533.52159,17463.83969,12176.55766,175424.6165,370936.4269,5997.481956,205694.9827,99114.09518,13612.58722,2202.753515,210675.5867,18690.41834,1005895.05,24206.54364,17670.48066,180284.9015,10563.01204,50344.83313,37019.10385,1441.528421,74255.43127,9616.961618,3894.919312,86.44644868,3615.457965,13720.44369,145786.1585,6054.602758,8506.637262,,3110.898228,139760.8269,,3153.050706,,,433.0586466,14154.3902,9238.181394,52704.71929,229899.5397,36816.9958,19673.50882,277267.9787,128575.3882,13189.02915,62570.35473,,13211.39465,588618.6161,11244.89339,7739.263972,12541.25197,24049.23587,10478.03754,43481.50624,2654.126791,,15351.63431,8043.436286,212883.0317,10515.68756,,7903.039066,60242.02823,30066.08609,12768.5013,13739.33133,26961.26531,27439.49684,14259.88488,1605044.549,47596.34665,,,,65635.24208,6368.456459,34228.29882,2977.438065,2482.928744,6118.191237,43001.84856,25083.93359,1479340.194,1229.925559,205480.0373,14530.0829,99708.76584,12277.87884,1171.039201,20423.45644,76338.67795,3298.598834,14231.93469,7029.683669,9991.718318,6253.782987,11136.18698,,,14030.58433,10289.58028,29221.08101,1610.077488,6846.240863,2940.628678,,,184.174954,33555.59772,,,28797.74715,,5013.908603,,,,715.7134417,,,,72.59817162,,,,,,3550.660398,3066.587661,,865.3272262,,,,,,
