,Experiment,Folate,Status,Malic Acid,Dihydroxyacetone phosphate (DHAP),Leukotoxin A,Mead Ethanolamide,Noladin,Xanthine,N-Carbamoyl-L-aspartic Acid,Deoxyuridine,4-Hydroxyphenylacetic Acid,Glycerol 1-Phosphate / Glycerol 3-Phosphate,3-Ureidopropionic Acid,Pantothenic Acid,Deoxycytidine,Kynurenic Acid,N-Methylnicotinate,Dehydroascorbic Acid,Phosphocreatine,ATP,UTP,NADP,CMP,Creatine,Aspartic Acid,Oleoyl ethanolamide,Alanine,Sarcosine,Serine,Creatinine,Proline,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Tyrosine,Tryptophan,5'-Methylthioadenosine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,ADP-Glucose,Chenodeoxycholic acid,Phosphatidylethanolamine(32:0),Pyridoxine,NAD,2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Thymine,Adenine,Guanine,Thymidine,Cytidine,Uridine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Cytosine,Dihydroorotic Acid,Archidonoyl glycine,4-Pyridoxic Acid,Biotin,Phenylacetic Acid,Pyroglutamic Acid,4-Aminobutyric Acid (GABA),Ornithine,Glutamine,Histidine,S-Adenosylhomocysteine (SAH),Threonine,O-Phosphoethanolamine,Dodecanoylcarnitine,Hypotaurine,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,N-alpha-Acetylglutamine,N-Acetylglutamic Acid,Kynurenine,"15-deoxy-delta-12,14-Prostaglandin J2",Virodhamine,ADP,Allantoin,Quinolinic Acid,S-Adenosylmethionine (SAM),Deoxycarnitine,Phosphocholine,Glycerol-3-phosphocholine,Sphingosine,Sphingomyelin,Carnitine,Nicotinamide,Nicotinamide Mononucleotide,"5,6-Dihydrouracil",Sphinganine,Choline,Betaine,Arginine,PAF C-16,PAF C18:1,PAF C18,Arachidonoyl-PAF,2-DHLA-PAF,Urea,2-Hydroxy-3-methylpentanoic Acid,Spermidine,Trimethylamine N-oxide,D-Erythrose,NADH,5-Hydroxyhexanoic Acid,Acetylcarnitine,Propionylcarnitine,Butyrylcarnitine,Valerylcarnitine,L-Octanoylcarnitine,3-Phosphoglyceroinositol,"3,5-Tetradecadiencarnitine",cis-5-Tetradecenoylcarnitine,Tetradecanoylcarnitine,Hexadecenoylcarnitine,Palmitoylcarnitine,Linoleyl carnitine,Oleoylcarnitine,Stearoylcarnitine,LysoPE(18:2),LysoPE(18:0),LysoPC(16:1),LysoPC(16:0),LysoPC(18:2),LysoPC(18:1),LysoPC(18:0),PC(34:2),PC(36:2),Cysteineglutathione disulfide,AMP,Succinoadenosine
p78_8,ko_exp2,2ppm,N ko/ko,14735.26812,675.8354433,134190.1576,357209.9387,17407.12679,84656.22063,96614.72861,97883.10963,23121.31379,3154.842806,52442.86043,493077.8947,31474.05904,8113.887929,7974.767309,12798.30621,6629.524751,52124.25231,110.0321781,247.1280204,18535.98011,14644769.7,338588.2253,33675.49104,2269728.84,715604.6616,1335880.13,33618.77937,15044186.16,2589214.26,3852914.294,3720262.312,1071189.999,1530946.437,6333420.206,2097108.448,4722907.641,3095557.532,1066003.381,299192.5177,351173.7343,3937.736473,120210.5122,177100.918,3250.515558,91144.77432,28360.22752,51987.48357,226027.7518,222005.8313,9592133.907,122851.6415,221888.5319,1056051.579,128957.3468,797946.1971,92195.42868,42437.82429,434238.1548,408841.1738,148883.939,4409.573024,6551.675597,12152.62759,18267.74189,35127.97161,2777.680301,63255.85062,11131.35436,49889.64834,2769527.517,365529.7916,21192.93491,313854.8851,9415412.647,347875.5667,115578.3902,2302777.369,115335.4311,10317.93545,175465.8868,17725.64386,230126.524,2059.155206,63864.74984,18347.48224,206561.0938,55078.40772,73926.64362,118136.7483,181112.9191,8111.045192,81863.36006,53317.54247,10293775.02,1844269.65,208546.8179,79648.05495,3803121.016,285958.4253,1028.107427,30387.59693,102954.5343,18724683.9,2565537.209,3485946.488,502856.0981,44885.33168,17556.59731,722113.3682,320287.7535,11208.79811,51216.38556,20516.13306,9026.977523,495960.2277,4499.835079,46901.02469,751880.4231,57016.62863,563423.9249,112503.3029,7424.548887,8719.442864,7989.905837,30113.28098,43796.09124,50724.76916,134695.1675,79596.45877,219509.5944,168596.0935,35614.82924,140982.0821,109453.0139,1691567.315,482110.7015,939848.9248,2872253.129,3492856.364,2995051.714,9108.067142,250114.3607,124879.0559
p103_8,ko_exp2,2ppm,N ko/ko,21111.80099,3599.134585,121864.7077,219068.2592,29501.85076,118847.4903,137177.0276,99148.46136,47966.82801,16225.91093,85288.0786,734791.4864,27752.05672,8982.515308,11962.69361,11439.74314,36009.94594,220613.366,10516.5994,7209.784396,54979.91195,16519563.77,472051.0118,29444.61713,2991917.757,807483.8838,2206043.292,62870.7585,17806681.6,4721075.615,5895204.217,4596867.39,1673255.728,2609109.266,7232862.737,3243150.314,6150665.182,4456339.776,1311769.642,504564.4915,394600.2633,10047.74471,124967.2456,206704.224,5334.044075,22554.66429,26479.66,27599.7601,220588.3545,349626.704,9463947.312,245568.3403,349333.1117,965477.2558,74514.37976,633160.3314,140908.2657,26585.13796,283461.3051,324533.1051,438781.0981,26236.69284,24509.48482,47160.18201,36299.24316,36364.84165,1536.390881,58759.09805,11144.186,21068.94212,3991815.583,339075.8625,26297.86474,578931.4536,15101757.31,635594.437,298388.9037,3487505.292,197686.8938,11205.48445,163507.3666,23306.11417,378240.1261,1826.798444,88328.32422,30684.00398,417260.2419,28024.86471,70982.19254,307731.5403,259482.1378,10146.72953,567520.2773,79365.05196,6030845.938,1262495.557,273699.8567,127687.9502,6508168.462,259912.1141,19343.88326,30834.71305,43832.39542,22169634.2,3472047.5,7488071.886,473033.7021,42793.7672,18020.05838,575492.0255,382424.4059,10818.05506,28127.71653,30033.43603,15568.48274,883243.3753,12548.26018,53836.80241,1420305.763,106064.7245,1048896.953,141114.331,27729.91821,7896.202571,6858.707438,25938.22685,29323.73183,46839.15719,109946.2411,94114.718,206388.7366,203111.0504,40479.34163,138429.1495,121932.8217,1690587.228,511667.1359,927390.1189,2702217.237,2045638.968,1224610.801,10646.9182,337628.9539,210146.1861
p133_2,ko_exp2,2ppm,N ko/ko,13745.51218,,121939.1174,319256.199,23200.74081,11694.36969,7191.195719,60477.83245,11694.36969,,41829.04325,254991.6474,16667.95406,579.9179277,3409.783877,1403.618741,253.5715054,9494.959388,,,136.8984345,9021739.88,216966.7907,32818.30827,1819207.987,436554.4369,604636.6546,31911.35239,9934621.23,1639101.739,3436210.561,3177176.63,524755.5927,817446.0607,2241971.442,1983793.551,4048724.875,2081726.766,950461.45,309821.1581,169410.5091,911.7758665,4385.049029,7725.07404,,1232606.905,31281.67899,16125.18895,18085.67718,103427.1688,4400769.991,3647.821256,103340.3642,444075.0516,55917.22267,671957.3956,84790.8585,17968.80125,168988.283,58866.71189,4722.138402,,,777.5807123,,30800.02551,928.5954703,66070.62229,2169.930587,11365.23571,1066640.901,193012.8552,10093.1536,143733.599,5570803.736,157477.9724,16929.36449,1001653.43,7283.92736,5152.662213,65396.12636,,121174.7567,209.8168339,42681.72229,,121993.6301,34910.12989,74164.26491,8629.946283,148571.8465,9158.078296,43228.46998,18902.8012,597935.7445,687106.9996,271517.9367,137286.506,1363449.853,364409.8114,,11316.02533,34009.61807,6909600.194,1926094.821,1888688.057,282090.1285,40610.95377,14073.78634,305019.0479,347757.9265,6644.69491,30850.95858,31497.19549,17097.59339,148388.4257,1016.40906,55355.76044,368726.8026,60949.57168,589286.0911,96819.04667,20549.01167,965.2420258,4071.764089,19037.28733,5795.655187,13640.62612,16536.45465,60608.33599,125418.0239,310690.9398,54284.05551,129029.994,89592.20338,1304664.06,398110.339,720539.4341,1027963.1,3830598.562,1991599.714,131.648193,12724.2866,1325.79353
p154_1,ko_exp2,2ppm,N ko/ko,17976.67252,6674.687355,112230.2085,454495.7251,27610.84265,13797.4069,190842.555,36504.42278,13418.11922,4777.514048,40355.64007,395490.2624,89456.29828,3296.741471,11493.85369,6823.04006,60671.59536,196704.0043,9635.433766,4922.365993,13621.34133,11436357.21,281999.6659,29312.50988,1897405.36,546377.1791,1541018.701,33951.58357,12819000.4,3179679.703,4543582.743,3873672.265,887580.2385,1987610.841,4658555.625,2842792.518,4703292.42,3412412.951,918651.5363,300484.8031,275702.9571,12112.84389,91504.58778,130100.1044,5255.118446,227551.4763,32377.68684,24323.47067,61716.29852,145747.2803,9719624.703,70056.9856,145589.0112,396731.7679,72130.48024,193629.5572,112640.686,17560.15147,114176.433,93733.21547,105253.3734,10393.15817,15464.82734,24589.46075,2252.960596,37396.09216,744.4441431,82180.60474,2238.229297,2318.207764,2963904.782,349785.4809,31530.22789,474128.6825,14735864.22,400516.4188,116210.3265,2261017.578,170722.9101,43626.22752,220245.9246,8750.576219,192814.8614,1584.885409,78103.406,5677.572217,318752.415,101341.542,,201076.3176,73376.28269,7297.635411,1485533.339,57852.26674,1975456.268,2514864.208,184583.2488,212145.3783,5043760.817,147462.689,8579.687471,14528.26254,66836.02484,13055005.55,2458470.424,5621618.398,427279.4186,32367.52816,17541.46782,462700.9808,444292.755,3272.049076,33362.13025,37003.67801,7805.670975,293640.8438,6254.40328,73096.27057,991972.5049,90320.96975,1776666.195,265101.5842,34195.69583,10236.65426,57833.85728,113625.9868,92334.71355,85464.59875,179745.205,136105.5445,252915.2821,268660.3998,23892.13591,138435.4823,83909.01747,1460620.503,330030.8211,744349.8598,2096664.772,2391095.621,1397446.512,14561.77002,153267.0448,59176.07508
p90_3,ko_exp2,2ppm,N ko/ko,19037.98142,5279.714051,117544.8472,538482.8922,20506.61452,171.498289,87118.21433,4583.100364,85.7491445,3571.259166,50499.98518,303698.5875,38331.86939,3004.445848,12367.56491,10432.16172,42850.86453,89926.98607,3401.772116,6864.09095,22925.2113,13224708.17,602527.2445,25134.60935,2504651.378,661793.5904,1499036.025,41475.17507,15880865.42,3425263.95,4851279.956,3280942.681,1262047.97,2036990.616,7195038.648,2854168.089,4913373.868,3361446.842,871966.1263,374276.7222,366639.0052,5954.073806,140247.0821,210240.1303,6093.586115,148856.0457,31210.90393,51991.82625,399712.1504,127709.5567,11240344.87,161838.9684,127430.9399,127997.3209,29173.93513,347083.9525,120261.9169,3901.819891,180498.3456,40764.64082,185862.2557,10819.16221,6329.908867,28954.15033,2559.132477,48331.31294,2682.423852,96086.49438,1119.676172,8550.446516,1451758.438,338266.3459,27940.7438,402688.1175,10833206.72,472743.4782,185702.9433,2781620.097,151886.3805,24252.97384,291798.1077,15368.31189,201012.2272,2355.712036,51302.8365,26468.92245,221336.0273,118084.4447,95075.95278,134577.0157,21382.46308,7907.883899,94096.00858,66138.93055,19246897.27,2575875.017,178263.7926,141524.2129,5151290.746,656098.3207,4231.008926,4713.259668,24870.06102,13920925.45,2711315.056,6319151.113,457425.3621,43888.86487,17154.7144,926192.2593,435163.256,14718.29871,73298.01813,25927.12149,20622.12999,764498.4831,3457.75865,79470.37847,838464.5362,101970.6638,1204285.022,238583.7996,22067.12792,9255.950583,21879.09871,45302.44614,50487.15499,41746.54419,101299.1706,98896.38953,131801.9675,138081.6182,49961.07413,112196.7349,89417.65914,1469326.198,630079.2451,782210.3399,2490853.264,4104042.554,2861753.075,8502.740103,191680.5269,99186.75521
p40_5,ko_exp2,10ppm,N wt/wt,13657.18549,3448.809972,95360.49906,431475.9623,36887.73507,21326.163,99499.4593,23528.22028,19051.56815,3426.181063,46890.57131,241007.0766,1930.550911,5427.161983,12530.47465,25605.24578,28181.06689,106219.143,4239.101252,4614.526552,21820.45595,13302872.37,564055.7314,26016.73948,2503441.697,643592.8086,1363281.405,50906.71328,15702170.48,3370146.035,4153952.388,3795845.553,1285083.961,1910748.429,7929970.478,2082267.986,5021798.857,3580953.083,1012260.195,434877.8103,322777.0465,6823.312089,84141.73031,15115.48137,3211.090987,76892.50901,29393.94561,78771.28637,87190.9974,275059.1234,10440352.91,99408.30278,274995.0757,393111.4071,16543.08253,363952.8319,83250.83187,727.7401722,182705.2277,163058.5802,159665.7649,13841.278,9469.256957,20473.33331,19614.20228,32248.38669,27784.16763,53724.69477,1946.736031,11482.46793,2268671.363,312062.7465,26827.79653,383775.9456,11502117.6,467357.0271,151882.9849,3559258.485,146837.8728,4892.11865,253842.0045,11691.59512,230413.6688,4276.033309,55326.20438,14385.52873,172190.339,206685.2731,,203085.4625,103896.8296,5147.43314,166637.7446,82000.0263,23041605.87,5765711.33,152612.421,80621.63357,4467420.781,247584.9418,3438.72269,13010.24903,22461.90881,15653493.23,3716101.207,6002852.088,349929.2704,36570.42532,13172.89114,301590.9478,284327.4893,11356.13766,62491.00781,34003.72112,14655.11984,794016.2593,7462.381122,61440.41233,1104982.871,98547.81965,1288554.899,155568.9468,8433.725366,12176.37489,1451.91807,8371.362581,6315.507834,15005.22721,45086.34209,47236.75001,94732.23749,122706.3551,28670.21327,100343.3001,79549.49417,1276758.896,338524.6132,649126.1525,1876979.957,1644439.765,812084.8695,30605.73292,215422.2147,79551.1379
p18_8,ko_exp2,10ppm,N wt/wt,24764.35467,2323.103962,96804.91036,231137.3089,11699.24802,47424.85756,257118.7513,117320.8127,24709.28319,12826.57532,85185.04217,941826.3396,18371.61584,21809.60573,9472.157171,73482.99144,9266.030587,105773.8215,1217.14438,8332.532998,67031.42656,20008188.29,794128.3119,22577.86356,3881106.885,981448.4371,2150995.455,327906.2852,22054759.42,10122411.83,8208907.237,6071999.8,2255858.149,3205381.853,10709891.03,3492098.294,6936008.085,5020687.242,1483515.24,897674.6111,452302.3338,18913.48527,290644.6511,375669.1399,15669.66778,16994.87472,3458.005532,71821.15363,869908.1655,371546.4033,12421245.94,595061.1766,371504.3369,1737050.048,280837.7318,1775100.953,146753.1221,105733.9824,1215727.782,945473.9073,474670.6988,15538.78576,24466.41994,70153.12626,42198.62729,64975.48724,32090.3821,38646.54699,11625.27923,114758.6885,4396300.643,420207.0115,36170.3955,477487.809,16737119.48,903593.4602,288499.3833,6430792.671,319140.7954,12298.5727,344922.0975,79217.86833,532890.1282,10445.17491,67035.66582,44755.64247,308161.8166,110828.7004,,369349.6979,237053.5367,12134.16503,185338.8753,150249.3518,29050893.06,2729463.299,28536.86247,5295.902054,10104721.3,455742.477,5392.883276,46110.12144,4468.08239,27005648.97,6054611.818,7262942.896,148912.7026,28839.56781,3172.976322,147086.0761,51641.9725,27389.36381,44361.71933,25646.82947,25076.4506,628691.0456,28552.02761,57986.28951,1379252.412,113093.2044,972411.2447,219801.2974,4112.594763,22511.59931,5319.422392,28933.07101,41911.19656,39630.38906,89076.64423,59467.64455,132607.4887,83710.60993,22227.48039,18114.89269,83268.51153,987832.1446,296566.5807,559203.2275,629321.5565,1559269.296,1484950.035,47025.40161,952047.1616,842358.3229
p18_9,ko_exp2,10ppm,N wt/wt,17713.46227,117.8460678,72935.55606,295320.7011,19146.86497,665.3614538,117321.5125,2403.361533,417.925843,3892.899551,61141.46271,697571.3511,17205.38696,2204.043692,5909.120174,3077.172455,4676.10092,28671.9818,,316.2114883,15883.15173,15329728.24,427089.4439,28347.85126,3216688.695,755941.4564,1144469.279,57565.61245,16264234.21,3899097.344,5576699.751,5410819.401,1281203.348,2158000.077,6750657.086,2722355.208,6410174.518,3915739.489,1427847.329,515458.6141,385956.7533,3571.606218,86347.92678,153406.8196,3009.854971,13537.91438,19956.3546,62312.27813,230744.1394,281271.5749,9279009.019,118802.3132,280559.7938,199353.9437,73072.39967,1542558.954,115072.8654,22923.6163,801347.554,76661.8448,146512.4614,2652.615041,2924.366494,15318.7129,7928.156005,46931.5074,6294.037632,37401.4723,218.9998644,73873.22256,2449726.676,361361.0337,20735.54063,358935.3255,10963769.68,396678.2681,114484.4487,3785539.391,94935.65988,19295.83868,196582.4984,16868.74715,233986.8598,3784.941998,72614.12915,4223.754437,330829.1007,141742.0036,,98764.39319,20036.00552,14048.38166,34818.43658,70378.88615,12155180.42,1044389.007,162016.8746,15556.88745,4714469.331,1467259.178,,7487.187966,13355.61436,17937158.16,3799211.83,4130467.254,337286.2948,51867.99218,13323.87078,720652.7488,339490.5795,36802.23331,39288.28809,25910.10094,16646.07342,373677.7517,5521.951125,27296.21141,655514.0079,71573.16788,494058.2401,161759.7542,6168.705268,6998.622132,10316.64484,43634.5373,67440.21936,60651.16662,178698.7733,105267.7644,255537.8804,166560.4082,33791.29441,139297.0773,97029.54443,1589640.263,374885.7883,832300.2224,1742378.524,3811774.005,2653180.385,10065.13206,231008.2551,187230.4744
p57_7,ko_exp2,10ppm,N wt/wt,11967.02881,1963.318366,68450.05212,249720.8953,18149.23529,59281.92802,65274.39051,46364.92076,15938.47778,7457.455756,70716.33208,633348.8739,5294.680243,5919.62596,8714.422665,59930.69469,71784.42818,308230.8397,14658.19398,6242.010226,21912.55583,15615588.51,640980.2981,23019.80555,2744059.7,741230.2974,1194056.623,46734.10619,16232499.14,3138389.909,3768915.845,3487560.39,1653976.038,2481180.505,8747319.118,1743910.098,4254728.88,2733831.642,967005.7884,629229.1689,263689.0626,7177.364128,65872.26242,56058.90447,5519.280936,34270.99166,23357.95452,53674.1283,21156.29499,424697.9916,10970528.77,114814.3098,424479.3499,654587.5002,33345.27029,413999.9715,77433.10339,6134.635371,387932.0024,267715.549,137946.7685,27086.99013,22412.58601,44919.45399,37161.53732,36441.45828,51505.83409,20563.16925,3046.406999,34298.4764,3503827.129,312953.2057,24170.99183,406536.6095,7798342.396,369014.3617,225349.1927,2862077.978,207514.7097,6488.608916,206033.4417,15279.54327,427834.3899,5789.659503,54943.46523,23790.63607,202599.0419,33269.36365,,311100.6256,152468.4881,9547.273693,214424.3372,96542.32409,14063284.08,7461956.289,158178.2853,39855.92725,5540031.982,354294.991,8269.432042,23122.82583,15581.68124,16146538.88,3458077.622,3574875.043,217816.7545,31751.29229,9211.255037,330115.8364,320843.375,6814.004768,31978.37554,39205.91552,9636.73698,364477.4617,5123.109931,42913.99252,1120329.098,132605.8705,1362231.944,117733.988,3467.936496,7208.749434,2523.997232,6089.172283,30253.53807,37705.63144,104364.8377,76886.48601,207345.3276,153712.2978,25518.0212,71276.67458,57292.55594,1050422.306,188347.3732,585415.0418,1058958.845,439442.6226,404267.5374,20448.45614,216345.6709,93524.77193
p29_8,ko_exp2,10ppm,N wt/wt,12475.04612,659.2206204,68598.37831,274407.7067,11764.93567,341.6680178,40730.91116,4090.896523,434.0357969,651.1820143,31292.04831,382205.069,9089.053765,1305.650302,6186.20891,22231.00934,22223.72709,102710.0281,5519.396078,1413.57673,5583.622446,11782800.36,382405.5658,21560.44216,2390059.037,571876.1983,937793.3711,42931.05649,13406961.43,2504843.211,1893713.815,3539005.137,915287.3501,1557450.164,5302181.668,1848523.524,5018413.144,3039843.869,1056930.767,385826.9221,219179.133,4054.774835,58237.28026,75793.01531,2068.784968,199287.7748,31311.44787,57838.71515,77442.73897,128177.364,6916630.79,93677.95481,128395.2279,97979.05811,20337.81679,363144.0734,82756.71658,3717.839557,179165.1806,21585.85384,49500.79348,8616.303774,3392.81762,7858.208167,1358.821413,30054.26795,17899.80677,20282.07098,249.0954062,12083.60801,1065185.77,239100.0602,15669.48167,287400.9424,8182318.353,269103.2457,80458.35439,2594288.908,69794.44258,7505.259787,174310.9198,943.5594156,183857.7634,98.37156323,48407.15929,2458.875992,256125.1149,22703.31544,176.8078764,93196.48499,8059.328384,12498.858,49270.40363,48409.53171,11462480.98,1824778.18,267252.8209,76976.34017,3285503.251,941165.0936,775.2943794,4476.408803,21769.20607,12978192.72,2854334.3,3100097.538,300993.554,46410.3907,11312.93243,405184.0386,197552.0728,13241.18076,56623.24047,26705.16617,6496.861782,277813.4677,883.9889846,27754.92935,534007.8738,59321.00497,789777.5451,120775.7105,5896.819137,255.1114543,3676.654206,18262.04,28099.20625,33515.51622,85689.5885,104242.5101,184682.1623,148165.0863,24957.11453,80222.52968,91677.68333,1373241.69,401483.074,829501.9091,1562784.041,1738754.165,1296827.923,3957.004532,49707.09294,43975.29725
p8_8,ko_exp2,10ppm,N wt/wt,14778.66516,117.1784754,99764.99593,310106.4569,11493.21744,43257.51159,42033.14257,78017.0341,19176.81012,752.5506407,47506.09105,528877.1318,5615.411284,5488.909644,5343.73548,13626.74325,2272.748303,40098.41888,320.1546777,478.522199,4842.904169,13152709.26,231717.6779,21840.43636,2293969.537,617320.2877,861885.7913,43451.1295,14326730.4,2831525.326,4351193.821,4075246.928,841856.3526,1786193.035,4238291.893,2091619.635,4938656.188,3097887.156,1103843.739,441492.1849,155964.6748,3191.272497,49198.149,66518.03577,1360.993337,35682.97793,18264.82922,41782.44123,99055.1158,232667.1132,6390456.871,54544.65301,232354.9643,728503.1909,73752.05781,707956.7244,95398.10872,23326.78872,266599.1707,162399.2066,47640.76137,2424.870628,1078.421938,6422.458299,2732.018057,30060.64377,6766.209556,48257.12165,4395.196354,17823.9454,1931366.603,191452.8931,22495.08172,215696.5402,8456346.761,325031.7391,87552.16465,2249589.378,54475.42571,24886.11081,129370.9922,2628.014657,184265.3962,918.3221731,58535.42917,1552.194363,196829.8138,24979.68101,64592.36254,57773.06037,230530.4443,12969.18876,62119.04929,56101.85154,4010444.053,2302487.789,256895.0673,61257.551,3655522.026,188748.8921,,20237.13538,31826.90053,11196880.79,3633370.021,4260484.888,490842.6255,42520.2178,16951.20874,661864.462,201213.6819,5617.356907,28352.66203,19495.14952,13503.73884,225749.8367,2375.307234,34367.97186,853475.7815,73045.5439,972350.5041,128424.3445,11251.55577,3445.640157,21521.9637,50184.56272,71415.37688,52757.47712,164932.8353,79334.55844,173492.5952,192930.0878,22008.68685,109187.8472,89155.07688,1760588.834,493458.8867,905943.9307,2813944.943,5153136.645,5491667.449,3070.831509,70168.84166,23049.98907
p37_1,ko_exp2,10ppm,N ko/ko,19836.77939,6708.992191,76782.61604,268937.6001,11551.69865,23426.76213,111489.9604,108153.5592,18785.75851,4868.67059,82072.5899,655841.1021,21021.23901,7647.607215,12121.09239,20314.47491,72217.34418,298070.5088,15405.84669,9644.047527,19233.9941,17153800.72,808774.2097,29074.30755,3617692.351,869942.8221,2098278.877,121505.6568,19703183.84,5418372.613,5513191.567,4958603.625,2233252.716,2568651.869,8328529.642,3006059.639,5968768.581,4303152.665,1306646.963,951876.2807,621078.3779,14518.80171,106388.9155,106757.4846,8500.498125,70396.04315,15662.26429,88121.67014,81330.84977,241279.3845,12491756.36,216754.2618,241134.5371,802292.5458,59684.25809,441793.6513,127988.08,14127.44914,198131.228,165616.0569,161792.3009,27103.85387,17412.34542,37335.3256,21168.04263,42836.34058,5293.566677,40683.15833,3688.178232,12553.53498,1852359.739,499851.4419,31636.92334,373079.9869,14567081.79,647076.7409,240425.2079,3942875.342,266404.9567,6792.6049,317774.6088,14835.3945,459435.7814,3351.951659,73675.59819,42037.66749,404001.5366,157557.7909,6135.489527,309956.6929,146378.8916,9817.494379,197650.2752,100083.0828,27381929.05,6924723.427,222880.7783,28762.12063,6101337.547,325434.2462,4422.036387,19212.26234,28400.68562,17663965.57,3821215.495,7100326.29,368341.9398,28218.00456,8957.088834,365109.822,312713.3957,35818.9428,60448.26731,29637.16175,19386.37089,614873.6018,7120.731781,44780.4979,1460248.418,135575.6854,1732513.714,182352.697,3492.603628,7293.313336,2895.10228,15210.54775,21932.46798,19492.39724,60368.68447,53796.60803,112250.9946,148806.0955,19605.49768,88492.99516,79473.02563,1380726.801,375069.9457,654675.3388,1830869.76,2436293.173,1289607.619,16632.51558,198059.9562,161007.8285
p18_1,ko_exp2,10ppm,N ko/ko,8280.281453,3535.368268,101930.1359,574077.0999,17007.53221,4120.69007,96669.1895,410.9693977,3537.936041,788.373673,37709.04905,174992.1865,27575.74277,2056.539588,10432.7223,24483.47526,24807.68136,44611.23696,215.3711826,5730.821171,32065.13594,11753989.01,708832.2405,40187.55816,1672021.354,556401.5357,833754.1249,31622.38129,10898507.25,1476060.404,2522291.199,1758658.579,864271.2531,672512.555,8305841.072,1333271.118,2757913.328,2015266.512,595865.0735,363803.635,216724.2349,3954.683878,73021.92638,108541.8214,3596.63552,21833.13111,29107.82222,38992.09355,252713.2975,144874.1434,9323181.316,90712.66724,144642.548,146488.6795,28577.63066,395250.7248,55236.37329,3456.731894,229897.0099,89771.09597,236540.9355,8291.094034,6593.192119,9120.577246,14872.56323,43154.17416,22447.61727,57042.96313,628.5348095,14747.35643,2604970.796,236015.8143,28826.83002,177954.8815,2773159.115,205465.2177,280331.7037,1791789.12,118382.5371,7998.240257,235879.1158,26472.22834,126490.3678,1011.689442,39042.48973,31697.90785,187266.3646,64870.60979,,126276.2903,27273.06824,6370.747562,110947.2497,52047.76971,16687954.37,742193.4496,211451.2913,92382.70513,3034075.963,285332.0428,1072.652821,7661.592105,23916.01373,11288322.32,1910674.726,1409780.638,444495.7913,41156.93776,17370.43665,579234.2797,363743.7856,2339.842837,75079.25618,20887.12352,7246.518856,502258.4227,2138.232956,52168.81958,894264.1757,113514.2289,643921.2695,140333.3254,17557.10981,7591.120186,15513.69454,50145.98882,52777.33235,47408.1987,76504.11414,88739.48999,178470.686,127481.3052,26639.61162,105288.607,65461.69099,1243465.541,296892.8913,628560.4877,2376302.778,4760149.565,2600640.983,8934.991982,229349.508,160547.4803
p57_8,ko_exp2,10ppm,N ko/ko,35596.05659,9728.232141,134179.6614,406867.3266,16123.51136,21873.92918,195445.5552,115757.1833,21809.32972,11022.71318,125063.2169,731636.9918,80007.73775,3443.409504,16147.26099,9657.303535,92512.16525,283655.6654,13952.85044,5008.783216,31963.51815,19923681.47,388738.4137,25178.70324,3377822.465,992233.9271,3132719.12,104823.7529,22648734.28,8246992.996,9362186.149,6690986.082,2035566.546,3464486.78,6046046.639,4976251.212,7809708.867,5810263.169,1493196.198,526271.7157,642488.43,12615.71463,78064.97872,72014.89151,7704.090452,192101.6319,17415.00585,38157.82505,38714.24207,344038.5809,16125372.5,114484.4157,343957.3366,831147.3195,130698.0622,220955.1992,221682.1761,41383.95335,108959.1657,110576.7384,216557.1518,22546.86094,28063.51869,25495.1466,6439.852454,46081.80991,,72251.90025,5475.276328,289.6422018,3669970.033,592447.7134,44578.73451,595125.15,21321958.89,1080601.605,154707.8009,4063849.305,323762.5813,29095.93092,336876.5596,22913.00196,412017.5793,3586.412797,105780.359,42008.26748,535479.4428,349584.6421,,334696.7861,204411.2886,6861.295994,3585150.349,99928.31223,2899092.446,8768104.377,121626.7071,159189.7456,9400635.84,272539.3397,21529.36402,23802.20653,43280.13267,22002616.76,4355254.186,10419323.33,415645.8336,42477.68175,17743.32679,321407.3977,482614.5442,14108.42786,37012.89998,37952.06641,30534.48791,416176.2086,15159.04447,87239.851,1915512.549,205056.1219,2201290.592,276245.823,33109.25917,26650.26986,31450.67722,66396.9348,68104.94791,62050.96519,141659.7198,109033.2996,211906.5574,164395.0921,42944.20602,141885.315,100322.9677,1511222.34,563789.8192,953460.836,2355600.399,2034661.838,1047490.587,32677.43888,330528.1864,90690.80747
