compound_short,term,estimate,statistic,p.value,lod,adj_pval,FC,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPA_FAnC167,vpa_lowFA,1.541528404,21.11293389,2.31E-15,25.37026355,9.07E-13,2.911027369,up,ADP-Glucose,C16 H25 N5 O15 P2,589.077,7.44,102129-65-7
VPA_FAnC173,vpa_lowFA,-0.795802953,-5.956864317,7.26E-06,3.00197581,0.002853274,0.576022491,down,NADH,C21 H29 N7 O14 P2,665.124,6.94,59-68-4
VPA_FAnC19,vpa_lowFA,-0.314281342,-4.851032935,9.13E-05,0.434731698,0.035890102,0.804251517,down,Thiosulfate,H2 O3 S2,113.945,4.68,14383-50-7
VPA_FAnC20,vpa_lowFA,0.683089214,11.43417823,2.43E-10,13.57943242,9.53E-08,1.605574061,up,Proline,C5 H9 N O2,115.066,9.19,147-85-3
VPA_FAnC33,vpa_lowFA,-0.684265164,-5.671512237,1.38E-05,2.349105414,0.005419571,0.622322726,down,Ketoleucine,C6 H10 O3,130.063,1.31,816-66-0
VPA_FAnC35,vpa_lowFA,-0.355800528,-6.229245019,3.97E-06,3.617229457,0.001560518,0.781435917,down,N-Acetylalanine,C5 H9 N O3,131.059,4.04,97-69-8
VPA_FAnC43,vpa_lowFA,0.551702083,9.549749623,5.53E-09,10.36391266,2.17E-06,1.465814035,up,Aspartic Acid,C4 H7 N O4,133.04,8.38,56-84-8
VPA_FAnC49,vpa_lowFA,1.211386635,8.761609767,2.31E-08,8.892613548,9.08E-06,2.31560092,up,"2,4-diene-Valproic acid",C8 H12 O2,140.081,3.15,72010-18-5
VPA_FAnC54,vpa_lowFA,-0.449700783,-6.177726974,4.45E-06,3.501489741,0.001747979,0.732194691,down,N-Acetylserine,C5 H9 N O4,147.053,3.29,16354-58-8
VPA_FAnC62,vpa_lowFA,0.330896203,6.096807151,5.32E-06,3.319095601,0.002090293,1.257794475,up,3-Sulfinoalanine,C3 H7 N O4 S,153.011,6.9,1115-65-7
VPA_FAnC67,vpa_lowFA,0.526668982,10.57735555,9.57E-10,12.16772882,3.76E-07,1.440599174,up,2-Aminoadipic Acid,C6 H11 N O4,161.071,9.37,542-32-5
VPA_FAnC73,vpa_lowFA,0.298897182,4.72350221,1.23E-04,0.13388309,0.048382336,1.230203667,up,Cysteic Acid,C3 H7 N O5 S,169.004,4.15,498-40-8
VPA_FAnC74,vpa_lowFA,-0.697501573,-8.16802561,7.15E-08,7.73157848,2.81E-05,0.616639164,down,G3P,C3 H7 O6 P,170.002,10.68,591-57-1
VPA_FAnC79,vpa_lowFA,0.355964096,8.28467668,5.71E-08,7.963404255,2.24E-05,1.279840562,up,N-Acetylaspartic Acid,C6 H9 N O5,175.038,7.91,997-55-7
VPA_FAnC8,vpa_lowFA,-1.828703953,-6.122241254,5.03E-06,3.376502671,0.001975862,0.281517409,down,Lactic Acid,C3 H6 O3,90.034,2.29,79-33-4
VPA_FAnC82,vpa_lowFA,-0.42452608,-7.220479897,4.78E-07,5.781586621,1.88E-04,0.745083449,down,myo-Inositol,C6 H12 O6,180.065,5.23,87-89-8
VPA_FAnC86,vpa_lowFA,-1.477450681,-19.71732143,8.78E-15,24.0234647,3.45E-12,0.359122841,down,D-Galactitol,C6 H14 O6,182.081,3.67,608-66-2
VPA_FAnC91,vpa_lowFA,-0.710244697,-14.26222497,4.28E-12,17.72232902,1.68E-09,0.611216461,down,Galacturonic Acid,C6 H10 O7,194.043,5.27,685-73-4
VPA_FAnC101,vpa_highFA,-0.552988541,-5.098250681,5.13E-05,1.020851536,0.020179226,0.681606717,down,GalNAc,C8 H15 N O6,221.085,3.65,1811-31-0
VPA_FAnC102,vpa_highFA,0.474888963,6.666918603,1.54E-06,4.592523583,6.03E-04,1.389811249,up,Cystathionine,C7 H14 N2 O4 S,222.071,11.7,56-88-2
VPA_FAnC107,vpa_highFA,-0.883516187,-12.66621931,3.83E-11,15.47885379,1.51E-08,0.542044729,down,Thymidine,C10 H14 N2 O5,242.096,3.69,50-89-5
VPA_FAnC116,vpa_highFA,-1.252630167,-6.726516063,1.35E-06,4.722896647,5.31E-04,0.41968239,down,Inosine,C10 H12 N4 O5,268.083,2.64,58-63-9
VPA_FAnC123,vpa_highFA,-1.054594134,-5.903193486,8.19E-06,2.884473484,0.003216909,0.481432642,down,Guanosine,C10 H13 N5 O5,283.094,3.07,118-00-3
VPA_FAnC135,vpa_highFA,-1.055884338,-10.68783413,7.98E-10,12.35824415,3.14E-07,0.481002288,down,UMP,C9 H13 N2 O9 P,324.04,9.62,58-97-9
VPA_FAnC138,vpa_highFA,-0.372817973,-9.528747257,5.74E-09,10.32986613,2.25E-06,0.772272566,down,3-Phosphoglyceroinositol,C9 H19 O11 P,334.067,6.9,00-00-006
VPA_FAnC139,vpa_highFA,-0.879463625,-6.085653919,5.45E-06,3.298548623,0.002142593,0.543569486,down,AMP,C10 H14 N5 O7 P,347.068,10.42,61-19-8
VPA_FAnC140,vpa_highFA,-0.999526904,-6.326013608,3.21E-06,3.838429025,0.001262165,0.500163989,down,GMP,C10 H14 N5 O8 P,363.061,10.4,85-32-5
VPA_FAnC146,vpa_highFA,-0.741449362,-6.982434588,7.86E-07,5.277643819,3.09E-04,0.598138148,down,dTDP,C10 H16 N2 O11 P2,402.015,9.62,491-97-4
VPA_FAnC15,vpa_highFA,-0.557638482,-11.75205624,1.49E-10,14.08688047,5.84E-08,0.679413372,down,Glyceric Acid,C3 H6 O4,106.028,2.94,473-81-4
VPA_FAnC152,vpa_highFA,0.900806791,5.35040935,2.87E-05,1.610238929,0.011273881,1.867109826,up,5-Methyl-DHF,C20 H23 N7 O6,457.171,9.65,59904-24-4
VPA_FAnC156,vpa_highFA,0.530982687,5.429314277,2.39E-05,1.793744248,0.009407693,1.444913059,up,dTTP,C10 H17 N2 O14 P3,481.992,10.37,365-08-2
VPA_FAnC158,vpa_highFA,0.36112957,5.191336498,4.14E-05,1.238911417,0.0162662,1.28443116,up,UTP,C9 H15 N2 O15 P3,483.972,10.33,63-39-8
VPA_FAnC160,vpa_highFA,0.467008338,7.343932026,3.71E-07,6.046868248,1.46E-04,1.382240195,up,ATP,C10 H16 N5 O13 P3,507,10.95,56-65-5
VPA_FAnC161,vpa_highFA,0.378588393,4.948674479,7.27E-05,0.669453341,0.028574137,1.300069179,up,GTP,C10 H16 N5 O14 P3,522.993,10.95,86-01-1
VPA_FAnC167,vpa_highFA,1.528853118,21.00767243,2.55E-15,25.27275513,1.00E-12,2.885563577,up,ADP-Glucose,C16 H25 N5 O15 P2,589.077,7.44,102129-65-7
VPA_FAnC20,vpa_highFA,0.773547508,12.99061278,2.41E-11,15.9536276,9.48E-09,1.709468108,up,Proline,C5 H9 N O2,115.066,9.19,147-85-3
VPA_FAnC43,vpa_highFA,0.496815664,8.627754092,2.97E-08,8.63912562,1.17E-05,1.411095533,up,Aspartic Acid,C4 H7 N O4,133.04,8.38,56-84-8
VPA_FAnC54,vpa_highFA,-0.457726951,-6.308508154,3.34E-06,3.799332268,0.001311441,0.72813257,down,N-Acetylserine,C5 H9 N O4,147.053,3.29,16354-58-8
VPA_FAnC62,vpa_highFA,0.299493201,5.536212586,1.88E-05,2.041557466,0.007369543,1.230712005,up,3-Sulfinoalanine,C3 H7 N O4 S,153.011,6.9,1115-65-7
VPA_FAnC67,vpa_highFA,0.570881168,11.50271066,2.18E-10,13.69268676,8.57E-08,1.485430563,up,2-Aminoadipic Acid,C6 H11 N O4,161.071,9.37,542-32-5
VPA_FAnC73,vpa_highFA,0.373263337,5.917969921,7.92E-06,2.918137599,0.0031123,1.295279406,up,Cysteic Acid,C3 H7 N O5 S,169.004,4.15,498-40-8
VPA_FAnC74,vpa_highFA,-0.47667946,-5.600327891,1.62E-05,2.189725483,0.006369189,0.718629737,down,G3P,C3 H7 O6 P,170.002,10.68,591-57-1
VPA_FAnC79,vpa_highFA,0.272426325,6.361119564,2.97E-06,3.916726955,0.001168991,1.207837462,up,N-Acetylaspartic Acid,C6 H9 N O5,175.038,7.91,997-55-7
VPA_FAnC82,vpa_highFA,-0.3915301,-6.681007511,1.49E-06,4.623383838,5.85E-04,0.76232067,down,myo-Inositol,C6 H12 O6,180.065,5.23,87-89-8
VPA_FAnC86,vpa_highFA,-1.306539075,-17.49332817,8.91E-14,21.67753365,3.50E-11,0.40428958,down,D-Galactitol,C6 H14 O6,182.081,3.67,608-66-2
VPA_FAnC91,vpa_highFA,-0.745354024,-15.01609476,1.63E-12,18.71358654,6.41E-10,0.596521473,down,Galacturonic Acid,C6 H10 O7,194.043,5.27,685-73-4
