Xanthurenic Acid, Formula, C10H7NO4
, Tgt RT, 1.030, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,, Corrected Abundance Percentages,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,204.03023,205.03651,206.04278,207.04906,208.05534,209.06162,210.06789,211.07417,Sum,204.03023,205.03651,206.04278,207.04906,208.05534,209.06162,210.06789,211.07417,Sum, Unlabeled, Labeled, Labeling
,mix,3,nmix1.d,1.883,6701,6694,0,0,0,0,0,0,13395,52.95,47.05,0,0,0,0,0,0,100.00,52.95, 47.05, 6.72
,light,3,nP3_L_VPA3.d,1.815,19892,6523,0,0,10895,0,0,0,37310,56.31,11.94,0,0,31.74,0,0,0,100.00,56.31, 43.69, 19.85
,light,3,nP3_L_VPA4.d,1.778,16649,2301,0,0,0,0,0,0,18950,97.80,2.20,0,0,0,0,0,0,100.00,97.80, 2.20, 0.31
,light,3,nP4_L_C4.d,1.830,23548,21559,0,0,0,0,0,0,45107,55.43,44.57,0,0,0,0,0,0,100.00,55.43, 44.57, 6.37
,light,3,nP4_L_C5.d,1.810,0,0,0,0,16848,0,0,0,16848,0,0,0,0,100.00,0,0,0,100.00,0.00, 100.00, 57.14
,light,3,nP4_L_VPA5.d,1.803,28134,13458,0,0,0,0,0,0,41592,73.37,26.63,0,0,0,0,0,0,100.00,73.37, 26.63, 3.80
,heavy,3,nP1_H_C1.d,1.810,17448,10728,0,0,0,0,0,0,28176,66.66,33.34,0,0,0,0,0,0,100.00,66.66, 33.34, 4.76
,heavy,3,nP1_H_VPA1.d,1.908,12276,14372,0,0,0,0,0,0,26648,48.47,51.53,0,0,0,0,0,0,100.00,48.47, 51.53, 7.36
,heavy,3,nP1_H_VPA2.d,1.908,11421,15910,0,0,0,0,0,0,27332,43.66,56.34,0,0,0,0,0,0,100.00,43.66, 56.34, 8.05
,heavy,3,nP2_H_C2.d,1.813,20842,13121,0,0,0,0,0,0,33964,66.00,34.00,0,0,0,0,0,0,100.00,66.00, 34.00, 4.86
,heavy,3,nP2_H_C3.d,1.794,19931,0,0,0,0,0,0,0,19931,100.00,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,3,nP2_H_VPA3.d,1.798,18294,12161,0,0,0,0,0,0,30455,64.49,35.51,0,0,0,0,0,0,100.00,64.49, 35.51, 5.07
,heavy,3,nP3_H_C4.d,1.784,18312,13818,0,0,0,0,0,0,32130,60.93,39.07,0,0,0,0,0,0,100.00,60.93, 39.07, 5.58
,heavy,3,nP3_H_VPA4.d,1.783,9360,4796,0,0,14132,0,0,0,28288,33.85,13.44,0,0,52.71,0,0,0,100.00,33.85, 66.15, 32.04
,heavy,3,nP4_H_C5.d,1.817,8126,5610,0,0,12520,0,0,0,26256,31.56,18.19,0,0,50.24,0,0,0,100.00,31.56, 68.44, 31.31
,heavy,3,nP4_H_VPA5.d,1.780,20646,0,0,0,0,0,0,0,20646,100.00,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,solv,3,sol1.d,1.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,solv,3,sol2.d,1.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,NaN,NaN,6.23,8.718
,light,38.63,31.533,14.75,18.205
,heavy,38.44,23.966,9.90,11.777
,solv,NaN,,0.00

Ketoleucine, Formula, C6H10O3
, Tgt RT, 1.040, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,129.05572,130.06199,131.06827,132.07455,133.08082,134.08710,135.09338,136.09965,137.10593,138.11221,139.11849,Sum,129.05572,130.06199,131.06827,132.07455,133.08082,134.08710,135.09338,136.09965,137.10593,138.11221,139.11849,Sum, Unlabeled, Labeled, Labeling
,mix,4,nmix1.d,1.271,311718,0,0,0,0,0,0,0,0,0,1719,313437,99.39,0,0,0,0,0,0,0,0,0,0.61,100.00,99.39, 0.61, 0.61
,mix,4,nmix2.d,1.255,272580,0,0,0,0,0,0,0,0,0,2233,274813,99.10,0,0,0,0,0,0,0,0,0,0.90,100.00,99.10, 0.90, 0.90
,mix,4,nmix3.d,1.239,239073,0,0,0,0,0,0,0,0,0,0,239072,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,4,nmix4.d,1.238,202246,0,0,0,0,0,0,0,0,0,0,202246,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,4,nmix5.d,1.238,178790,0,0,0,0,0,0,0,0,0,0,178790,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,4,rnmix1.d,1.274,320888,0,0,0,0,0,0,1638,0,0,0,322526,99.46,0,0,0,0,0,0,0.54,0,0,0,100.00,99.46, 0.54, 0.38
,light,4,nP1_L_C1.d,1.296,483063,0,0,0,0,0,0,0,0,0,0,483063,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,4,nP1_L_VPA1.d,1.268,415888,0,0,0,0,0,0,0,0,0,0,415888,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,4,nP2_L_C2.d,1.268,497981,0,0,0,0,0,0,0,0,0,0,497981,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,4,nP2_L_VPA2.d,1.264,279104,0,0,0,0,0,0,0,0,0,0,279103,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,4,nP3_L_C3.d,1.266,397562,0,0,0,0,0,0,0,0,0,0,397562,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,4,nP3_L_VPA3.d,1.285,344462,0,0,0,0,0,0,0,0,0,0,344462,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,4,nP3_L_VPA4.d,1.248,218969,0,0,0,0,0,0,0,0,0,0,218969,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,4,nP4_L_C4.d,1.317,469139,0,0,0,0,0,0,0,0,0,5448,474586,98.73,0,0,0,0,0,0,0,0,0,1.27,100.00,98.73, 1.27, 1.27
,light,4,nP4_L_C5.d,1.280,333936,0,0,0,0,0,0,0,0,0,2380,336316,99.21,0,0,0,0,0,0,0,0,0,0.79,100.00,99.21, 0.79, 0.79
,light,4,nP4_L_VPA5.d,1.290,376626,0,0,0,0,0,0,0,0,0,0,376626,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP1_H_C1.d,1.297,471255,0,0,0,0,0,0,0,0,0,0,471255,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP1_H_VPA1.d,1.346,396416,0,0,0,0,0,0,0,0,0,0,396416,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP1_H_VPA2.d,1.345,230730,0,0,0,0,0,0,0,0,0,0,230730,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP2_H_C2.d,1.283,374996,0,0,0,0,0,0,0,0,0,0,374996,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP2_H_C3.d,1.297,337771,0,0,0,0,0,0,0,0,0,0,337771,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP2_H_VPA3.d,1.268,309823,0,0,0,0,0,0,0,0,0,0,309823,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP3_H_C4.d,1.271,526413,54316,0,0,0,0,0,0,0,0,0,580729,96.55,3.45,0,0,0,0,0,0,0,0,0,100.00,96.55, 3.45, 0.35
,heavy,4,nP3_H_VPA4.d,1.270,410077,0,0,0,0,0,0,0,0,0,0,410077,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,4,nP4_H_C5.d,1.271,735038,73833,0,0,0,0,0,0,0,0,0,808871,96.80,3.20,0,0,0,0,0,0,0,0,0,100.00,96.80, 3.20, 0.32
,heavy,4,nP4_H_VPA5.d,1.283,272914,0,0,0,0,0,0,0,0,0,0,272914,100.00,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,solv,4,sol1.d,1.004,66342,0,16473,0,0,0,0,0,0,0,0,82815,80.31,0,19.69,0,0,0,0,0,0,0,0,100.00,80.31, 19.69, 3.94
,solv,4,sol2.d,1.232,27271,0,1706,1032,0,0,0,0,0,0,0,30008,91.74,0,5.03,3.23,0,0,0,0,0,0,0,100.00,91.74, 8.26, 1.97
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,0.34,0.394,0.32,0.383
,light,0.21,0.449,0.21,0.449
,heavy,0.67,1.404,0.07,0.140
,solv,13.97,,2.96

Pyruvate, Formula, C3H4O3
, Tgt RT, 1.470, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,, Corrected Abundance Percentages,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,Abund,m+0,m+1,m+2,m+3,m+4,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,87.00877,88.01504,89.02132,90.02760,91.03387,Sum,87.00877,88.01504,89.02132,90.02760,91.03387,Sum, Unlabeled, Labeled, Labeling
,mix,17,nmix1.d,1.585,50580,0,0,0,0,50580,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,17,nmix2.d,1.586,31799,0,0,0,0,31799,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,17,nmix3.d,1.570,18614,0,0,0,0,18614,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,17,nmix4.d,1.585,12975,0,0,0,0,12975,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,17,nmix5.d,1.569,17318,0,0,0,0,17318,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,17,rnmix1.d,1.588,58741,0,0,227,0,58968,99.60,0,0.00,0.40,0,100.00,99.60, 0.40, 0.30
,light,17,nP1_L_C1.d,1.610,79957,6478,2659,0,0,89094,92.66,4.35,2.99,0,0,100.00,92.66, 7.34, 2.58
,light,17,nP1_L_VPA1.d,1.599,66465,0,2914,2707,0,72087,92.24,0,4.02,3.74,0,100.00,92.24, 7.76, 4.81
,light,17,nP2_L_C2.d,1.582,27949,0,0,0,0,27949,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,17,nP2_L_VPA2.d,1.595,91926,0,0,0,0,91926,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,17,nP3_L_C3.d,1.564,28667,0,963,0,0,29630,96.69,0,3.31,0,0,100.00,96.69, 3.31, 1.66
,light,17,nP3_L_VPA3.d,1.616,50032,0,1785,0,0,51816,96.49,0,3.51,0,0,100.00,96.49, 3.51, 1.76
,light,17,nP3_L_VPA4.d,1.579,69680,0,0,0,0,69680,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,17,nP4_L_C4.d,1.615,53823,0,0,0,0,53823,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,17,nP4_L_C5.d,1.595,24065,0,0,0,0,24065,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,17,nP4_L_VPA5.d,1.588,81005,0,0,0,0,81005,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,17,nP1_H_C1.d,1.628,89328,7462,0,0,0,96790,95.23,4.77,0,0,0,100.00,95.23, 4.77, 1.19
,heavy,17,nP1_H_VPA1.d,1.644,61938,0,4989,0,0,66927,92.41,0,7.59,0,0,100.00,92.41, 7.59, 3.80
,heavy,17,nP1_H_VPA2.d,1.643,44541,0,0,0,0,44541,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,17,nP2_H_C2.d,1.597,57406,0,0,0,0,57406,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,17,nP2_H_C3.d,1.612,61424,0,0,1744,0,63168,97.15,0,0,2.85,0,100.00,97.15, 2.85, 2.13
,heavy,17,nP2_H_VPA3.d,1.599,47070,0,0,0,1008,48078,97.82,0,0,0,2.18,100.00,97.82, 2.18, 2.18
,heavy,17,nP3_H_C4.d,1.602,47155,0,0,0,0,47155,100.00,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,17,nP3_H_VPA4.d,1.601,64807,0,0,0,2290,67096,96.45,0,0,0,3.55,100.00,96.45, 3.55, 3.55
,heavy,17,nP4_H_C5.d,1.585,114588,5298,0,0,0,119886,98.77,1.23,0,0,0,100.00,98.77, 1.23, 0.31
,heavy,17,nP4_H_VPA5.d,1.581,44339,5632,0,0,0,49971,91.41,8.59,0,0,0,100.00,91.41, 8.59, 2.15
,solv,17,sol1.d,1.948,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,solv,17,sol2.d,2.027,0,0,0,0,0,0,0,0,0,0,0,100.00,NaN, NaN, 0.00
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,0.07,0.162,0.05,0.122
,light,2.19,3.150,1.08,1.632
,heavy,3.08,3.102,1.53,1.454
,solv,NaN,,0.00

Uridine, Formula, C9H12N2O6
, Tgt RT, 1.670, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,,,,,,,, Corrected Abundance Percentages,,,,,,,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,m+7,m+8,m+9,m+10,m+11,m+12,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,243.06226,244.06854,245.07481,246.08109,247.08737,248.09364,249.09992,250.10620,251.11247,252.11875,253.12503,254.13130,255.13758,Sum,243.06226,244.06854,245.07481,246.08109,247.08737,248.09364,249.09992,250.10620,251.11247,252.11875,253.12503,254.13130,255.13758,Sum, Unlabeled, Labeled, Labeling
,mix,24,nmix1.d,1.602,57942,4960,0,0,0,0,0,0,0,0,0,0,0,62902,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,24,nmix2.d,1.603,65196,7278,0,0,0,0,0,0,0,0,0,0,0,72473,99.85,0.15,0,0,0,0,0,0,0,0,0,0,0,100.00,99.85, 0.15, 0.01
,mix,24,nmix3.d,1.603,47389,4292,0,0,0,1220,0,0,0,0,0,0,0,52900,97.39,0.00,0,0,0,2.61,0,0,0,0,0,0,0,100.00,97.39, 2.61, 1.09
,mix,24,nmix4.d,1.619,43104,5486,0,0,0,0,0,0,0,0,0,0,0,48590,98.32,1.68,0,0,0,0,0,0,0,0,0,0,0,100.00,98.32, 1.68, 0.14
,mix,24,nmix5.d,1.602,34435,4446,0,0,0,0,0,0,0,0,0,0,0,38881,98.14,1.86,0,0,0,0,0,0,0,0,0,0,0,100.00,98.14, 1.86, 0.16
,mix,24,rnmix1.d,1.605,59746,5500,0,0,0,0,0,0,0,0,0,0,0,65246,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,24,nP1_L_C1.d,1.594,91333,16178,0,0,0,0,0,0,0,0,0,0,0,107511,93.73,6.27,0,0,0,0,0,0,0,0,0,0,0,100.00,93.73, 6.27, 0.52
,light,24,nP1_L_VPA1.d,1.615,49178,5589,0,0,0,0,0,0,0,0,0,0,0,54767,99.65,0.35,0,0,0,0,0,0,0,0,0,0,0,100.00,99.65, 0.35, 0.03
,light,24,nP2_L_C2.d,1.615,53449,5641,0,0,0,0,0,0,0,0,0,0,0,59090,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,24,nP2_L_VPA2.d,1.595,42315,7929,0,0,0,0,0,0,0,0,0,0,0,50244,92.83,7.17,0,0,0,0,0,0,0,0,0,0,0,100.00,92.83, 7.17, 0.60
,light,24,nP3_L_C3.d,1.597,126838,15998,0,0,0,0,0,0,0,0,0,0,0,142836,98.43,1.57,0,0,0,0,0,0,0,0,0,0,0,100.00,98.43, 1.57, 0.13
,light,24,nP3_L_VPA3.d,1.616,30317,5556,0,0,0,0,0,0,0,0,0,0,0,35873,93.19,6.81,0,0,0,0,0,0,0,0,0,0,0,100.00,93.19, 6.81, 0.57
,light,24,nP3_L_VPA4.d,1.596,38540,5169,0,0,0,0,0,0,0,0,0,0,0,43709,97.66,2.34,0,0,0.00,0,0,0,0,0,0,0,0,100.00,97.66, 2.34, 0.20
,light,24,nP4_L_C4.d,1.599,109323,12900,0,0,0,0,0,0,0,0,0,0,0,122223,99.22,0.78,0,0,0,0,0,0,0,0,0,0,0,100.00,99.22, 0.78, 0.07
,light,24,nP4_L_C5.d,1.595,121174,14244,0,0,0,0,0,0,0,0,0,0,0,135418,99.26,0.74,0,0,0,0,0,0,0,0,0,0,0,100.00,99.26, 0.74, 0.06
,light,24,nP4_L_VPA5.d,1.604,51783,0,0,0,0,0,0,0,0,0,0,0,0,51783,100.00,0,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,24,nP1_H_C1.d,1.595,80695,9548,0,0,0,0,0,0,0,0,0,0,0,90243,99.19,0.81,0,0,0,0,0,0,0,0,0,0,0,100.00,99.19, 0.81, 0.07
,heavy,24,nP1_H_VPA1.d,1.594,46419,5592,0,0,0,0,0,0,0,0,0,0,0,52011,98.98,1.02,0,0,0,0,0,0,0,0,0,0,0,100.00,98.98, 1.02, 0.09
,heavy,24,nP1_H_VPA2.d,1.593,32507,17,0,0,0,0,0,0,0,0,0,0,0,32525,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,24,nP2_H_C2.d,1.597,153736,17970,0,0,0,0,0,0,0,0,0,0,0,171706,99.33,0.67,0,0,0,0,0,0,0,0,0,0,0,100.00,99.33, 0.67, 0.06
,heavy,24,nP2_H_C3.d,1.595,147841,20225,0,0,1152,0,0,0,0,0,0,0,0,169218,96.67,2.58,0,0,0.76,0,0,0,0,0,0,0,0,100.00,96.67, 3.33, 0.47
,heavy,24,nP2_H_VPA3.d,1.599,43993,6711,0,0,0,0,0,0,0,0,0,0,0,50704,95.94,4.06,0,0,0,0,0,0,0,0,0,0,0,100.00,95.94, 4.06, 0.34
,heavy,24,nP3_H_C4.d,1.602,191416,25893,0,0,0,3669,0,0,0,0,0,0,0,220977,95.69,2.40,0,0,0,1.91,0,0,0,0,0,0,0,100.00,95.69, 4.31, 0.99
,heavy,24,nP3_H_VPA4.d,1.601,73899,5315,0,0,0,0,0,0,0,0,0,0,0,79214,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,24,nP4_H_C5.d,1.602,322445,32871,0,0,0,0,0,0,0,0,0,0,0,355316,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,24,nP4_H_VPA5.d,1.614,41702,3144,0,0,0,0,0,0,0,0,0,0,0,44846,100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,solv,24,sol1.d,1.633,0,0,0,0,3372,0,0,0,0,0,0,0,0,3372,0,0,0,0,100.00,0,0,0,0,0,0,0,0,100.00,0.00, 100.00, 33.33
,solv,24,sol2.d,1.381,3821,0,0,0,16079,0,0,0,0,0,0,0,0,19900,18.58,0,0,0,81.42,0,0,0,0,0,0,0,0,100.00,18.58, 81.42, 27.14
,Summary Statistics, %labeled,,%fraction
,Sample Groups, Mean, Std.Dev., Mean, Std.Dev.
,mix,1.05,1.141,0.23,0.425
,light,2.60,2.954,0.22,0.246
,heavy,1.42,1.769,0.20,0.322
,solv,90.71,,30.24

Allantoin, Formula, C4H6N4O3
, Tgt RT, 1.730, minutes
, RT tolerance, 4.000, minutes
, m/z tolerance, 20.000, ppm
, Abundance metric, EicCoreArea, (20.0 % threshold)
,,,,, Ion Abundance,,,,,,,, Corrected Abundance Percentages,,,,,,,, Summary Statistics
,,,,,m+0,m+1,m+2,m+3,m+4,m+5,m+6,Abund,m+0,m+1,m+2,m+3,m+4,m+5,m+6,Abund,%, %, % Fractional
,SampleGroups, Cpd. Group, File Name, RT,157.03671,158.04299,159.04927,160.05554,161.06182,162.06810,163.07437,Sum,157.03671,158.04299,159.04927,160.05554,161.06182,162.06810,163.07437,Sum, Unlabeled, Labeled, Labeling
,mix,25,nmix1.d,1.651,168322,51051,0,0,0,0,0,219374,80.29,19.71,0,0,0,0,0,100.00,80.29, 19.71, 3.28
,mix,25,nmix2.d,1.652,155330,43272,0,0,0,0,0,198602,81.94,18.06,0,0,0,0,0,100.00,81.94, 18.06, 3.01
,mix,25,nmix3.d,1.653,146050,0,0,0,0,0,0,146050,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,mix,25,nmix4.d,1.652,122495,49022,0,0,0,0,0,171517,74.43,25.57,0,0,0,0,0,100.00,74.43, 25.57, 4.26
,mix,25,nmix5.d,1.668,132400,38674,0,0,0,0,0,171074,81.03,18.97,0,0,0,0,0,100.00,81.03, 18.97, 3.16
,mix,25,rnmix1.d,1.655,177915,0,0,0,0,0,0,177915,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,25,nP1_L_C1.d,1.660,111101,0,0,0,0,0,0,111101,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,25,nP1_L_VPA1.d,1.648,309562,70269,0,0,0,0,0,379831,85.59,14.41,0,0,0,0,0,100.00,85.59, 14.41, 2.40
,light,25,nP2_L_C2.d,1.665,100793,119630,0,0,0,0,0,220423,46.57,53.43,0,0,0,0,0,100.00,46.57, 53.43, 8.91
,light,25,nP2_L_VPA2.d,1.645,346638,73066,0,0,0,0,0,419704,86.81,13.19,0,0,0,0,0,100.00,86.81, 13.19, 2.20
,light,25,nP3_L_C3.d,1.664,0,97157,0,0,0,0,0,97157,0,100.00,0,0,0,0,0,100.00,0.00, 100.00, 16.67
,light,25,nP3_L_VPA3.d,1.649,432622,66418,0,0,0,0,0,499040,91.39,8.61,0,0,0,0,0,100.00,91.39, 8.61, 1.43
,light,25,nP3_L_VPA4.d,1.645,385089,104448,0,0,0,0,0,489537,82.44,17.56,0,0,0,0,0,100.00,82.44, 17.56, 2.93
,light,25,nP4_L_C4.d,1.665,108728,0,0,0,0,0,0,108728,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,light,25,nP4_L_C5.d,1.661,83674,66493,0,0,0,0,0,150167,57.30,42.70,0,0,0,0,0,100.00,57.30, 42.70, 7.12
,light,25,nP4_L_VPA5.d,1.654,356204,86152,0,0,0,0,0,442355,84.51,15.49,0,0,0,0,0,100.00,84.51, 15.49, 2.58
,heavy,25,nP1_H_C1.d,1.661,137697,0,0,0,0,0,0,137697,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,25,nP1_H_VPA1.d,1.644,129229,0,0,0,0,0,0,129229,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,25,nP1_H_VPA2.d,1.643,96136,0,0,0,0,0,0,96136,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,25,nP2_H_C2.d,1.664,94126,0,0,0,0,0,0,94126,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,25,nP2_H_C3.d,1.645,92425,0,0,0,0,0,0,92425,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,25,nP2_H_VPA3.d,1.665,142374,0,0,0,0,0,0,142374,100.00,0,0,0,0,0,0,100.00,100.00, 0.00, 0.00
,heavy,25,nP3_H_C4.d,1.651,119737,70207,0,0,0,0,0,189943,65.25,34.75,0,0,0,0,0,100.00,65.25, 34.75, 5.79
,heavy,25,nP3_H_VPA4.d,1.651,0,100429,0,0,0,0,0,100429,0,100.00,0,0,0,0,0,100.00,0.00, 100.00, 16.67
