,Experiment,Folate,Status,2-Hydroxybutyric Acid,Glutaric Acid,dTDP-Glucose,Lactic Acid,Fumaric Acid,Oxaloacetic Acid,Malic Acid,Ascorbic Acid,D-Glucose,Citric Acid,D-Fructose 6-phosphate,Succinic Acid,Acetoacetic Acid,Caprylic Acid,Estradiol-17alpha,alpha-Linolenic Acid (18:3 n-3),Linoleic Acid,Leukotoxin A,Eicosapentaenoic Acid (20:5 n-3),Arachidonic Acid,Dihomo-gamma-linolenic Acid,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",11(Z)-Eicosenoic Acid,Docosahexaenoic Acid (22:6 n-3),Docosapentaenoic Acid,Adrenic Acid (22:4 n-6),"2,3-dinor Thromboxane B2",Adrenoyl ethanolamide,Palmitoyl dopamine,Oleoyl dopamine,Docosatrienoic Acid (22:3 n-3),Brassidic Acid,Xanthine,Uric Acid,N-Carbamoyl-L-aspartic Acid,Uridine diphosphate (UDP),2-Oxoglutaric Acid,3-Hydroxybutyric Acid,Glycerol 1-Phosphate / Glycerol 3-Phosphate,3-Ureidopropionic Acid,Nitrotyrosine,N-Acetylserine,Pantothenic Acid,N-Acetylalanine,Deoxycytidine,Kynurenic Acid,Dehydroascorbic Acid,Methylglyoxal,Phosphocreatine,ATP,2-Oxoadipic Acid,UTP,Ketoleucine,4-Hydroxyphenyllactic Acid,Heptadecanoic Acid,Palmitic Acid,NADP,CMP,D-Glucose 6-phosphate,Creatine,Aspartic Acid,Caproic Acid,Oxalic Acid,Alanine,Sarcosine,Serine,Proline,Valine,Isoleucine,Leucine,Asparagine,Lysine,Glutamic Acid,Methionine,Phenylalanine,Quinaldic Acid,Citrulline,Tyrosine,Tryptophan,Indoxyl Sulfate,3-Hydroxykynurenine,Glycine,GDP-Glucose,UDP-N-Acetylgalactosamine,UDP-N-Acetylglucosamine,2-Phosphoglyceric Acid,ADP-Glucose,Chenodeoxycholic acid,CDP-Choline,Phosphatidylethanolamine(32:0),NAD,Flavin adenine dinucleotide (FAD),2-Aminobutyric Acid,Taurine,GSSG,3-Aminoisobutyric Acid (BAIBA),Uracil,Adenine,Hypoxanthine,Guanine,Cytidine,Uridine,Adenosine,Inosine,Guanosine,UMP,Cytidine diphosphate (CDP),GDP,ADP-Ribose,Ophthalmic Acid,Dihydroorotic Acid,Retinoic Acid,Glucuronic Acid,Myristic Acid,Oleic Acid,Pyroglutamic Acid,Ornithine,Glutamine,Histidine,5-Hydroxytryptophan,S-Adenosylhomocysteine (SAH),Threonine,N-Acetylneuraminic Acid,UDP-Galactose,Phosphoenolpyruvate,O-Phosphoethanolamine,Hypotaurine,Glutathione,Orotic Acid,GMP,trans-4-Hydroxyproline,3-Sulfinoalanine,2-Aminoadipic Acid,N-Acetylglutamic Acid,Kynurenine,O-Succinylhomoserine,Pipecolinic Acid,D12-Prostaglandin J2,Arachidonyl dopamine,Urocanic Acid,N-Acetylglycine,ADP,Allantoin,Quinolinic Acid,N-Acetylaspartic Acid,UDP-Glucose,5-Hydroxyindoleacetic Acid (5HIAA),"5,6-Dihydrouracil",Arginine,D-Fructose,Sulfite,Thiosulfate,2-Hydroxy-3-methylpentanoic Acid,UDP-Glucuronic acid,Pyruvate,D-Glyceraldehyde 3-phosphate (G3P),cis-Aconitic Acid,NADH,Glycerylphosphorylethanolamine,3-Phosphoglyceroinositol,"13Z,16Z-Docosadienoic Acid",Cholesterol Sulfate,LysoPE(18:2),LysoPE(18:0),Glycerol 1-phosphoserine,Orotidine,AMP,Succinoadenosine,Deoxythymidine triphosphate (dTTP)
n320_7,cd_exp2,2ppm,N cd/cd,79797.12617,17428.32903,82197.08435,32428529.01,47697.82128,32803.27492,3209176.838,57237.26176,73687.25422,2682499.327,8217.549709,292352.4584,92008.03874,23717.58855,70981.38975,5477.617788,183492.0015,5272.941065,10342.71868,258402.2182,51191.10348,20793.62629,20620.96251,75644.16608,24881.51309,68045.89211,60414.7645,29131.58971,272052.2714,7783564.822,6568.45604,7565.915345,72180.86432,104694.76,1308700.578,56610.91459,372223.8217,144572.0183,5465.392244,48892.63263,4058.539308,24527.57169,406361.9656,67497.63659,7785.747449,5322.043986,595564.8046,233037.458,1226.729443,127127.3651,8896.082183,3249.111747,147549.4976,39042.74579,87967.73596,3280821.106,,38371.86638,2939.121976,267189.7592,2165067.151,16387.74665,265031.5691,2104383.779,330537.7156,1044153.31,1686845.604,1206467.535,937858.2746,1312206.175,465692.9221,940155.834,8102405.243,490007.4441,959961.4098,20575.1974,12187.61535,955629.3516,215666.4733,4452.147344,10806.44224,827644.8343,6794.799078,1566759.982,3971317.252,8846.716315,20355.91752,3224.897764,3535.065421,23599.26488,232079.8194,3829.266691,1276972.45,9201301.992,168016.708,1277054.407,640137.2879,45544.23576,550809.0927,27142.97125,52124.62574,102836.013,9200.929738,228398.5812,26472.88767,1452999.065,21621.20056,20657.13548,124566.57,45794.42329,131160.3398,3231.896839,38404.22091,247146.7109,489780.2065,465275.8984,143811.4478,2091697.86,93971.97318,16384.58872,27632.98402,888295.631,33750.07141,899816.9754,3837.785874,188059.069,116491.0647,1168905.603,228907.8615,22523.05694,264267.0908,14316.49104,157341.6621,157622.4372,9724.840751,154868.8458,5604.846326,16616.92226,45695.79642,43819.72254,29688.53781,358058.2485,164228.4913,12616.37537,2696729.131,1045347.502,37579.4944,20384.62383,44279.52555,19853.138,108984.5864,158061.9876,22508.3397,122851.2462,1304035.908,54342.99113,2489.384272,7502.633719,7400.46878,231902.347,1866.629873,126543.83,9008.057615,64218.50195,20884.06665,159889.9179,219796.4205,90486.43724,30840.42458
n320_9,cd_exp2,2ppm,N cd/cd,213339.526,27636.7238,118976.7138,53017623.52,68897.30055,48918.01515,4639562.221,555.6305356,142582.3656,4998268.827,8762.353005,443097.6129,136719.3209,32191.58597,77469.10117,13314.13843,232526.5544,14815.326,17059.83814,284861.1947,60860.70289,28186.44885,26974.01516,85092.92128,24315.65123,67432.16429,72529.22714,3090.767374,368068.669,9970744.644,6076.239248,7151.817478,93069.09948,400937.3669,1622190.841,59849.55603,536821.7307,261612.9121,2916.832172,76093.3154,3464.171004,26331.4022,488509.9071,85418.35998,9629.349455,7778.02463,146586.2011,370412.7539,,148650.7047,20709.06998,2724.496139,243625.7443,73166.90002,93493.33535,3386067.727,,30164.66297,13566.88407,347809.4598,2895910.464,19838.33057,365857.6242,2751412.476,406103.9944,1268642.74,2301231.767,1666391.425,1263978.912,1830744.826,626129.507,1442492.408,10182041.12,679255.4459,1367211.151,8054.298528,15411.75129,1296598.991,249498.2758,5606.855576,11074.02209,1176816.792,10351.60472,1795491.309,4771514.343,2067.016861,27880.68108,12427.36307,3541.953675,20866.11684,217887.1514,4618.808322,1650424.023,12247590.48,184370.4714,1650822.247,987226.7559,64093.01488,749221.5414,36384.41413,76990.02491,129585.1741,7299.68335,212645.8946,32937.70274,1106670.718,21397.71857,17909.30251,559770.8916,61240.71275,403719.1895,6618.601366,45869.75146,219881.8307,682914.1459,666758.8419,161830.6935,2698001.571,123563.1366,18168.30883,27132.52462,1325922.037,51912.75889,1110317.282,1138.199865,233194.4722,149485.988,1198692.126,396309.3466,23497.75061,105370.6649,24465.71886,222194.6098,212278.3304,13320.53048,200418.5812,11805.30838,29893.71969,2911.972015,51104.92223,33563.61099,371739.9848,132284.2513,24827.41242,3564929.279,1324502.956,45958.86332,84199.42135,59121.58709,50603.798,117245.2565,185948.7929,51441.34659,179989.6498,2062426.559,51861.67461,40177.22398,14259.02451,10920.58795,327123.7203,2048.329993,159140.2915,9421.779245,53334.66481,32185.03365,240428.4917,226886.4327,70799.31143,19196.08322
n241_6,cd_exp2,10ppm,N wt/wt,148957.5526,18427.0744,98573.37692,34892798.48,58073.20483,38341.1147,3188837.701,2879.231934,82424.02863,3581419.55,9912.421119,284994.0454,95686.11799,24300.76795,93354.48739,117.212013,131497.1715,17586.62696,15923.25533,73772.01455,8230.229671,1885.620109,13280.45617,35753.34912,11656.3518,15586.32029,75706.36225,1751.759788,203810.8713,7433763.335,,5567.866571,117439.3264,147512.6013,1167018.458,56145.34134,619908.9979,187775.7383,3642.798973,49193.55796,4221.360001,22347.10303,377854.5165,61599.13319,8560.506777,5150.351517,219271.7547,287841.6085,10710.5638,259077.3204,12564.82709,34923.98691,204479.0372,40735.0566,113652.7646,4877769.175,4845.70182,16488.79917,1460.151488,292458.7694,2535144.863,15891.70303,236692.4048,1898048.321,370531.8006,816700.0974,1725200.772,956897.7677,745732.8817,1184934.148,372682.2711,1021661.457,7314263.765,463874.3565,964013.7506,14912.63488,12857.84409,965479.4976,202395.3056,5244.465949,8797.455977,1022198.237,5432.339838,1945046.179,4759520.377,32385.95099,22809.97156,5124.532694,1586.864557,19275.0378,420409.6955,7388.606085,1166935.251,8607763.553,202653.8413,1166655.82,595689.8619,38226.17127,762143.9695,25120.0643,78586.15144,165809.4402,18008.21464,244160.7481,58614.99183,514899.5372,24650.65714,21355.34459,42870.30802,28558.44014,96415.6362,9907.345704,36199.08671,249513.7477,449383.3996,432085.3467,129172.5826,1295352.365,112226.4408,14680.48782,29583.05132,810676.4325,27661.02726,1108075.778,25817.22347,227197.1705,121294.621,910429.4284,195939.7796,9665.232207,289701.2373,15838.79399,203757.8262,151523.6942,8367.961322,121609.1584,8664.909888,31312.34566,31274.25081,45085.58934,38519.65342,382659.5812,111271.0368,11745.91418,2736116.051,1448392.231,36455.89846,25278.7759,41744.11634,36048.46631,101643.453,138866.2195,28486.52616,145136.7531,1548037.836,54099.30048,13830.23279,15149.3887,8123.754413,273963.3583,1463.121082,106214.7204,14189.68091,45171.95506,23058.79523,223433.8106,99753.31384,64010.53857,8516.409423
n242_2,cd_exp2,10ppm,N wt/wt,235047.5404,25140.78743,114190.8395,54847642.27,75509.12384,71584.12934,5648953.393,421.2963492,134289.0587,7941790.517,4934.480823,661902.4739,145214.3177,46507.50204,32997.5964,2680.464512,78084.32282,2141.194159,14717.19142,78847.6833,10595.48396,4885.673277,8021.675611,40093.34378,9694.300862,21857.96222,55956.02748,19372.58147,241649.0323,7401820.505,,5750.426502,28556.72974,129178.4687,1653568.036,80396.02763,716383.3426,170398.4609,6304.062694,72938.839,3968.401372,18378.88342,605663.0083,92661.00021,13549.04294,9175.163025,70496.01188,385337.8118,17478.41721,298527.519,25744.41504,58826.72241,184272.5891,73036.17681,96402.93145,3080934.372,1098.688463,11979.9524,977.4752884,345368.8939,4220633.428,25741.93561,390626.6687,3132851.162,409636.0729,1197165.244,2293014.494,1552730.621,1059871.224,1472645.548,630739.2895,1567698.62,10387341.34,616662.0828,1110931.794,11490.70648,15243.75768,1013991.442,185677.4292,7340.018106,13186.53729,1100793.158,8564.198251,1275582.532,4512663.423,12633.40404,15988.6117,10765.6966,,26274.73251,391689.1004,2281.026992,1695831.033,12965070.73,207096.6018,1695991.028,796320.5901,50772.2551,843954.2171,32533.89941,24258.66099,94703.1907,16101.12917,153209.1321,51631.24852,463629.4054,30071.1821,17078.53559,35865.27484,74652.58454,212640.1427,8769.869834,51629.42026,221439.1552,204215.843,710783.7712,134970.9115,2410762.924,124792.7144,17702.0618,27397.10809,897689.6069,29530.85412,797056.1609,5136.654218,241450.8455,161304.4869,844672.6591,343316.5941,4783.607816,111226.3062,22060.52403,317783.2462,207113.7254,6514.351516,169025.5714,10403.03829,19581.95826,19352.65854,40251.13827,41086.82195,396750.1262,171946.2118,38950.08857,3751769.286,1612761.442,51354.85597,54768.30309,68151.79572,31112.75911,82353.27641,191067.3882,33366.28879,119952.578,2375583.961,79903.44248,38507.61903,11708.75512,14648.06812,227489.2848,501.2586778,159341.4637,8162.224657,53092.38043,27052.98816,263259.4528,73365.31944,65555.00686,5421.710564
n242_6,cd_exp2,10ppm,N wt/wt,144432.485,28679.34878,107966.2202,53591900.69,68475.43583,65524.51834,5255700.813,3250.422277,125928.7272,7038739.949,6202.703249,637978.1656,118532.7266,36281.41058,62537.84612,,79352.44072,27534.53032,12952.75389,80607.05824,3099.855158,3255.528922,8898.24413,34405.09222,9883.93071,18238.91149,56818.08619,10684.46739,237220.0637,7176546.973,,6776.809076,75096.11564,198531.7602,2336393.364,91077.18122,1170591.744,145304.2731,8451.870133,67556.59485,5910.779384,26047.50501,546950.8571,98636.8287,12667.09587,5589.016182,185210.3352,393428.8919,15822.84455,387076.9636,16539.26871,69120.60622,211528.3233,52188.81621,125627.5162,3775743.611,1575.416178,16622.1119,2013.233934,356087.2019,3972394.65,18776.8985,508428.8473,3288539.978,398026.5203,1340912.157,2261538.264,1391639.763,996247.1244,1398502.168,656266.6513,1270534.747,11994622.16,542244.991,912983.9887,36477.6376,13105.56379,843343.1723,172167.9508,6218.906817,11377.04755,1151658.905,8274.887485,707363.8234,3169922.831,18729.28705,15653.85396,3861.993066,,20675.86777,388161.585,647.8106369,1995518.918,13274584.46,220377.2638,1995351.238,932813.8728,71619.8744,987141.5642,26504.46948,35167.06054,91568.73186,19069.20036,231229.4084,46039.79302,476550.4349,38386.91076,28483.64997,38649.17758,69656.43497,194339.5093,9139.358923,53760.08727,344862.2667,269556.6439,631335.4129,132173.6295,2673050.087,118261.8787,24317.04701,25521.16308,1017969.659,26044.96511,513097.4101,6425.973482,253110.5985,182467.1528,873728.9332,353403.2214,4739.149406,108683.1075,28556.13353,272227.2361,241953.3638,3732.599737,211974.9066,13221.89624,56196.70879,51901.60086,68510.18008,65357.9885,444663.4274,226920.375,18405.44182,4420160.552,927236.137,75197.86721,52708.75377,70121.40338,34717.70828,121014.2967,188218.4516,25304.48361,94157.26138,2043559.618,94696.04416,50210.11559,780.5364719,13620.71061,185861.4384,,130579.37,9658.155694,44534.57416,21731.30233,247985.4818,89651.66621,58348.75122,6375.579093
n208_7,cd_exp2,10ppm,N wt/wt,371794.549,14217.97584,90538.03887,21880946.63,27027.37324,47507.31649,2669898.573,28527.14422,50469.77533,4212175.34,8293.462782,280725.8158,102677.6913,24616.41648,54410.8432,6560.019249,160339.7791,4402.098715,12854.49091,191308.3631,31485.23156,12090.96699,14391.25009,70597.79193,17222.38736,46206.33014,62815.22241,8115.907939,172827.0431,5282123.901,1594.005816,6865.336434,52014.45006,103415.2846,843220.9007,49045.34348,647299.5895,1809920.308,7514.133298,50440.05618,7655.450076,17836.64155,351039.8073,63884.02045,6910.672307,5727.664756,425502.2161,191425.7455,3454.637997,151263.477,3359.323148,7550.449639,145357.5806,42138.82476,107588.0717,3484007.116,2819.322937,25907.36516,1489.764274,289263.783,2261332.34,13014.96304,244125.5424,1885731.511,352978.4765,805464.1876,1520959.115,1167619.045,781517.5815,1196674.441,490195.0112,1047085.746,9220164.914,474883.8162,946241.3791,15589.89837,11876.58146,822506.3953,204999.4975,5199.822941,11569.49208,954098.2715,12194.06871,1504324.592,4266495.361,11019.55275,20788.88648,7839.385336,4564.995785,26619.79047,389314.1807,5117.437335,1456270.635,9068151.403,155270.914,1453257.049,479253.2078,46289.01752,523595.8301,26259.29475,69164.37531,143026.734,10242.89849,121244.3934,31678.89678,870278.4687,17746.67811,20035.80156,74827.72548,79603.38492,60886.14001,4226.185974,38434.66181,241759.7885,406359.4034,272493.742,96800.94544,2119512.401,89333.99895,13353.51263,28355.74958,762801.4685,43767.92326,1124266.086,,178116.9408,134494.2526,1174026.537,169583.8964,9868.769794,249065.8668,21475.83832,142284.424,149550.1248,7010.603282,118443.2395,7242.999756,5941.71827,51146.50984,23153.47854,26870.47166,372611.674,117177.6566,13697.43638,2518302.545,1371042.689,31475.13508,1203.809494,44494.84921,15634.40192,84529.80306,122068.064,20051.28884,160641.6737,1361136.451,49135.92031,21689.93409,37584.65827,9430.617817,186566.6029,904.9580577,145690.6645,11039.28386,52698.21264,20840.18403,201898.6457,117321.8708,68061.26488,22523.6089
n376_8,cd_exp2,10ppm,N wt/wt,196755.8333,25364.19858,112517.9217,53884341.89,60850.88519,62341.35428,4299892.488,172.7080254,121565.3175,7108438.726,1889.611474,556168.9173,107874.3932,38179.43573,97436.90486,,50868.08594,1929.674296,11406.38215,53519.87974,279.0755532,1130.443783,7693.577285,35954.16072,9471.295258,12696.39699,68363.83755,4838.786526,,202862.5406,,10559.48323,64437.32601,155872.1985,1567480.345,69045.76637,829920.6577,227050.9917,3764.700054,79113.49086,1436.496824,25329.68916,566140.5162,106755.3422,11213.77765,7205.308725,22731.08919,409946.6192,11188.4141,370477.9251,2017.175774,64979.19475,230795.996,58575.66944,156213.2932,4739059.558,496.5073517,4634.819092,444.2506895,323499.0616,3199825.238,14427.52474,467983.2904,2683779.165,346105.929,1162747.294,2107137.506,1359128.213,844112.377,1322021.639,606809.5992,1283416.077,10593469.15,519498.3902,929510.7001,39866.5882,13128.25672,877458.0616,169378.9117,6325.877293,7833.786757,1405574.953,9708.745473,1569890.439,4938226.817,14058.82655,19212.13936,2397.51482,519.5959073,21721.705,386730.1788,1534.225241,1730398.133,13547144.9,177364.2356,1731258.221,738541.4257,68489.03203,1004985.041,26593.7584,28022.7593,68739.39931,15887.47828,79126.99007,36457.21274,276477.1571,24990.95982,19266.46199,60470.89065,54967.93239,232371.541,10053.74504,52005.05646,301505.5099,214901.775,721907.5252,109943.1503,2326768.206,106375.7521,15549.62656,23972.0852,842595.7735,35058.40173,1116218.912,957.5132331,243394.2741,176052.8541,850248.5602,260143.1327,1607.777508,364085.9337,26780.33964,159200.1867,222564.4449,3384.744764,175065.3525,10000.98108,15042.89936,112496.9383,79817.45445,42374.83287,365390.3011,191275.0803,21340.93545,3858413.566,1953660.081,86658.11733,60470.12274,49975.83762,34928.20518,113373.7694,211288.7311,25136.01966,150890.4058,1953183.517,92150.93976,52393.8592,6036.604825,9822.507969,229216.6786,,145630.8286,8939.003796,56904.03065,28503.09128,236606.021,49110.54701,29318.20158,1497.689134
n241_2,cd_exp2,10ppm,N cd/cd,208322.218,27012.14876,119668.1679,51863040.33,119119.9463,64580.82052,6133408.546,27754.96958,118898.2795,7076983.206,9202.613413,690931.1455,115474.863,37550.62739,129779.668,,77831.47682,10955.8059,14679.10767,71871.63145,9884.76305,1885.35909,8791.164544,31886.60315,7685.176952,17338.90192,76354.95985,35568.4997,359081.2598,10545204.25,,5284.539418,88374.38258,139250.0962,1311445.182,74362.12196,594169.9242,243673.7943,3733.809694,73959.56087,4172.223872,26753.71484,576863.5885,97583.12421,12025.25056,5908.133399,365235.3545,380601.2005,15890.4013,366466.8709,27232.27415,63686.24747,257973.7443,55795.44041,94692.11554,3710168.476,4133.349434,13866.45225,2589.37209,318164.7355,4547858.224,19096.58086,402828.792,3060407.225,363746.9079,1250374.4,2074932.028,1585560.183,1080621.975,1610537.259,615901.4301,1399206.022,10239973.98,617629.0225,1245341.007,26006.08214,16100.33306,1170817.791,218877.4525,8863.309151,9759.624731,1324389.516,5197.13113,1870289.271,5179162.995,29495.95041,27232.81378,3190.24563,2353.248585,14729.86134,379539.5552,3862.002264,1702420.493,12866492.45,225142.7369,1703599.616,971922.2812,69343.50039,929697.9347,30920.40004,55441.2301,134733.3271,16570.65649,179649.7883,45583.04373,467755.3202,35030.10769,22096.91531,52414.85532,42963.70932,137513.3591,11273.41656,56133.67558,262397.9861,223894.1743,736499.4365,159693.1537,1856037.554,136531.4634,17540.60573,32820.0838,1073082.288,20758.16147,1141237.136,25026.0434,256897.1759,171017.008,882049.1178,349088.1796,4637.39188,97684.6398,20236.29876,295837.7848,216474.5064,8066.321191,180526.3856,7175.133827,16462.96576,13346.27277,58375.18266,61657.94565,419219.6312,238457.5459,25293.38464,4264995.745,1976454.374,53217.94816,41327.95372,64140.4362,29061.58852,140771.9638,229976.0805,30887.95761,199357.3976,2011705.906,93669.18356,52998.77843,9734.51412,9303.046901,345594.4733,405.2693845,153514.1437,9609.984182,41713.26002,29149.35981,271453.9925,89423.41406,50056.95514,6752.871584
n208_6,cd_exp2,10ppm,N cd/cd,513732.3455,20600.18669,82439.35512,32000107.93,36600.24285,60049.14031,3863543.774,221.6148716,75227.96573,6341894.745,7250.191824,362058.9783,108602.2789,29601.92767,212268.2092,9776.576462,190633.1535,5769.55465,16430.64965,248644.2971,40150.71834,14906.28304,18118.07294,85488.91307,24674.60617,58578.3385,72805.31598,17656.50979,290571.7593,9530429.332,3656.48819,4497.312859,61728.71704,121537.9991,1050737.34,53426.5055,680837.8685,2343706.146,9694.277036,60741.69992,10068.46893,16521.34755,453846.393,75285.29321,10160.03857,5204.352513,90368.54692,247856.2882,7165.060063,210744.2654,15038.65994,22902.86599,197605.9291,56774.62899,90844.52504,3980394.113,353.0366969,24268.92597,7823.553469,317605.5625,2355252.682,17376.81142,318596.5227,2062814.585,383214.4033,852531.323,1887123.761,1357282.706,999596.2611,1495253.268,459377.1603,1245711.026,8619159.213,546725.2928,1121759.88,10799.05291,11430.848,965455.4618,222822.9078,4996.322721,19572.36982,908412.1688,6801.765589,1111447.452,3440617.004,12649.44812,17676.66565,6431.651509,1235.220758,21991.99242,286001.8479,3725.231597,1400788.712,10363338.66,151538.5838,1401167.088,599668.2403,57052.04279,641311.2798,29588.26247,60174.90969,128434.0685,12130.27366,81732.80789,30868.63783,822949.3093,21125.0949,19418.87271,86959.23343,78234.99622,61092.60506,5452.533263,43607.52301,225760.4427,473259.219,397239.2415,116214.0663,2072782.232,105943.2309,13850.36382,29743.33087,958203.7837,29048.59461,861962.8495,752.4639049,197673.3263,106317.8102,901144.2754,224745.0125,6793.443128,323439.7225,28423.47733,185093.8399,181751.2753,8258.474265,119025.0016,5518.687133,16709.11453,15492.72693,37245.01918,31374.60671,373386.4948,165465.8945,22620.31046,2992449.868,1085496.898,44283.01548,16085.77909,38428.88868,20908.81716,108061.1378,140517.7296,23297.4188,119870.48,1547447.028,53288.51753,28246.69644,22543.52322,8072.403106,260148.3853,1887.814892,157852.8616,12084.90997,64840.71551,18614.71717,210317.7865,97406.94284,59074.68052,13635.56338
n201_1,cd_exp2,10ppm,N cd/cd,143751.1792,14668.38741,75357.00343,37504634.44,52876.01787,44378.476,4128532.939,15234.69708,94214.77043,4291602.287,4543.026318,448037.5406,105396.3892,33389.53011,49995.09626,20129.35066,354368.6898,3222.617278,24297.62771,603706.1676,137956.8643,44862.18022,26730.81061,165588.2558,51825.78546,179882.7548,57760.78225,208855.8694,275963.7618,8839272.601,18198.92324,12979.38322,33392.96607,85626.21151,552399.4314,66042.48685,519293.197,157786.6504,17826.296,54323.37716,2563.903471,16266.00201,550728.8099,76424.53765,8609.875682,9833.81556,345501.311,263884.8907,10462.1971,76142.65141,28054.97384,,130994.1731,55861.30491,86746.25682,2832900.215,,66426.15105,9865.836029,291339.5741,2613757.907,18142.17511,251367.1594,2201501.921,362076.6073,895639.087,1783418.545,1244180.076,927732.4408,1387023.11,489574.897,1217527.853,7560315.285,529741.3991,1047927.533,14446.99486,10316.41469,990541.8557,239572.214,7388.081823,10366.32694,831692.8252,3277.604942,1069890.659,3589003.587,18490.63882,14086.68579,5654.912514,1489.997435,21938.13328,111011.4389,4402.682532,1168065.828,11000133.58,140592.0596,1168158.287,451843.8198,42849.88947,677058.9582,28291.65165,35382.43847,77135.46602,8962.548958,399724.6014,38725.10619,2702990.956,18265.97577,16161.8799,14451.68269,23884.43568,57880.30568,9168.978044,49453.45992,225516.7169,719911.7695,740847.2171,139841.2572,1675518.818,100323.2727,13398.74853,41811.63382,722999.8219,19110.70278,654830.4041,6866.244644,217473.9287,118086.5547,1478146.986,170662.9265,41131.99578,272899.1825,14614.64937,244598.6561,157769.4508,11609.69143,140755.1192,7659.269713,12171.33791,19345.83903,27794.45281,39234.81874,315565.945,105382.7762,27956.77464,2740283.134,1134551.291,54103.56326,14511.35234,23710.54036,22364.7089,77825.86071,132201.3973,17032.37671,72291.21403,1602147.42,79773.34944,11158.4298,2705.362821,11691.94418,223829.1236,3040.548239,239342.2491,6617.622414,56387.16702,23306.41447,195622.5912,380083.1968,316777.9387,51256.20329
n317_1,cd_exp2,10ppm,N cd/cd,225890.4054,27976.6897,118373.8585,80656867.39,141920.7659,94287.91242,6650434.401,,210839.9374,11308515.99,8438.921486,690370.489,127887.8249,51242.33976,72924.33167,,111871.4373,6700.994112,16010.7301,146593.0111,20781.78805,5349.067211,15424.61863,90864.92976,18949.20953,39647.76349,76640.88541,12194.86154,,188745.745,,7903.068021,172143.4039,260258.8563,1210825.558,48503.5484,790264.5065,432393.5603,7116.305317,78047.17438,1820.470847,33660.33285,894729.9276,123364.3494,15328.03947,8802.39147,63598.66575,538322.1595,9465.490608,312417.9951,38345.65474,37104.48427,365829.8157,86991.62526,136639.3798,4640158.043,,14780.58925,1425.614532,438281.5161,3900154.983,19798.94337,484701.6113,3603828.248,505231.4825,1503795.219,3372519.217,2476109.072,1752799.137,2659168.791,839732.3039,2337002.455,13184189.07,882823.0665,1622594.849,27831.11723,19738.95555,1529162.558,353532.4247,9597.958562,14010.94126,1642343.925,12586.56416,1593225.051,5202469.084,18108.03803,26137.75046,1979.009315,14820.55495,20674.91114,365220.8811,3012.593216,2138906.931,14691090.56,235070.1615,2141150.732,917681.5578,90381.2516,1561978.289,46278.88116,86910.5044,223442.7541,12619.47561,233651.7801,47376.7754,394154.3028,22637.27253,24636.78079,60037.99108,34694.4096,94921.87974,12746.93207,60349.5143,328343.6653,315616.7789,1151576.845,206470.7496,3074059.961,176208.8778,24452.39603,39452.60099,1613892.499,61375.41846,1106915.547,10360.37035,310134.8292,207323.1636,829503.542,287355.3002,9004.002093,525300.6303,43578.97704,350401.8304,294026.6282,14010.05905,264146.916,11249.72294,22936.73709,65416.94708,55511.70314,52283.35891,441798.9639,297478.6555,59569.42212,5224591.009,1487727.801,93671.99091,33769.5804,107963.7291,32692.54434,144685.2586,473661.0058,50257.65066,148921.3882,2403337.592,100841.3758,74848.23732,11931.53757,13625.65455,370437.8706,,144932.2427,9433.353271,59590.17409,34680.51227,300907.6262,131293.9871,98540.70561,4302.559
