compound_short,compound_full,formula,mass,rt,cas_id
FApC45,Ribitol,C5 H12 O5,152.071,3.28,488-81-3
FApC46,3-Sulfinoalanine,C3 H7 N O4 S,153.007,6.89,1115-65-7
FApC47,3-Hydroxyanthranilic Acid,C7 H7 N O3,153.034,1.9,548-93-6
FApC48,Histidine,C6 H9 N3 O2,155.069,10.73,71-00-1
FApC49,Orotic Acid,C5 H4 N2 O4,156.014,2.18,65-86-1
FApC50,Allantoin,C4 H6 N4 O3,158.043,1.8,97-59-6
FApC51,N-Methylglutamic Acid,C6 H11 N O4,161.069,6.95,35989-16-3
FApC52,Carnitine,C7 H15 N O3,161.106,14.27,541-15-1
FApC53,L-Rhamnose,C6 H12 O5,164.066,3.66,10030-85-0
FApC54,Phenylalanine,C9 H11 N O2,165.08,6.2,63-91-2
FApC55,4-Hydroxyphenylglycine,C8 H9 N O3,167.057,6.57,32462-30-9
FApC56,Pyridoxal,C8 H9 N O3,167.057,3.89,66-72-8
FApC57,Pyridoxamine,C8 H12 N2 O2,168.088,14.42,85-87-0
FApC58,Pyridoxine,C8 H11 N O3,169.071,6.46,65-23-6
FApC59,3-Methylhistidine,C7 H11 N3 O2,169.085,11.25,368-16-1
FApC60,G3P,C3 H7 O6 P,169.996,10.73,591-57-1
FApC61,DHAP,C3 H7 O6 P,169.997,10.46,57-04-5
FApC62,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.013,10.49,17989-41-2
FApC63,Dehydroascorbic Acid,C6 H6 O6,174.016,2.52,490-83-5
FApC64,Arginine,C6 H14 N4 O2,174.113,22.8,74-79-3
FApC65,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.043,8.06,13184-27-5
FApC66,Tyrosine,C9 H11 N O3,181.072,6.35,60-18-4
FApC67,D-Galactitol,C6 H14 O6,182.078,3.67,608-66-2
FApC68,Phosphocholine,C5 H14 N O4 P,183.072,18.43,107-73-3
FApC69,N-alpha-Acetylglutamine,C7 H12 N2 O4,188.075,5.77,2490-97-3
FApC70,Galacturonic Acid,C6 H10 O7,194.04,5.46,685-73-4
FApC71,Glucuronic Acid,C6 H10 O7,194.04,5.21,06556-12-3
FApC72,Acetylcarnitine,C9 H17 N O4,203.116,13.55,5080-50-2
FApC73,Tryptophan,C11 H12 N2 O2,204.088,5.97,73-22-3
FApC74,Kynurenine,C10 H12 N2 O3,208.084,5.92,2922-83-0
FApC75,Phosphocreatine,C4 H10 N3 O5 P,211.036,11.54,67-07-2
FApC76,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.056,10.44,1190-00-7
FApC77,Propionylcarnitine,C10 H19 N O4,217.13,12.54,20064-19-1
FApC78,O-Succinylhomoserine,C8 H13 N O6,219.071,8.16,1492-23-5
FApC79,Pantothenic Acid,C9 H17 N O5,219.111,4.22,137-08-6
FApC80,GlcNAc,C8 H15 N O6,221.09,3.41,7512-17-6
FApC81,Cystathionine,C7 H14 N2 O4 S,222.067,11.72,56-88-2
FApC82,Carnosine,C9 H14 N4 O3,226.107,15.11,305-84-0
FApC83,Deoxycytidine,C9 H13 N3 O4,227.09,5.21,951-77-9
FApC84,Butyrylcarnitine,C11 H21 N O4,231.148,11.59,25576-40-6
FApC85,Cytidine,C9 H13 N3 O5,243.085,4.67,65-46-3
FApC86,Uridine,C9 H12 N2 O6,244.069,1.73,58-96-8
FApC87,Biotin,C10 H16 N2 O3 S,244.088,4.65,58-85-5
FApC88,Valerylcarnitine,C12 H23 N O4,245.163,10.98,00-00-003
FApC89,Palmitoleic Acid,C16 H30 O2,254.229,2.29,373-49-9
FApC90,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.104,14.55,28319-77-9
FApC91,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.045,8.08,26289-09-8
FApC92,D-Glucose 6-phosphate,C6 H13 O9 P,260.028,11.01,56-73-5
FApC93,Thiamine,C12 H16 N4 O S,264.103,22.87,59-43-8
FApC94,Adenosine,C10 H13 N5 O4,267.097,2.78,58-61-7
FApC95,Inosine,C10 H12 N4 O5,268.082,2.63,58-63-9
FApC96,10Z-Heptadecenoic Acid,C17 H32 O2,268.245,2.27,29743-97-3
FApC97,Myoinositol-methyl-phosphate,C7 H15 O9 P,274.045,6.63,00-00-004
FApC98,Oleamide,C18 H35 N O,281.269,2.08,301-02-0
FApC99,Oleic Acid,C18 H34 O2,282.261,2.24,112-80-1
FApC100,Guanosine,C10 H13 N5 O5,283.092,3.08,118-00-3
FApC101,Xanthosine,C10 H12 N4 O6,284.076,2.53,146-80-5
FApC102,5-Methylthioadenosine,C11 H15 N5 O3 S,297.09,1.93,2457-80-9
FApC103,1-Monomyristin,C17 H34 O4,302.238,1.72,75685-84-6
FApC104,"2,3-cyclic CMP",C9 H12 N3 O7 P,305.04,5.23,633-90-9
FApC105,Glutathione,C10 H17 N3 O6 S,307.084,8.46,70-18-8
FApC106,Neu5Ac,C11 H19 N O9,309.105,5.23,131-48-6
FApC107,CMP,C9 H14 N3 O8 P,323.051,11.02,63-37-6
FApC108,UMP,C9 H13 N2 O9 P,324.035,9.72,58-97-9
FApC109,NMN,C11 H15 N2 O8 P,334.054,14.74,1094-61-7
FApC110,3-Phosphoglyceroinositol,C9 H19 O11 P,334.066,6.9,00-00-006
FApC111,"D-Fructose 2,6-bisphosphate",C6 H14 O12 P2,339.994,13.18,79082-92-1
FApC112,AMP,C10 H14 N5 O7 P,347.065,10.49,61-19-8
FApC113,Dihomo-gamma-Linolenoyl Ethanolamide,C22 H39 N O2,349.306,1.19,150314-34-4
FApC114,GMP,C10 H14 N5 O8 P,363.057,10.47,85-32-5
FApC115,Riboflavin,C17 H20 N4 O6,376.137,2.28,83-88-5
FApC116,Succinoadenosine,C14 H17 N5 O8,383.109,7.79,4542-23-8
FApC117,SAH,C14 H20 N6 O5 S,384.122,8.81,979-92-0
FApC118,SAM,C15 H22 N6 O5 S,398.142,20.28,29908-03-0
FApC119,Palmitoylcarnitine,C23 H45 N O4,399.334,9.06,2364-67-2
FApC120,CDP,C9 H15 N3 O11 P2,403.018,11.18,63-38-7
FApC121,Oleoylcarnitine,C25 H47 N O4,425.35,8.96,38677-66-6
FApC122,ADP,C10 H15 N5 O10 P2,427.031,10.85,58-64-0
FApC123,GDP,C10 H15 N5 O11 P2,443.024,10.87,146-91-8
FApC124,5-Methyl-THF,C20 H25 N7 O6,459.185,8.64,134-35-0
FApC125,LysoPE(18:0),C23 H48 N O7 P,481.315,6.03,00-00-012
FApC126,CTP,C9 H16 N3 O14 P3,482.984,11.38,65-47-4
FApC127,UTP,C9 H15 N2 O15 P3,483.969,10.48,63-39-8
FApC128,CDP-Choline,C14 H26 N4 O11 P2,488.106,12.75,987-78-0
FApC129,LysoPC(16:1),C24 H48 N O7 P,493.316,9.27,00-00-014
FApC130,LysoPC(16:0),C24 H50 N O7 P,495.332,9.22,00-00-015
FApC131,ATP,C10 H16 N5 O13 P3,506.998,11.03,56-65-5
FApC132,LysoPC(18:2),C26 H50 N O7 P,519.331,9.15,00-00-017
FApC133,LysoPC(18:1),C26 H52 N O7 P,521.349,9.08,00-00-018
FApC134,GTP,C10 H16 N5 O14 P3,522.993,11.03,86-01-1
FApC135,LysoPC(18:0),C26 H54 N O7 P,523.364,9.04,00-00-019
FApC136,PAF C18:1,C28 H56 N O7 P,549.38,8.95,86288-90-1
FApC137,PAF C18,C28 H58 N O7 P,551.392,8.93,79549-26-1
FApC138,GDP-Glucose,C16 H25 N5 O16 P2,605.074,7.42,5750-57-2
FApC139,UDP-GalNAc,C17 H27 N3 O17 P2,607.081,6.76,7277-98-7
FApC140,UDP-GlcNAc,C17 H27 N3 O17 P2,607.082,6.54,528-04-1
FApC141,GSSG,C20 H32 N6 O12 S2,612.152,10.71,27025-41-8
FApC142,NAD,C21 H27 N7 O14 P2,663.109,9.46,53-84-9
FApC143,NADH,C21 H29 N7 O14 P2,665.124,6.95,59-68-4
FApC144,Sphingomyelin,C41 H83 N2 O6 P,730.598,8.44,85187-10-6
FApC145,NADP,C21 H28 N7 O17 P3,743.069,12.22,53-59-8
FApC146,PC(34:2),C42 H80 N O8 P,757.562,7.42,8002-43-5
FApC147,CoA,C21 H36 N7 O16 P3 S,767.112,10,85-61-0
FApC148,Arachidonoyl-PAF,C44 H82 N O7 P,767.578,7.33,86288-11-1
FApC149,PC(35:2),C43 H82 N O8 P,771.582,7.4,00-00-020
FApC150,PC(36:4),C44 H80 N O8 P,781.561,7.22,00-00-021
FApC151,PC(36:2),C44 H84 N O8 P,785.593,7.37,00-00-022
