compound_short,compound_full,formula,mass,rt,cas_id
FAnC49,Hypoxanthine,C5 H4 N4 O,136.039,2.63,68-94-0
FAnC50,Phenylacetic Acid,C8 H8 O2,136.053,1.35,103-82-2
FAnC51,Urocanic Acid,C6 H6 N2 O2,138.042,2.58,104-98-3
FAnC52,O-Phosphoethanolamine,C2 H8 N O4 P,141.022,14.89,1071-23-4 
FAnC53,Caprylic Acid,C8 H16 O2,144.113,1.3,124-07-2
FAnC54,2-Oxoglutaric Acid,C5 H6 O5,146.018,6.22,328-50-7
FAnC55,Glutamine,C5 H10 N2 O3,146.074,8.84,56-85-9
FAnC56,Lysine,C6 H14 N2 O2,146.106,23.01,56-87-1
FAnC57,N-Acetylserine,C5 H9 N O4,147.054,3.25,16354-58-8
FAnC58,Glutamic Acid,C5 H9 N O4,147.061,8.69,56-86-0
FAnC59,3-Hydroxyglutaric Acid,C5 H8 O5,148.04,7.48,638-18-6
FAnC60,Mevalonic Acid,C6 H12 O4,148.071,2.74,17817-88-8
FAnC61,Methionine,C5 H11 N O2 S,149.052,6.66,63-68-3
FAnC62,D-Ribose,C5 H10 O5,150.054,3.33,50-69-1
FAnC63,Guanine,C5 H5 N5 O,151.054,4.99,73-40-5
FAnC64,2-Phenylglycine,C8 H9 N O2,151.071,6.65,02835-06-5
FAnC65,Xanthine,C5 H4 N4 O2,152.035,1.9,69-89-6
FAnC66,Ribitol,C5 H12 O5,152.068,2.82,488-81-3
FAnC67,3-Sulfinoalanine,C3 H7 N O4 S,153.011,6.91,1115-65-7
FAnC68,3-Hydroxyanthranilic Acid,C7 H7 N O3,153.037,1.91,548-93-6
FAnC69,Histidine,C6 H9 N3 O2,155.073,10.74,71-00-1
FAnC70,Orotic Acid,C5 H4 N2 O4,156.018,2.34,65-86-1
FAnC71,Dihydroorotic Acid,C5 H6 N2 O4,158.035,2.22,5988-19-2
FAnC72,Allantoin,C4 H6 N4 O3,158.047,1.81,97-59-6
FAnC73,N-Methylglutamic Acid,C6 H11 N O4,161.071,6.98,35989-16-3
FAnC74,3-Hydroxymethylglutaric Acid,C6 H10 O5,162.061,7,503-49-1
FAnC75,5-Hydroxylysine,C6 H14 N2 O3,162.1,23,28902-93-4
FAnC76,Pterin,C6 H5 N5 O,163.056,2.13,2236-60-4
FAnC77,Phenylalanine,C9 H11 N O2,165.077,6.2,63-91-2
FAnC78,6-Methylthiopurine,C6 H6 N4 S,166.027,1.69,50-66-8
FAnC79,Phosphoenolpyruvate,C3 H5 O6 P,167.986,10.63,138-08-9
FAnC80,Cysteic Acid,C3 H7 N O5 S,169.004,4.12,498-40-8
FAnC81,Pyridoxine,C8 H11 N O3,169.064,6.36,65-23-6
FAnC82,DHAP,C3 H7 O6 P,170.002,10.44,57-04-5
FAnC83,G3P,C3 H7 O6 P,170.002,10.73,591-57-1
FAnC84,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.017,10.47,17989-41-2
FAnC85,trans-Aconitic Acid,C6 H6 O6,174.016,9.13,4023-65-8
FAnC86,cis-Aconitic Acid,C6 H6 O6,174.018,7.31,499-12-7
FAnC87,Arginine,C6 H14 N4 O2,174.112,23.01,74-79-3
FAnC88,N-Acetylaspartic Acid,C6 H9 N O5,175.053,7.93,997-55-7
FAnC89,Citrulline,C6 H13 N3 O3,175.091,9.59,372-75-8
FAnC90,Ascorbic Acid,C6 H8 O6,176.032,2.17,50-81-7
FAnC91,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.047,8.03,13184-27-5
FAnC92,myo-Inositol,C6 H12 O6,180.065,5.25,87-89-8
FAnC93,D-Glucose,C6 H12 O6,180.065,3.03,50-99-7
FAnC94,D-Fructose,C6 H12 O6,180.065,4.02,57-48-7
FAnC95,Tyrosine,C9 H11 N O3,181.065,6.37,60-18-4
FAnC96,4-Hydroxyphenyllactic Acid,C9 H10 O4,182.057,1.54,6482-98-0
FAnC97,D-Galactitol,C6 H14 O6,182.082,3.69,608-66-2
FAnC98,2-Phosphoglyceric Acid,C3 H7 O7 P,185.997,10.77,23295-92-3
FAnC99,N-alpha-Acetylglutamine,C7 H12 N2 O4,188.081,5.75,2490-97-3
FAnC100,N-Acetylglutamic Acid,C7 H11 N O5,189.068,8,1188-37-0
FAnC101,Citric Acid,C6 H8 O7,192.034,9.12,77-92-9
FAnC102,Phenylacetylglycine,C10 H11 N O3,193.068,1.89,500-98-1
FAnC103,Glucuronic Acid,C6 H10 O7,194.043,5.26,06556-12-3
FAnC104,11-Dodecenoic acid,C12 H22 O2,198.16,1.16,65423-25-8
FAnC105,Lauric Acid,C12 H24 O2,200.178,1.17,143-07-7
FAnC106,Cysteine-S-sulfonic Acid,C3 H7 N O5 S2,200.98,2.34,1637-71-4
FAnC107,Tryptophan,C11 H12 N2 O2,204.092,5.98,73-22-3
FAnC108,Lipoic Acid,C8 H14 O2 S2,206.036,2.88,1077-28-7
FAnC109,Homocitric Acid,C7 H10 O7,206.041,7.64,3562-74-1
FAnC110,Phosphocreatine,C4 H10 N3 O5 P,211.04,11.53,67-07-2
FAnC111,Tridecanoic acid,C13 H26 O2,214.192,1.17,638-53-9
FAnC112,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.06,10.44,1190-00-7
FAnC113,O-Succinylhomoserine,C8 H13 N O6,219.071,8.21,1492-23-5
FAnC114,Pantothenic Acid,C9 H17 N O5,219.113,4.22,137-08-6
FAnC115,GlcNAc,C8 H15 N O6,221.085,3.7,7512-17-6
FAnC116,Cystathionine,C7 H14 N2 O4 S,222.072,11.72,56-88-2
FAnC117,Myristoleic Acid,C14 H26 O2,226.186,1.15,544-64-9
FAnC118,Deoxycytidine,C9 H13 N3 O4,227.083,6.67,951-77-9
FAnC119,10Z-Pentadecenoic Acid,C15 H28 O2,240.205,1.13,84743-29-3
FAnC120,Thymidine,C10 H14 N2 O5,242.099,3.7,50-89-5
FAnC121,Pentadecanoic Acid,C15 H30 O2,242.224,1.15,1002-84-2
FAnC122,Cytidine,C9 H13 N3 O5,243.086,4.65,65-46-3
FAnC123,Uridine,C9 H12 N2 O6,244.072,1.75,58-96-8
FAnC124,Palmitoleic Acid,C16 H30 O2,254.225,1.16,373-49-9
FAnC125,Palmitic Acid,C16 H32 O2,256.243,1.16,57-10-3
FAnC126,Ribothymidine,C10 H14 N2 O6,258.088,5.13,1463-10-1
FAnC127,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.046,8.08,26289-09-8
FAnC128,D-Fructose 6-phosphate,C6 H13 O9 P,260.035,10.44,643-13-0
FAnC129,D-Glucose 6-phosphate,C6 H13 O9 P,260.035,10.71,56-73-5
FAnC130,Thiamine,C12 H16 N4 O S,264.106,23.26,59-43-8
FAnC131,Adenosine,C10 H13 N5 O4,267.094,3.4,58-61-7
FAnC132,Homocystine,C8 H16 N2 O4 S2,268.058,10.02,462-10-2
FAnC133,Inosine,C10 H12 N4 O5,268.084,2.66,58-63-9
FAnC134,10Z-Heptadecenoic Acid,C17 H32 O2,268.24,1.16,29743-97-3
FAnC135,Estradiol-17alpha,C18 H24 O2,272.179,1.03,57-91-0
FAnC136,Myoinositol-methyl-phosphate,C7 H15 O9 P,274.05,6.63,00-00-004
FAnC137,Linoleic Acid,C18 H32 O2,280.241,1.16,60-33-3
FAnC138,1-Methyladenosine,C11 H15 N5 O4,281.12,2.46,15763-06-1
FAnC139,Oleic Acid,C18 H34 O2,282.258,1.15,112-80-1
FAnC140,Guanosine,C10 H13 N5 O5,283.094,3.09,118-00-3
FAnC141,Xanthosine,C10 H12 N4 O6,284.078,2.57,146-80-5
FAnC142,Stearic Acid,C18 H36 O2,284.275,1.15,57-11-4
FAnC143,Orotidine,C10 H12 N2 O8,288.062,2.34,2149-82-8
FAnC144,Ophthalmic Acid,C11 H19 N3 O6,289.13,8.84,495-27-2
FAnC145,L-Arginosuccinic Acid,C10 H18 N4 O6,290.121,11.16,2387-71-5
FAnC146,13S-HOTrE,C18 H30 O3,294.215,1.17,74784-20-6
FAnC147,Ricinoleic Acid,C18 H34 O3,298.257,1.19,141-22-0
FAnC148,GlcNAc-1P,C8 H16 N O9 P,301.054,10.06,28446-21-1
FAnC149,1-Monomyristin,C17 H34 O4,302.246,1.16,75685-84-6
FAnC150,Arachidonic Acid,C20 H32 O2,304.242,1.15,506-32-1
FAnC151,"2,3-cyclic CMP",C9 H12 N3 O7 P,305.042,5.22,633-90-9
FAnC152,Dihomo-gamma-linolenic Acid,C20 H34 O2,306.256,1.14,1783-84-2
FAnC153,Glutathione,C10 H17 N3 O6 S,307.089,8.47,70-18-8
FAnC154,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",C20 H36 O2,308.263,1.14,2091-39-6
FAnC155,Neu5Ac,C11 H19 N O9,309.109,5.23,131-48-6
FAnC156,11Z-Eicosenoic Acid,C20 H38 O2,310.286,1.13, 5561-99-9
FAnC157,CMP,C9 H14 N3 O8 P,323.056,11,63-37-6
FAnC158,UMP,C9 H13 N2 O9 P,324.039,9.69,58-97-9
FAnC159,12Z-Heneicosenoic Acid,C21 H40 O2,324.298,1.11,3515-84-2
FAnC160,Oleoyl ethanolamide,C20 H39 N O2,325.302,1.11,111-58-0
FAnC161,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.245,1.14,6217-54-5 
FAnC162,Adrenic Acid (22:4 n-6),C22 H36 O2,332.272,1.13,28874-58-0
FAnC163,3-Phosphoglyceroinositol,C9 H19 O11 P,334.068,6.92,00-00-006
FAnC164,LTB4,C20 H32 O4,336.239,1.22,71160-24-2
FAnC165,"D-Fructose 1,6-bisphosphate",C6 H14 O12 P2,340,13.18,488-69-7
FAnC166,AMP,C10 H14 N5 O7 P,347.068,10.47,61-19-8
FAnC167,Archidonoyl glycine,C22 H35 N O3,361.269,1.21,179113-91-8
FAnC168,GMP,C10 H14 N5 O8 P,363.062,10.44,85-32-5
FAnC169,5a-Allotetrahydrocortisol,C21 H34 O5,366.233,1.13,302-91-0
FAnC170,Lignoceric Acid,C24 H48 O2,368.361,1.11,557-59-5
FAnC171,Adrenoyl ethanolamide,C24 H41 N O2,375.307,1.13,150314-35-5
FAnC172,Lithocholic Acid,C24 H40 O3,376.301,1.12,434-13-9
FAnC173,S-Lactoylglutathione,C13 H21 N3 O8 S,379.103,8.05,54398-03-7
FAnC174,Succinoadenosine,C14 H17 N5 O8,383.109,7.8,4542-23-8
FAnC175,SAH,C14 H20 N6 O5 S,384.124,8.81,979-92-0
FAnC176,Palmitoyl dopamine,C24 H41 N O3,391.301,1.18,136181-87-8
FAnC177,dTDP,C10 H16 N2 O11 P2,402.015,9.7,491-97-4
FAnC178,CDP,C9 H15 N3 O11 P2,403.021,11.17,63-38-7
FAnC179,UDP,C9 H14 N2 O12 P2,404.006,10.14,58-98-0
FAnC180,Oleoyl dopamine,C26 H43 N O3,417.315,1.1,105955-11-1
FAnC181,ADP,C10 H15 N5 O10 P2,427.034,10.85,58-64-0
FAnC182,Folic Acid,C19 H19 N7 O6,441.138,8.27,59-30-3
FAnC183,GDP,C10 H15 N5 O11 P2,443.028,10.86,146-91-8
FAnC184,5-Methyl-DHF,C20 H23 N7 O6,457.17,9.71,59904-24-4
FAnC185,Cholesterol Sulfate,C27 H46 O4 S,466.312,0.67,1256-86-6
FAnC186,10-Formyl-DHF,C20 H21 N7 O7,471.149,8.66,28459-40-7
FAnC187,LysoPE(18:2),C23 H44 N O7 P,477.285,6.1,00-00-011
FAnC188,LysoPE(18:0),C23 H48 N O7 P,481.316,6.03,00-00-012
FAnC189,dTTP,C10 H17 N2 O14 P3,481.992,9.71,365-08-2
FAnC190,CTP,C9 H16 N3 O14 P3,482.986,11.37,65-47-4
FAnC191,UTP,C9 H15 N2 O15 P3,483.972,10.41,63-39-8
FAnC192,CDP-Choline,C14 H26 N4 O11 P2,488.106,12.77,987-78-0
FAnC193,dATP,C10 H16 N5 O12 P3,491.002,11.3,1927-31-7
FAnC194,ATP,C10 H16 N5 O13 P3,507,11.03,56-65-5
FAnC195,GTP,C10 H16 N5 O14 P3,522.994,11.02,86-01-1
FAnC196,dTDP-Glucose,C16 H26 N2 O16 P2,564.077,6.55,2196-62-5
FAnC197,UDP-Glucose,C15 H24 N2 O17 P2,566.053,6.44,133-89-1
FAnC198,UDP-Glucuronic acid,C15 H22 N2 O18 P2,580.037,7.16,2616-64-0
FAnC199,ADP-Glucose,C16 H25 N5 O15 P2,589.08,7.45,102129-65-7
FAnC200,GDP-Glucose,C16 H25 N5 O16 P2,605.078,7.41,5750-57-2
FAnC201,UDP-GalNAc,C17 H27 N3 O17 P2,607.086,6.75,7277-98-7
FAnC202,UDP-GlcNAc,C17 H27 N3 O17 P2,607.091,6.54,528-04-1
FAnC203,GSSG,C20 H32 N6 O12 S2,612.152,10.72,27025-41-8
FAnC204,NAD,C21 H27 N7 O14 P2,663.111,9.48,53-84-9
FAnC205,NADH,C21 H29 N7 O14 P2,665.125,6.94,59-68-4
FAnC206,NADP,C21 H28 N7 O17 P3,743.073,12.23,53-59-8
FAnC207,CoA,C21 H36 N7 O16 P3 S,767.114,9.99,85-61-0
FAnC208,PC(36:4),C44 H80 N O8 P,781.557,7.57,00-00-021
FAnC209,PC(36:4),C44 H80 N O8 P,781.557,7.57,00-00-021
FAnC210,FAD,C27 H33 N9 O15 P2,785.152,6.8,146-14-5
FAnC211,Acetyl-CoA,C23 H38 N7 O17 P3 S,809.121,9.82,72-89-9
