compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,vpa_div_cntrl,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPApC39,-1.139689644378435,22.109098807628616,-5.4977244908108975,1.6424832293279273e-5,0.002332326185645657,2.141115584628526,0.4538572018829271,down,Hypoxanthine,C5 H4 N4 O,136.039,2.66,68-94-0
VPApC119,-1.1548743149407827,13.656410921213455,-4.524756391217737,1.707221640130153e-4,0.024242547289848173,-0.2160164698646696,0.44910531000392834,down,CMP,C9 H14 N3 O8 P,323.052,10.6,63-37-6
VPApC14,-1.1797649038876585,18.202600196755174,-4.485573268028773,1.8778669115353028e-4,0.0266657101438013,-0.31129499818664197,0.44142342497191106,down,Uracil,C4 H4 N2 O2,112.027,1.76,66-22-8
VPApC134,-1.18719616058379,18.770174168608687,-4.472159046486636,1.9401375002129086e-4,0.027549952503023303,-0.3439066541256697,0.4391555188936667,down,ADP,C10 H15 N5 O10 P2,427.03,10.45,58-64-0
VPApC107,-1.222753505404058,20.501705682549314,-5.490634537122966,1.670324375952728e-5,0.0023718606138528734,2.124104179950498,0.4284641772493369,down,Inosine,C10 H12 N4 O5,268.082,2.67,58-63-9
VPApC85,-1.2371429111082008,16.48158916255931,-12.431029694899799,2.2750584120075926e-11,3.2305829450507815e-9,15.939995109817172,0.42421192700336824,down,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.056,10.1,1190-00-7
VPApC60,-1.2939727804794263,17.81609286868108,-17.4798481968806,2.6030060281684905e-14,3.696268559999257e-12,22.85183924322703,0.4078264411130081,down,Fucose,C6 H12 O5,164.069,3.64,2438-80-4
VPApC95,-1.3175720280187293,16.639830870709154,-4.750229899939855,9.87607042059333e-5,0.014024019997242529,0.33248013875785176,0.40120958337365237,down,Uridine,C9 H12 N2 O6,244.07,1.75,58-96-8
VPApC74,-1.3884656801455002,19.956604733757914,-17.691424421788213,2.035808226795044e-14,2.8908476820489624e-12,23.101182585955048,0.381970815886436,down,D-Galactitol,C6 H14 O6,182.079,3.63,608-66-2
VPApC120,-1.3985219974194347,15.662256982948756,-6.116542861504519,3.862809143236264e-6,5.485188983395495e-4,3.6095820305997695,0.37931754334359347,down,UMP,C9 H13 N2 O9 P,324.036,9.42,58-97-9
VPApC121,-1.528586992503987,14.941517075913566,-7.831316981761725,8.928985921265435e-8,1.2679160008196919e-5,7.454937554868366,0.3466166848957825,down,NMN,C11 H15 N2 O8 P,334.057,14.05,1094-61-7
VPApC100,-2.7202071278612574,22.59151950581226,-22.216148925788772,1.826427408434623e-16,2.5935269199771648e-14,27.85226616994842,0.1517525718544547,down,Glycerol-3-phosphocholine,C8 H20 N O6 P,257.103,13.87,28319-77-9
VPApC17,0.9209297961009256,19.73108361233608,5.322483083188466,2.49175749191345e-5,0.0035382956385170993,1.7196318476247487,1.8933351274493744,up,Proline,C5 H9 N O2,115.063,9.09,147-85-3
VPApC37,0.6644629735192906,20.29830972199365,9.358816925011128,4.317852164980302e-9,6.131350074272029e-7,10.559606960718888,1.5849781736734077,up,Aspartic Acid,C4 H7 N O4,133.037,8.3,56-84-8
VPApC52,0.616788627587185,16.15650133924498,7.051597533522303,4.7219813782937445e-7,6.705213557177117e-5,5.751776215875191,1.533457972924881,up,3-Sulfinoalanine,C3 H7 N O4 S,153.01,6.98,1115-65-7
VPApC172,0.5710055762653857,23.062878629128196,8.741044344306761,1.417094580054693e-8,2.012274303677664e-6,9.340813976096484,1.4855586625904151,up,PC(36:4),C44 H80 N O8 P,781.562,7.46,00-00-021
VPApC159,0.5013419887115037,13.477052959812536,4.569425062104467,1.531587575507037e-4,0.021748543572199925,-0.10737134370669121,1.4155296697598014,up,ADP-Glucose,C16 H25 N5 O15 P2,589.082,7.49,102129-65-7
VPApC41,0.4324963780014522,18.12494735255974,4.481327486318155,1.897356402515312e-4,0.02694246091571743,-0.32161742880669486,1.3495667904835322,up,O-Phosphoethanolamine,C2 H8 N O4 P,141.019,14.03,1071-23-4
VPApC56,0.401878244809145,18.927887997535542,4.478345540126049,1.9111656752195718e-4,0.02713855258811792,-0.32886697684679067,1.3212268969771304,up,Methyl-L-Lysine,C7 H16 N2 O2,160.121,23.5,1188-07-4
VPApC90,0.36575912447570413,17.869507769158425,4.582035370404094,1.4853738324499332e-4,0.02109230842078905,-0.0766960375585013,1.2885594718117896,up,Cystathionine,C7 H14 N2 O4 S,222.068,11.32,56-88-2
VPApC105,0.3173184055358085,18.92223582569102,4.905557178709889,6.782156732243817e-5,0.00963066255978622,0.7100994324532657,1.2460123825250176,up,Thiamine,C12 H16 N4 O S,264.105,23.4,59-43-8
VPApC171,0.27876988424725163,20.20144366846092,5.131790142301072,3.933086679538361e-5,0.005584983084944472,1.2588707113393962,1.213160040832996,up,PC(35:2),C43 H82 N O8 P,771.577,7.72,00-00-020
