compound_short,logFC,AveExpr,t,P.Value,adj.P.Val,B,vpa_div_cntrl,change_in_vpa,compound_full,formula,mass,rt,cas_id
VPAnC200,0.6529992416587176,13.808171728197548,6.926387735993,9.051722508452201e-7,1.620258329012944e-4,5.53188098912512,1.5724337577430294,up,ADP-Glucose,C16 H25 N5 O15 P2,589.082,7.49,102129-65-7
VPAnC157,0.6122632739129735,14.476200748929468,4.396985876421044,2.6778955787760153e-4,0.047934330860090676,-0.20291192099318867,1.5286554559335654,up,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",C20 H36 O2,308.269,1.18,2091-39-6
VPAnC189,0.572746098259037,17.13855629837725,4.499392382334111,2.1044684083016703e-4,0.0376699845085999,0.037311790242864795,1.4873519784269527,up,CTP,C9 H16 N3 O14 P3,482.982,10.8,65-47-4
VPAnC67,0.5685052927179498,17.30032761363733,6.280710257217729,3.6152499320271427e-6,6.471297378328586e-4,4.1282346788371465,1.4829863232810274,up,3-Sulfinoalanine,C3 H7 N O4 S,153.01,6.98,1115-65-7
VPAnC44,0.534441278861982,22.56005761724749,7.269004122848177,4.439417532939121e-7,7.946557383961027e-5,6.254823717724196,1.4483811227038765,up,Aspartic Acid,C4 H7 N O4,133.038,8.25,56-84-8
VPAnC73,0.5057392949767217,14.784787653117265,5.509789102576202,2.0209981853756294e-5,0.003617586751822377,2.388854826743567,1.4198507584567828,up,2-Aminoadipic Acid,C6 H11 N O4,161.069,9.18,542-32-5
VPAnC124,0.4955053096835825,16.853097997731183,6.836062671636366,1.0950540805960912e-6,1.960146804267003e-4,5.338711526634033,1.4098144618054218,up,Cystathionine,C7 H14 N2 O4 S,222.067,11.25,56-88-2
VPAnC17,0.3404452312527973,21.89254758835304,5.055833163079333,5.7348943123901716e-5,0.010265460819178408,1.3390725959280028,1.266147280391543,up,Serine,C3 H7 N O3,105.043,8.1,56-45-1
VPAnC30,0.3085024485999821,21.59556690329015,5.851801097555082,9.338676072923698e-6,0.001671623017053342,3.168203389040541,1.238421521832359,up,Threonine,C4 H9 N O3,119.059,7.72,72-19-5
VPAnC2,0.29317421536855814,18.36167698591939,4.755272801700515,1.1547711848367134e-4,0.02067040420857717,0.6371483269315821,1.2253332904102252,up,Glycine,C2 H5 N O2,75.032,8.12,56-40-6
