compound_short,compound_full,Formula,Mass,RT,CAS_ID
Lrp6CD2n50,Lysine,C6 H14 N2 O2,146.104,23.63,56-87-1
Lrp6CD2n51,Glutamic Acid,C5 H9 N O4,147.052,8.74,56-86-0
Lrp6CD2n52,N-Acetylserine,C5 H9 N O4,147.053,3.06,16354-58-8
Lrp6CD2n53,Methionine,C5 H11 N O2 S,149.05,6.76,63-68-3
Lrp6CD2n54,Guanine,C5 H5 N5 O,151.046,6.76,73-40-5
Lrp6CD2n55,Xanthine,C5 H4 N4 O2,152.033,2.01,69-89-6
Lrp6CD2n56,3-Sulfinoalanine,C3 H7 N O4 S,153.009,7.11,1115-65-7
Lrp6CD2n57,Histidine,C6 H9 N3 O2,155.068,10.84,71-00-1
Lrp6CD2n58,Orotic Acid,C5 H4 N2 O4,156.016,1.99,65-86-1
Lrp6CD2n59,Dihydroorotic Acid,C5 H6 N2 O4,158.032,2.45,5988-19-2
Lrp6CD2n60,Allantoin,C4 H6 N4 O3,158.043,1.88,97-59-6
Lrp6CD2n61,2-Oxoadipic Acid,C6 H8 O5,160.032,6.42,3184-35-8
Lrp6CD2n62,2-Aminoadipic Acid,C6 H11 N O4,161.067,9.47,542-32-5
Lrp6CD2n63,Phenylalanine,C9 H11 N O2,165.077,6.29,63-91-2
Lrp6CD2n64,Quinolinic Acid,C7 H5 N O4,167.021,8,89-00-9
Lrp6CD2n65,Phosphoenolpyruvate,C3 H5 O6 P,167.981,10.52,138-08-9
Lrp6CD2n66,Uric Acid,C5 H4 N4 O3,168.027,3.02,69-93-2
Lrp6CD2n67,D-Glyceraldehyde 3-phosphate (G3P),C3 H7 O6 P,169.997,10.66,591-57-1
Lrp6CD2n68,Glycerol 1-Phosphate / Glycerol 3-Phosphate,C3 H9 O6 P,172.012,10.38,17989-41-2
Lrp6CD2n69,Quinaldic Acid,C10 H7 N O2,173.054,2.25,93-10-7
Lrp6CD2n70,cis-Aconitic Acid,C6 H6 O6,174.01,7.61,499-12-7
Lrp6CD2n71,Dehydroascorbic Acid,C6 H6 O6,174.015,1.4,490-83-5
Lrp6CD2n72,Arginine,C6 H14 N4 O2,174.11,23.71,74-79-3
Lrp6CD2n73,N-Acetylaspartic Acid,C6 H9 N O5,175.047,8.05,997-55-7
Lrp6CD2n74,Citrulline,C6 H13 N3 O3,175.09,9.68,372-75-8
Lrp6CD2n75,Ascorbic Acid,C6 H8 O6,176.032,2.47,50-81-7
Lrp6CD2n76,N-Carbamoyl-L-aspartic Acid,C5 H8 N2 O5,176.044,8.11,13184-27-5
Lrp6CD2n77,D-Glucose,C6 H12 O6,180.062,2.61,50-99-7
Lrp6CD2n78,D-Fructose,C6 H12 O6,180.062,3.33,57-48-7
Lrp6CD2n79,Tyrosine,C9 H11 N O3,181.072,6.42,60-18-4
Lrp6CD2n80,4-Hydroxyphenyllactic Acid,C9 H10 O4,182.056,1.64,6482-98-0
Lrp6CD2n81,2-Phosphoglyceric Acid,C3 H7 O7 P,185.992,10.66,23295-92-3
Lrp6CD2n82,Kynurenic Acid,C10 H7 N O3,189.046,0.85,492-27-3
Lrp6CD2n83,N-Acetylglutamic Acid,C7 H11 N O5,189.063,8.13,1188-37-0
Lrp6CD2n84,5-Hydroxyindoleacetic Acid (5HIAA),C10 H9 N O3,191.055,2.63,54-16-0
Lrp6CD2n85,Citric Acid,C6 H8 O7,192.026,9.17,77-92-9
Lrp6CD2n86,Glucuronic Acid,C6 H10 O7,194.041,5.79,06556-12-3
Lrp6CD2n87,Tryptophan,C11 H12 N2 O2,204.089,6.01,73-22-3
Lrp6CD2n88,Kynurenine,C10 H12 N2 O3,208.08,6.01,2922-83-0
Lrp6CD2n89,Phosphocreatine,C4 H10 N3 O5 P,211.035,11.39,67-07-2
Lrp6CD2n90,Indoxyl Sulfate,C8 H7 N O4 S,213.012,0.75,2642-37-7
Lrp6CD2n91,Glycerylphosphorylethanolamine,C5 H14 N O6 P,215.055,10.42,1190-00-7
Lrp6CD2n92,O-Succinylhomoserine,C8 H13 N O6,219.073,7.4,1492-23-5
Lrp6CD2n93,Pantothenic Acid,C9 H17 N O5,219.109,4.73,137-08-6
Lrp6CD2n94,5-Hydroxytryptophan,C11 H12 N2 O3,220.077,7.41,04350-09-8
Lrp6CD2n95,3-Hydroxykynurenine,C10 H12 N2 O4,224.081,4.76,2147-61-7
Lrp6CD2n96,Nitrotyrosine,C9 H10 N2 O5,226.06,5.19,621-44-3
Lrp6CD2n97,Deoxycytidine,C9 H13 N3 O4,227.093,4.72,951-77-9
Lrp6CD2n98,Myristic Acid,C14 H28 O2,228.207,1.19,544-63-8
Lrp6CD2n99,Cytidine,C9 H13 N3 O5,243.084,4.58,65-46-3
Lrp6CD2n100,Uridine,C9 H12 N2 O6,244.068,1.81,58-96-8
Lrp6CD2n101,Palmitic Acid,C16 H32 O2,256.24,1.18,57-10-3
Lrp6CD2n102,Glycerol 1-phosphoserine,C6 H14 N O8 P,259.046,8.18,26289-09-8
Lrp6CD2n103,D-Fructose 6-phosphate,C6 H13 O9 P,260.021,9.63,643-13-0
Lrp6CD2n104,D-Glucose 6-phosphate,C6 H13 O9 P,260.029,10.65,56-73-5
Lrp6CD2n105,Adenosine,C10 H13 N5 O4,267.096,3.51,58-61-7
Lrp6CD2n106,Inosine,C10 H12 N4 O5,268.08,2.89,58-63-9
Lrp6CD2n107,Heptadecanoic Acid,C17 H34 O2,270.254,1.17,506-12-7
Lrp6CD2n108,Estradiol-17alpha,C18 H24 O2,272.178,1.03,57-91-0
Lrp6CD2n109,alpha-Linolenic Acid (18:3 n-3),C18 H30 O2,278.219,1.17,463-40-1
Lrp6CD2n110,Linoleic Acid,C18 H32 O2,280.239,1.17,60-33-3
Lrp6CD2n111,Oleic Acid,C18 H34 O2,282.255,1.16,112-80-1
Lrp6CD2n112,Guanosine,C10 H13 N5 O5,283.09,3.39,118-00-3
Lrp6CD2n113,Orotidine,C10 H12 N2 O8,288.06,1.99,2149-82-8
Lrp6CD2n114,Ophthalmic Acid,C11 H19 N3 O6,289.126,8.93,495-27-2
Lrp6CD2n115,Leukotoxin A,C18 H32 O3,296.229,1.2,6814-52-4
Lrp6CD2n116,Retinoic Acid,C20 H28 O2,300.206,1.16,302-79-4
Lrp6CD2n117,Eicosapentaenoic Acid (20:5 n-3),C20 H30 O2,302.225,1.16,10417-94-4
Lrp6CD2n118,Arachidonic Acid,C20 H32 O2,304.239,1.16,506-32-1
Lrp6CD2n119,Dihomo-gamma-linolenic Acid,C20 H34 O2,306.251,1.16,1783-84-2
Lrp6CD2n120,Glutathione,C10 H17 N3 O6 S,307.082,8.5,70-18-8
Lrp6CD2n121,"11Z,14Z-Eicosadienoic Acid (20:2 n-6)",C20 H36 O2,308.266,1.15,2091-39-6
Lrp6CD2n122,N-Acetylneuraminic Acid,C11 H19 N O9,309.104,6.36,131-48-6
Lrp6CD2n123,11(Z)-Eicosenoic Acid,C20 H38 O2,310.285,1.15, 5561-99-9
Lrp6CD2n124,CMP,C9 H14 N3 O8 P,323.051,10.88,63-37-6
Lrp6CD2n125,UMP,C9 H13 N2 O9 P,324.035,9.57,58-97-9
Lrp6CD2n126,Docosahexaenoic Acid (22:6 n-3),C22 H32 O2,328.239,1.16,6217-54-5 
Lrp6CD2n127,Docosapentaenoic Acid,C22 H34 O2,330.254,1.16,24880-45-3
Lrp6CD2n128,Adrenic Acid (22:4 n-6),C22 H36 O2,332.269,1.15,28874-58-0
Lrp6CD2n129,3-Phosphoglyceroinositol,C9 H19 O11 P,334.065,7.11,00-00-006
Lrp6CD2n130,D12-Prostaglandin J2,C20 H30 O4,334.224,1.23,87893-54-7
Lrp6CD2n131,Docosatrienoic Acid (22:3 n-3),C22 H38 O2,334.281,1.14,28845-86-5
Lrp6CD2n132,"13Z,16Z-Docosadienoic Acid",C22 H40 O2,336.296,1.14,17735-98-7
Lrp6CD2n133,Brassidic Acid,C22 H42 O2,338.315,1.14,506-33-2
Lrp6CD2n134,"2,3-dinor Thromboxane B2",C18 H30 O6,342.203,0.77,63250-09-9
Lrp6CD2n135,AMP,C10 H14 N5 O7 P,347.062,10.41,61-19-8
Lrp6CD2n136,GMP,C10 H14 N5 O8 P,363.057,10.36,85-32-5
Lrp6CD2n137,Adrenoyl ethanolamide,C24 H41 N O2,375.304,1.16,150314-35-5
Lrp6CD2n138,Succinoadenosine,C14 H17 N5 O8,383.106,7.86,4542-23-8
Lrp6CD2n139,S-Adenosylhomocysteine (SAH),C14 H20 N6 O5 S,384.121,8.93,979-92-0
Lrp6CD2n140,Palmitoyl dopamine,C24 H41 N O3,391.3,1.15,136181-87-8
Lrp6CD2n141,Chenodeoxycholic acid,C24 H40 O4,392.29,1.85,474-25-9
Lrp6CD2n142,Cytidine diphosphate (CDP),C9 H15 N3 O11 P2,403.017,11.04,63-38-7
Lrp6CD2n143,Uridine diphosphate (UDP),C9 H14 N2 O12 P2,404.001,10.05,58-98-0
Lrp6CD2n144,Oleoyl dopamine,C26 H43 N O3,417.314,1.13,105955-11-1
Lrp6CD2n145,ADP,C10 H15 N5 O10 P2,427.029,10.74,58-64-0
Lrp6CD2n146,Arachidonyl dopamine,C28 H41 N O3,439.306,1.19,199875-69-9 
Lrp6CD2n147,GDP,C10 H15 N5 O11 P2,443.023,10.76,146-91-8
Lrp6CD2n148,Cholesterol Sulfate,C27 H46 O4 S,466.312,0.76,1256-86-6
Lrp6CD2n149,LysoPE(18:2),C23 H44 N O7 P,477.285,6.08,00-00-011
Lrp6CD2n150,LysoPE(18:0),C23 H48 N O7 P,481.315,6,00-00-012
Lrp6CD2n151,Deoxythymidine triphosphate (dTTP),C10 H17 N2 O14 P3,481.995,9.58,365-08-2
Lrp6CD2n152,UTP,C9 H15 N2 O15 P3,483.969,10.3,63-39-8
Lrp6CD2n153,CDP-Choline,C14 H26 N4 O11 P2,488.106,12.66,987-78-0
Lrp6CD2n154,ATP,C10 H16 N5 O13 P3,506.995,10.94,56-65-5
Lrp6CD2n155,ADP-Ribose,C15 H23 N5 O14 P2,559.071,7.28,20762-30-5
Lrp6CD2n156,dTDP-Glucose,C16 H26 N2 O16 P2,564.075,6.75,2196-62-5
Lrp6CD2n157,UDP-Glucose,C15 H24 N2 O17 P2,566.055,6.67,133-89-1
Lrp6CD2n158,UDP-Galactose,C15 H24 N2 O17 P2,566.055,6.85,2956-16-3
Lrp6CD2n159,UDP-Glucuronic acid,C15 H22 N2 O18 P2,580.033,7.49,2616-64-0
Lrp6CD2n160,ADP-Glucose,C16 H25 N5 O15 P2,589.082,7.65,102129-65-7
Lrp6CD2n161,GDP-Glucose,C16 H25 N5 O16 P2,605.076,7.58,5750-57-2
Lrp6CD2n162,UDP-N-Acetylgalactosamine,C17 H27 N3 O17 P2,607.081,6.91,7277-98-7
Lrp6CD2n163,UDP-N-Acetylglucosamine,C17 H27 N3 O17 P2,607.082,6.75,528-04-1
Lrp6CD2n164,GSSG,C20 H32 N6 O12 S2,612.151,10.64,27025-41-8
Lrp6CD2n165,NAD,C21 H27 N7 O14 P2,663.108,9.57,53-84-9
Lrp6CD2n166,NADH,C21 H29 N7 O14 P2,665.124,7.14,59-68-4
Lrp6CD2n167,Phosphatidylethanolamine(32:0),C37 H74 N O8 P,691.509,4.49,5681-36-7
Lrp6CD2n168,NADP,C21 H28 N7 O17 P3,743.076,12.04,53-59-8
Lrp6CD2n169,Flavin adenine dinucleotide (FAD),C27 H33 N9 O15 P2,785.157,6.98,146-14-5
