ENTRY,FORMULA,mol_weight,exact_mass,pathway,name,reaction,enzyme,brite,dblinks
C02356,C4H9NO2,103.1198,103.0633,Cysteine and methionine metabolism;Metabolic pathways,(S)-2-Aminobutanoate;(S)-2-Aminobutanoic acid;(S)-2-Aminobutyric acid,R10991 R10992 R10993,R10991 R10992 R10993,Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0110 Amino fatty acids;    C02356  (S)-2-Aminobutanoic acid,PubChem: 5403;ChEBI: 28340 35619 74359;ChEMBL: CHEMBL1230782;LIPIDMAPS: LMFA01100034;PDB-CCD: ABA UNK;3DMET: B01567;NIKKAJI: J7.749F
C05145,C4H9NO2,103.1198,103.0633,,3-Aminoisobutyric acid;3-Aminoisobutanoate;3-Amino-2-methylpropanoate,,,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C05145  3-Aminoisobutyric acid,CAS: 144-90-1;PubChem: 7563;ChEBI: 27389;ChEMBL: CHEMBL3544550;3DMET: B04984;NIKKAJI: J79.462G
C00334,C4H9NO2,103.1198,103.0633,"Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;beta-Alanine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Quorum sensing;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Synaptic vesicle cycle;Retrograde endocannabinoid signaling;GABAergic synapse;Taste transduction;Estrogen signaling pathway;Morphine addiction;Nicotine addiction",4-Aminobutanoate;4-Aminobutanoic acid;4-Aminobutyrate;4-Aminobutyric acid;gamma-Aminobutyric acid;GABA,R00261 R01648 R01986 R01987 R01989 R01990 R01991 R01992;R02549 R07419 R08461 R10102 R10178 R10179,R00261 R01648 R01986 R01987 R01989 R01990 R01991 R01992;R02549 R07419 R08461 R10102 R10178 R10179,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Other amino acids;    C00334  gamma-Aminobutyric acid;  Amines;   Biogenic amines;    C00334  gamma-Aminobutyric acid (GABA); Hormones and transmitters;  Neurotransmitters;   Amino acids;    C00334  GABA;Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0110 Amino fatty acids;    C00334  4-Aminobutanoic acid;Anatomical Therapeutic Chemical (ATC) classification [BR:br08303]; N NERVOUS SYSTEM;  N03 ANTIEPILEPTICS;   N03A ANTIEPILEPTICS;    N03AG Fatty acid derivatives;     N03AG03 Aminobutyric acid;      D00058  gamma-Aminobutyric acid (JAN) &lt;JP&gt;;Therapeutic category of drugs in Japan [BR:br08301]; 2  Agents affecting individual organs;  21  Cardiovascular agents;   219  Miscellaneous;    2190  Miscellaneous;     D00058  gamma-Aminobutyric acid (JAN);Target-based classification of drugs [BR:br08310]; G Protein-coupled receptors;  Metabotropic glutamate receptor family;   GABA (metabotropic);    GABBR;     D00058  gamma-Aminobutyric acid (JAN) &lt;JP&gt;; Ion channels;  Ligand-gated ion channels;   GABA (ionotropic);    GABR;     D00058  gamma-Aminobutyric acid (JAN) &lt;JP&gt;;Drug classes of therapeutic agents [br08360.html]; Neurological agents;  D00058,CAS: 56-12-2;PubChem: 3628;ChEBI: 16865 30566;ChEMBL: CHEMBL96;LIPIDMAPS: LMFA01100039;KNApSAcK: C00001337;PDB-CCD: ABU;3DMET: B00090;NIKKAJI: J1.375G
C05984,C4H8O3,104.1045,104.0473,Propanoate metabolism,2-Hydroxybutanoic acid;2-Hydroxybutyrate;2-Hydroxybutyric acid,R01000,R01000,Lipids [BR:br08002]; FA  Fatty acyls;  FA01 Fatty Acids and Conjugates;   FA0105 Hydroxy fatty acids;    C05984  2-Hydroxybutanoic acid,PubChem: 8262;ChEBI: 1148 50613;LIPIDMAPS: LMFA01050004 LMFA01050342;LipidBank: DFA0270;3DMET: B01942;NIKKAJI: J57.683B
C01089,C4H8O3,104.1045,104.0473,Synthesis and degradation of ketone bodies;Butanoate metabolism;Metabolic pathways;cAMP signaling pathway,(R)-3-Hydroxybutanoate;(R)-3-Hydroxybutanoic acid;(R)-3-Hydroxybutyric acid;D-beta-Hydroxybutyric acid,R00048 R01361,R00048 R01361,Compounds with biological roles [BR:br08001]; Organic acids;  Carboxylic acids;   Hydroxycarboxylic acids;    C01089  (R)-3-Hydroxybutanoate,CAS: 625-72-9;PubChem: 4324;ChEBI: 10983 17066;ChEMBL: CHEMBL1162484;LIPIDMAPS: LMFA01050005;LipidBank: DFA0271;PDB-CCD: 3HR;3DMET: B00239;NIKKAJI: J5.217E
C00065,C3H7NO3,105.0926,105.0426,"Glycine, serine and threonine metabolism;Monobactam biosynthesis;Cysteine and methionine metabolism;Cyanoamino acid metabolism;Sphingolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of secondary metabolites - unclassified;Biosynthesis of plant secondary metabolites;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Biosynthesis of amino acids;Vancomycin resistance;ABC transporters;Sphingolipid signaling pathway;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer",L-Serine;L-2-Amino-3-hydroxypropionic acid;L-3-Hydroxy-alanine;Serine,R00220 R00581 R00582 R00584 R00585 R00586 R00588 R00589;R00590 R00674 R00891 R00945 R01281 R01289 R01290 R01800;R02378 R02563 R02722 R02817 R03662 R03923 R04350 R04942;R06126 R07376 R07377 R07644 R08218 R09099 R10255 R10441;R10880 R10984 R10985 R10986 R11667,R00220 R00581 R00582 R00584 R00585 R00586 R00588 R00589;R00590 R00674 R00891 R00945 R01281 R01289 R01290 R01800;R02378 R02563 R02722 R02817 R03662 R03923 R04350 R04942;R06126 R07376 R07377 R07644 R08218 R09099 R10255 R10441;R10880 R10984 R10985 R10986 R11667,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00065  Serine (Ser);Drugs listed in the Japanese Pharmacopoeia [BR:br08311]; Chemicals;  D00016  L-Serine,CAS: 56-45-1;PubChem: 3365;ChEBI: 17115;ChEMBL: CHEMBL11298;KNApSAcK: C00001393;PDB-CCD: SER;3DMET: B01145;NIKKAJI: J1.195I
C00258,C3H6O4,106.0773,106.0266,"Pentose phosphate pathway;Glycine, serine and threonine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism",D-Glycerate;Glycerate;(R)-Glycerate;Glyceric acid,R01388 R01392 R01511 R01514 R01745 R01747 R01748 R01749;R01750 R01751 R01752 R08571 R08572 R09665 R09666 R10324;R10615 R11959 R12095,R01388 R01392 R01511 R01514 R01745 R01747 R01748 R01749;R01750 R01751 R01752 R08571 R08572 R09665 R09666 R10324;R10615 R11959 R12095,,CAS: 473-81-4;PubChem: 3557;ChEBI: 16659 32398;KNApSAcK: C00001185;PDB-CCD: DGY;3DMET: B00076;NIKKAJI: J5.966H
C00519,C2H7NO2S,109.1475,109.0197,Taurine and hypotaurine metabolism;Metabolic pathways,Hypotaurine;2-Aminoethanesulfinic acid,R01681 R02466 R02467,R01681 R02466 R02467,,CAS: 300-84-5;PubChem: 3802;ChEBI: 16668;ChEMBL: CHEMBL1256480;3DMET: B01277;NIKKAJI: J11.604A
C00106,C4H4N2O2,112.0868,112.0273,Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways,Uracil,R00966 R00973 R00974 R00975 R00976 R00977 R00978 R01055;R01080 R01876 R02484 R02486 R03131 R09936 R10838,R00966 R00973 R00974 R00975 R00976 R00977 R00978 R01055;R01080 R01876 R02484 R02486 R03131 R09936 R10838,Compounds with biological roles [BR:br08001]; Nucleic acids;  Bases;   Pyrimidines;    C00106  Uracil (Ura),CAS: 66-22-8;PubChem: 3406;ChEBI: 17568;ChEMBL: CHEMBL566;KNApSAcK: C00001513;PDB-CCD: URA;3DMET: B00026;NIKKAJI: J4.842I
C03564,C5H7NO2,113.1146,113.0477,Arginine and proline metabolism;D-Arginine and D-ornithine metabolism,1-Pyrroline-2-carboxylate;1-Pyrroline-2-carboxylic acid;Delta1-Pyrroline 2-carboxylate;1-Pyrroline 2-carboxylate,R01246 R01249 R02894 R03249 R04374 R09496 R11625,R01246 R01249 R02894 R03249 R04374 R09496 R11625,,CAS: 2139-03-9;PubChem: 6356;ChEBI: 17425 36761;ChEMBL: CHEMBL18591;PDB-CCD: 2PC;3DMET: B00599;NIKKAJI: J626.050K
C00791,C4H7N3O,113.1179,113.0589,Arginine and proline metabolism;Metabolic pathways,Creatinine;1-Methylglycocyamidine,R01884 R02922 R07420,R01884 R02922 R07420,Pharmaceutical additives in Japan [BR:br08316]; Stabilizing agent;  D03600  [101592] Creatinine; Buffering agent;  D03600  [101592] Creatinine; Soothing agent;  D03600  [101592] Creatinine,CAS: 60-27-5;PubChem: 4049;ChEBI: 16737;ChEMBL: CHEMBL65567;3DMET: B00175;NIKKAJI: J1.397H
C00320,HS2O3,113.1361,112.9367,Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments;ABC transporters,Thiosulfate;Hyposulfite,R00029 R00864 R01875 R01930 R01931 R02026 R03132 R04859;R05072 R07177 R10149 R10150 R10151 R11488 R11606 R12092;R12163 R12164,R00029 R00864 R01875 R01930 R01931 R02026 R03132 R04859;R05072 R07177 R10149 R10150 R10151 R11488 R11606 R12092;R12163 R12164,,PubChem: 3614;ChEBI: 33539 33541;3DMET: B01216;NIKKAJI: J203.854D
C00429,C4H6N2O2,114.1026,114.0429,Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways,"5,6-Dihydrouracil;Dihydro-2,4(1H,3H)-pyrimidinedione;Dihydrouracile;Dihydrouracil;5,6-Dihydro-2,4-dihydroxypyrimidine;Hydrouracil;2,4-Dioxotetrahydropyrimidine",R00975 R00977 R00978 R02269 R04346,R00975 R00977 R00978 R02269 R04346,,CAS: 504-07-4;PubChem: 3718;ChEBI: 15901;PDB-CCD: DUC;3DMET: B00109;NIKKAJI: J11.667J
C00148,C5H9NO2,115.1305,115.0633,Arginine and proline metabolism;Carbapenem biosynthesis;Prodigiosin biosynthesis;Novobiocin biosynthesis;Staurosporine biosynthesis;Aminoacyl-tRNA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer,L-Proline;2-Pyrrolidinecarboxylic acid,R00135 R00671 R01246 R01248 R01249 R01251 R01252 R01253;R01255 R03661 R06746 R09572 R09650 R10507 R10661 R11594;R12056,R00135 R00671 R01246 R01248 R01249 R01251 R01252 R01253;R01255 R03661 R06746 R09572 R09650 R10507 R10661 R11594;R12056,Compounds with biological roles [BR:br08001]; Peptides;  Amino acids;   Common amino acids;    C00148  Proline (Pro);Drugs listed in the Japanese Pharmacopoeia [BR:br08311]; Chemicals;  D00035  L-Proline,CAS: 147-85-3;PubChem: 3448;ChEBI: 17203;ChEMBL: CHEMBL54922;KNApSAcK: C00001388;PDB-CCD: PRO;3DMET: B01173;NIKKAJI: J9.117K
