Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FAnC1,hVPA_FAnC2,hVPA_FAnC3,hVPA_FAnC4,hVPA_FAnC5,hVPA_FAnC6,hVPA_FAnC7,hVPA_FAnC8,hVPA_FAnC9,hVPA_FAnC10,hVPA_FAnC11,hVPA_FAnC12,hVPA_FAnC13,hVPA_FAnC14,hVPA_FAnC15,hVPA_FAnC16,hVPA_FAnC17,hVPA_FAnC18,hVPA_FAnC19,hVPA_FAnC20,hVPA_FAnC21,hVPA_FAnC22,hVPA_FAnC23,hVPA_FAnC24,hVPA_FAnC25,hVPA_FAnC26,hVPA_FAnC27,hVPA_FAnC28,hVPA_FAnC29,hVPA_FAnC30,hVPA_FAnC31,hVPA_FAnC32,hVPA_FAnC33,hVPA_FAnC34,hVPA_FAnC35,hVPA_FAnC36,hVPA_FAnC37,hVPA_FAnC38,hVPA_FAnC39,hVPA_FAnC40,hVPA_FAnC41,hVPA_FAnC42,hVPA_FAnC43,hVPA_FAnC44,hVPA_FAnC45,hVPA_FAnC46,hVPA_FAnC47,hVPA_FAnC48,hVPA_FAnC49,hVPA_FAnC50,hVPA_FAnC51,hVPA_FAnC52,hVPA_FAnC53,hVPA_FAnC54,hVPA_FAnC55,hVPA_FAnC56,hVPA_FAnC57,hVPA_FAnC58,hVPA_FAnC59,hVPA_FAnC60,hVPA_FAnC61,hVPA_FAnC62,hVPA_FAnC63,hVPA_FAnC64,hVPA_FAnC65,hVPA_FAnC66,hVPA_FAnC67,hVPA_FAnC68,hVPA_FAnC69,hVPA_FAnC70,hVPA_FAnC71,hVPA_FAnC72,hVPA_FAnC73,hVPA_FAnC74,hVPA_FAnC75,hVPA_FAnC76,hVPA_FAnC77,hVPA_FAnC78,hVPA_FAnC79,hVPA_FAnC80,hVPA_FAnC81,hVPA_FAnC82,hVPA_FAnC83,hVPA_FAnC84,hVPA_FAnC85,hVPA_FAnC86,hVPA_FAnC87,hVPA_FAnC88,hVPA_FAnC89,hVPA_FAnC90,hVPA_FAnC91,hVPA_FAnC92,hVPA_FAnC93,hVPA_FAnC94,hVPA_FAnC95,hVPA_FAnC96,hVPA_FAnC97,hVPA_FAnC98,hVPA_FAnC99,hVPA_FAnC100,hVPA_FAnC101,hVPA_FAnC102,hVPA_FAnC103,hVPA_FAnC104,hVPA_FAnC105,hVPA_FAnC106,hVPA_FAnC107,hVPA_FAnC108,hVPA_FAnC109,hVPA_FAnC110,hVPA_FAnC111,hVPA_FAnC112,hVPA_FAnC113,hVPA_FAnC114,hVPA_FAnC115,hVPA_FAnC116,hVPA_FAnC117,hVPA_FAnC118,hVPA_FAnC119,hVPA_FAnC120,hVPA_FAnC121,hVPA_FAnC122,hVPA_FAnC123,hVPA_FAnC124,hVPA_FAnC125,hVPA_FAnC126,hVPA_FAnC127,hVPA_FAnC128,hVPA_FAnC129,hVPA_FAnC130,hVPA_FAnC131,hVPA_FAnC132,hVPA_FAnC133,hVPA_FAnC134,hVPA_FAnC135,hVPA_FAnC136,hVPA_FAnC137,hVPA_FAnC138,hVPA_FAnC139
P2_FA_VPA2,neg,cells,sample,vpa,5X,p2,16908.86827,256778.9955,11002.6896,235862.705,72015.31709,573094.19,491385.4497,4032.141938,3181.877831,481666.1158,486611.3374,265.7303834,2714.684149,58976.21069,50662.11302,82228.81713,1510.701183,8380.768237,61114.49392,328400.1893,144233.8765,7290.905394,202991.2969,15646.20753,1037223.57,28905.24913,80650.89108,11228.23081,32559.58362,37080.30707,389318.1696,350629.2017,6627.666318,8638.527683,232325.4768,16735.63119,26150.05643,422803.5254,175875.7328,22268.60948,497577.5329,42996.53314,14405.91858,2554349.635,36915.91998,26453.75475,20164.07366,4050.730075,7102.031015,2852.172556,1190.707387,38955.4697,67928.04308,54837.12263,8009.308302,26238.69807,287937.0317,14234.5124,1078.975519,109.0680692,291737.5075,3004.228297,6405.758941,336.6578271,3292.055135,21301.44039,681.536816,66998.08562,12123.22042,26684.05628,1364.543015,105.1333661,31446.7295,21845.78921,167814.3679,9971.509594,20119.7951,60514.73045,1513.859509,4730.754248,12751.07293,6680.834496,11023.00388,890996.7679,129623.6208,8095.091714,94866.43516,5530.577686,222267.8577,9676.135658,6729.34079,9407.541921,82742.60999,1758.980594,10865.25373,84625.24103,3922693.435,4833.020295,1615.785386,22581.6444,59076.3935,41179.44435,1066017.387,9876.691415,2319323.62,949.0460261,595.7146044,42252.0529,5197.234895,451880.523,490.9014901,19541.44274,,1135.12384,446550.5353,2691.30811,3713.277363,4897.752421,7582.326301,6094.228414,252.4902304,2486.664006,6598.479995,16440.49225,38049.05123,2739.855911,29144.37074,168556.921,7393.614656,13309.72739,10993.25801,8748.919097,1662776.464,41060.11934,24407.65655,3444.394514,720.7916393,129.7513341,223.9335665
P2_FA3,neg,cells,sample,cntrl,5X,p2,16311.5525,182224.1385,10301.20566,221896.2459,55010.47179,413927.198,803504.2101,5892.491021,1900.278856,336249.312,340950.2912,763.9268652,3066.14735,36549.21351,59102.06055,60222.91575,2296.575468,6243.032791,19332.42085,251611.8986,112106.9213,7361.00537,142486.2573,15258.13681,1003717.724,41913.56006,91000.00685,10778.91607,22551.97424,29375.09681,290527.5087,269176.6112,6601.545613,5186.901708,146628.1401,14946.21661,33096.7749,417855.0855,101089.5592,16592.2835,318938.1371,32037.39706,23244.15587,1606318.938,24541.18221,19198.6575,20272.82007,4574.600482,5301.167416,753.8207353,667.6096703,36289.89787,62705.75231,63885.90898,8697.690172,11534.76839,235241.639,11478.49042,409.4207131,124.1320444,212328.8567,1977.520449,7629.612933,,4293.948767,21192.9006,,68485.80649,10528.04528,21909.37273,1195.746245,115.6742612,19844.47988,27558.08756,130549.9137,7579.825423,22667.73619,153614.0505,1837.758775,2393.236408,7966.712425,5815.049882,5881.846393,569395.1376,143513.6956,9453.881183,65282.54711,5217.565392,210830.7457,2454.920846,7263.474823,5962.363451,94645.81295,3015.929821,19101.76527,50520.02539,3754314.85,1087.529213,1293.225129,13363.36352,104566.5159,37554.44509,586289.1595,16369.85125,1969529.732,302.8652103,515.9722274,37362.82684,2035.759413,290992.395,,21692.326,,5655.661846,176101.8618,2106.65737,4370.938668,17440.71083,7827.723375,6887.465885,585.358913,1172.958422,4275.144127,12505.51362,29038.06794,1081.718964,17378.27241,103402.6663,3371.080065,11631.28713,7664.997976,6755.200335,1189341.932,23698.51904,20620.63073,2628.664451,239.2084472,,111.6259704
P2_FA4,neg,cells,sample,cntrl,5X,p2,18362.67828,202588.0755,11799.83032,225218.1761,70042.29796,476825.848,727713.7828,2695.498498,1990.407348,332636.7418,337245.4237,1018.533498,3639.297766,42776.56656,66228.99675,61149.49312,1362.562742,6022.934358,21307.4979,272320.9467,127558.695,9068.183906,161673.2857,14723.01504,1109625.524,30800.72257,97928.59149,11607.50072,25506.63146,32197.45269,328437.3348,307676.1268,8535.235446,7328.205372,181016.4145,14682.22963,24238.17918,501774.1213,115951.5824,14084.82981,495736.5543,35262.02455,22043.28517,1547637.05,26116.10954,24234.2175,24850.28623,3785.554116,6021.553385,1439.018165,658.9198402,37748.99263,64091.57387,72126.97372,7346.534072,20403.31373,287096.6755,13301.29668,685.8398388,,225012.5605,2517.55637,5926.343332,,4106.946924,20168.37608,,73963.07324,9393.809215,24769.91745,1166.561937,,11190.13727,28128.16352,132323.3782,7735.080393,25871.76767,159475.976,589.3087057,3366.516525,8250.083551,6718.215954,7281.846305,461782.8255,140211.9845,10876.94001,68710.50438,6142.051922,203010.7015,4400.270387,6942.25693,6189.587151,91064.35727,682.5477425,7854.961808,37813.41237,4507347.198,,1097.321978,11219.24074,45473.58405,40726.29224,479277.7139,5842.857664,2634145.882,917.7013626,1370.956646,41744.92972,1833.572878,275481.7639,457.8621415,24828.38633,,1808.415546,116407.6999,2439.501689,2644.313077,3903.326259,6647.365069,6396.950607,243.3099754,1158.951931,3263.282828,11463.42262,26798.99823,1024.199688,16111.25252,114140.4892,4303.186303,11299.6883,8228.618636,7097.607818,1217596.981,38424.00806,19898.52154,1779.745695,565.3748847,217.1015651,
P2_VPA2,neg,cells,sample,vpa,base,p2,22192.49227,378382.0411,30983.72615,413452.0013,97437.90109,1162375.363,4992558.068,9470.632209,6812.406931,1077700.258,1088326.421,2876.350089,5600.285765,84827.93192,93334.86834,107190.1146,4406.078097,11353.92422,114705.2505,475832.5295,323387.6354,8413.526836,277932.8824,14857.91526,1754206.234,99820.92856,70719.24939,22334.97332,38458.98975,63062.93595,799399.9863,722756.6989,11938.13375,9697.306491,257459.836,24311.66747,24224.00612,281471.7434,244883.6198,63718.12117,121776.4721,70180.70789,14526.27083,5094962.081,90784.44234,41313.22839,35523.765,5939.358631,11554.45402,3752.459986,1101.663283,46645.54766,107181.5266,39305.41742,35523.96606,31781.47841,197927.6292,15116.51095,2462.914891,3364.898857,486679.5874,2263.526962,8481.452251,3284.208965,6557.082612,35970.83941,6648.564908,67114.64121,20427.28319,35123.79993,3516.665882,5574.710204,57173.26023,38617.54283,299239.7421,13831.50914,37104.18215,143060.6125,5339.057619,9335.641598,24844.15879,10833.75263,20312.22693,1321191.35,143466.4235,16745.36358,158886.1041,20106.07122,389393.0833,25105.63305,4803.589412,38642.60014,94000.94888,6569.530444,21054.77196,115111.4288,2721807.586,22417.55848,16035.87564,27938.20253,131257.1782,27951.20543,1429848.896,25166.68054,1202280.936,2041.40845,2759.053539,27882.91886,10180.79828,866247.49,2963.518815,11641.19832,422.3063879,6543.003598,501359.7049,4008.101398,4048.319118,25252.19587,3740.448681,3048.007772,1812.530775,6483.345725,25914.26034,100816.8694,85524.51598,11730.8345,75981.13157,312719.4771,21373.92946,21841.25149,19581.35813,11904.12551,2704850.756,54523.57504,38763.81901,22984.9831,1936.845476,1377.166834,353.5768847
P2_VPA3,neg,cells,sample,vpa,base,p2,13864.41699,307208.5355,16441.92369,292091.7024,78285.92191,731833.0063,1720378.678,5167.084648,3904.564887,760808.5015,768639.025,787.4418856,3741.474295,69039.12262,70768.74329,85124.90839,2824.605326,8326.289634,90739.84135,396139.5317,219874.1863,7785.911994,207183.2145,15901.67782,1176312.991,65588.62999,57095.0759,16237.21905,32521.23235,41528.30687,564827.7701,502400.9622,9176.346329,9304.954615,203428.8131,20247.19837,21388.70126,272801.818,129440.5364,44720.64428,193012.1653,61187.6253,16061.26692,3833807.568,71349.75518,28063.0192,21980.71699,3165.836282,7882.273898,2722.33985,549.204306,37725.84194,94700.07315,40471.03939,29353.62529,26647.67723,162289.7746,14645.55235,1437.669148,2245.698589,376200.7705,2061.457675,5967.367278,1081.707882,4459.489962,26008.25754,2709.057202,43880.37832,17965.40792,32824.81002,3336.091366,341.785115,42156.13522,29623.56797,234331.5569,11453.15876,29203.9831,98712.4533,1820.606867,5424.743637,19585.10021,4475.748898,13819.74785,1083991.908,91563.44071,13471.71087,112404.4131,3419.881025,285985.9499,17124.7258,6475.862748,21767.58467,68241.63522,4376.268126,20274.1781,89009.33711,2489434.711,12080.83623,3922.515478,23419.83337,107233.4242,27925.15595,1071784.371,20753.52904,1230831.414,1315.161646,1613.916453,27055.22153,9792.631179,659936.4094,2049.393217,14211.59801,124.3460622,5534.569724,459673.9144,3502.987898,9441.747218,25346.6272,5697.092625,4602.179953,1061.462737,3660.62489,15560.00044,66804.39288,58562.94913,6487.760001,46970.21943,212078.2407,10995.85825,16971.53772,15267.3812,9989.120028,2155610.029,35608.01873,30975.28457,11616.58899,1444.54218,703.186591,100.0047117
P3_C4,neg,cells,sample,cntrl,base,p3,14875.16089,190224.1632,13894.71149,278131.6464,56709.23219,541500.7138,2294141.358,7261.814944,2893.283235,491126.0225,498329.2876,1506.966273,4328.804998,38772.98418,74599.17425,68559.91647,2332.39282,6933.229756,26344.31359,316248.0634,162488.7717,6915.488347,144567.1601,12532.53424,1218303.155,63299.4605,47255.91144,16385.55569,24086.42454,40543.33503,396870.0829,365538.1497,9507.532271,5411.293828,140413.7976,19921.54502,38652.17156,208465.2631,54622.5549,30145.31572,131428.1159,38664.1078,12340.76642,2301863.335,42982.51738,19381.89442,31873.35952,2032.556815,6563.38664,429.3730851,636.8314126,38483.63294,89605.11045,34172.30586,19643.41652,23163.18359,145159.6052,14916.02233,147.2750155,2212.403891,280112.4806,1637.900328,10290.00711,870.3428541,6632.844865,24841.54281,123.8434801,35792.5366,16253.12177,23102.78693,1971.835779,104.7698592,23654.01294,33068.68476,177549.666,14682.50789,33737.28512,200390.3637,2828.653889,2062.629006,12647.76801,3558.000701,8146.947013,819815.6802,75196.9018,14418.87677,97125.98117,2039.124873,287700.681,7121.016975,4822.536289,17522.01146,59446.51181,6912.832401,31237.94969,64569.88021,2223240.871,6613.035835,5744.127723,19800.00043,238779.8369,24386.44445,773152.0566,38795.42083,1066445.916,1098.450676,2311.28455,25980.11878,8575.199268,384909.4629,771.947025,12015.97107,1844.665736,10403.68835,230725.1451,3490.772181,3465.376518,49473.88363,4560.340103,3728.331663,957.6524853,1563.869156,9375.072908,71784.38393,42636.4866,2922.710389,27225.51196,137115.5068,6123.033558,15066.91393,11713.79572,7802.950401,1484118.716,21347.08334,24659.73168,12474.86289,248.9121268,,
P3_FA_VPA3,neg,cells,sample,vpa,5X,p3,20884.49993,418823.1524,29731.0531,359745.0114,91009.10059,1042188.295,3212164.857,10237.29171,5301.413496,897817.9968,907321.893,2052.831302,5427.554384,83500.02452,91070.24181,106104.7113,5523.591741,11025.09917,93476.87283,458076.7172,278486.8241,7892.582352,314218.4157,14046.08077,1696030.294,75757.27077,94951.62923,19942.33582,55680.90186,52753.16488,744498.1037,635614.6743,12813.8037,12787.25447,277179.4156,22287.57148,15485.10059,430501.0831,348863.514,47901.52864,323647.8585,74182.38053,11689.46337,4248417.123,59589.50921,50690.52554,41004.14267,4054.721375,13853.84242,4975.326375,854.1407046,44509.16803,64620.93388,58935.02025,25884.45409,32252.77727,286904.0888,16406.14819,2045.192158,1919.260641,494643.6004,9316.058198,12271.07969,4678.837658,6546.379405,51673.16142,5798.669819,59832.089,17730.455,36493.23391,2681.979788,7058.29127,67554.48402,34731.2463,273617.9826,12671.18865,33269.1734,101043.0494,4913.592106,7836.139654,20238.25167,6211.356596,20131.27013,1181472.921,114889.7994,12072.45421,161977.186,5045.761121,352144.7668,18684.58003,7447.751539,28266.89809,86694.47322,4902.828722,19613.90191,100760.3802,3810038.095,16490.37261,15775.38694,34457.1462,118339.7311,38229.31749,1244606.625,20834.22414,2000097.223,1649.858389,1829.60355,40716.56124,10858.43933,838749.3842,2061.666044,18363.95607,362.0164162,3557.359988,540596.4056,2535.635319,5685.999423,15560.21667,6397.946164,4891.475964,1066.747424,6584.794675,20936.52431,72445.77792,80991.5239,10844.44848,73747.2246,327960.0155,19486.27281,20165.53398,18483.50547,12399.39707,2328445.269,63952.18078,33462.09959,15836.17404,2147.059529,1420.858935,365.0145718
P3_FA_VPA4,neg,cells,sample,vpa,5X,p3,14110.60352,204466.3703,11514.23558,179858.5659,61162.59667,438991.5149,606706.016,1719.227539,1996.746014,399483.1955,404363.0689,108.0948712,2065.351604,48958.17973,42704.21538,71189.02392,2499.561631,8574.057925,52804.5713,290688.1814,123784.638,8418.633297,197530.769,19652.3591,860256.3544,36944.01562,75095.24383,9914.329791,19396.89537,27407.80918,356839.0857,316919.543,5449.730086,6455.338142,178948.1902,19292.14946,9104.266098,340385.2392,178738.685,19413.28929,297557.92,31381.47643,8847.430608,2105214.172,28026.64839,23828.90982,24048.8149,3672.7289,5991.124957,2039.760875,634.6490883,35279.63614,41744.39007,53286.51814,11240.25028,27238.31539,268262.3429,17612.28549,428.097171,,268789.495,1891.914761,6696.095737,369.6099791,2700.554573,24201.58636,870.8360898,63255.44102,8308.510157,22463.50832,1229.098998,,24938.20633,17180.94899,149302.94,7861.220421,19016.91016,55272.03693,1907.551415,2430.416466,9654.682175,5169.777117,7349.127258,632936.3873,125728.4607,6706.929988,88919.11296,3275.364941,178536.0833,5792.016336,6930.94492,13403.19406,83294.9377,1470.601667,15189.11416,96372.06373,3854537.87,3175.192206,1475.942517,19071.66741,69782.20093,39839.79731,1183988.377,11808.08677,2076630.531,214.8988887,426.2781554,41013.18891,4052.039248,320277.0616,106.6052863,18564.83275,,281.0899823,547847.7841,1461.190962,4216.636852,4212.052285,7357.331168,7052.256186,213.7541286,209.7212556,4075.085109,12549.51984,23999.61765,346.1524083,18516.91791,103119.4527,2709.153782,9059.347357,7017.691499,6710.627049,1377997.3,24219.26624,16524.65528,1770.583005,246.0949826,,
P3_FA5,neg,cells,sample,cntrl,5X,p3,18409.78359,285469.7715,22644.12972,327647.9198,63961.7586,691945.8692,3233394.683,9220.233446,2904.657082,559045.4443,566736.8244,1495.216998,5102.687039,56374.03699,94888.16289,71819.25075,3919.322484,6447.897753,28172.22471,365035.8563,202776.4003,9656.331658,232317.5684,15762.04271,1491092.883,78202.93203,85231.16186,17707.52662,39082.82916,43496.51642,558521.7881,498978.0823,10049.24087,7702.02265,153346.382,19035.75889,25918.99061,377789.2139,88006.04068,27809.41429,200201.5835,56272.32864,19622.02348,2762586.905,42383.28195,34541.63702,34071.4299,3542.120831,7722.631575,1803.80487,658.8434445,40533.78678,57598.43606,53574.19515,18498.67795,25442.85771,201841.5087,12214.42704,135.1679929,1379.660031,342655.5215,3264.942318,12626.83314,255.6987395,7712.104498,50486.70723,1595.47207,55013.48081,12523.78939,30052.09455,1978.814473,1050.442213,34779.44996,39903.74447,204083.9521,10735.54095,35332.39971,229917.9798,3827.309069,4629.559749,12783.05505,5203.675387,10908.40573,763992.2325,113847.3577,14168.49725,99109.29854,4456.885041,301299.8326,7184.777691,6241.908243,18102.42621,75488.49432,4849.365578,27747.53418,51773.49331,3089978.801,8428.348856,13120.28271,21660.53701,151093.9439,30314.97643,615471.3225,25505.77469,1534932.783,1146.559729,818.9798677,32591.77353,4136.418889,505190.4726,1117.666297,16046.35653,664.9694193,10342.05293,187320.8409,3075.681396,11673.66941,26749.13801,5824.948786,4760.244472,924.2592516,3145.984479,11357.3633,41209.01285,48501.7461,5582.377419,38688.00778,174163.4684,9908.6111,15372.06144,11719.45125,8684.559102,1576862.578,35755.83322,27217.17751,10483.18031,857.5580879,643.5526197,
P3_VPA4,neg,cells,sample,vpa,base,p3,18103.26074,541156.4518,16146.61742,491862.347,133308.2716,1314133.688,1641041.504,13627.78151,7473.360365,1189734.095,1202412.573,1968.489501,7166.111515,108830.6117,108866.4202,120334.1893,2987.460323,14319.1064,185226.1184,514914.0808,368791.2715,9887.88943,314162.3264,15627.78959,1914975.284,55447.1579,65952.38313,28587.08434,61583.39388,73263.87568,796706.0952,796331.2921,14462.0417,12096.78981,355776.5378,20225.6224,54153.0336,292981.4961,161018.7511,44567.7959,797745.9267,111637.4981,23045.20225,5848025.776,144950.9855,40240.50056,27557.17524,1528.962698,15062.71599,3511.397135,111.6210209,44666.96831,170187.2635,34752.84044,27008.09377,34532.4734,158791.1231,9981.665339,2982.332624,2157.698174,544389.3209,5050.708517,10400.56256,3801.693458,7903.871573,29359.943,4742.588439,37826.11615,34286.38719,39316.051,4030.519694,2845.496486,89338.0792,54734.16686,358933.4346,16774.05512,45248.82826,167909.8279,2596.425437,12370.44991,35995.47281,3973.294568,23369.4644,1483573.785,69541.83878,21564.54543,159400.9276,2752.912555,471223.1784,38186.57959,4348.430984,34326.39019,56041.73316,9608.350612,21565.35533,76600.96121,2319163.15,21429.7073,9036.468612,34885.49616,130992.7058,23175.17041,946511.4757,25082.72126,1153882.793,3964.876736,2553.590917,27839.48579,13852.75244,1667601.158,3905.183326,11159.73428,1528.464863,9886.85951,357920.2047,6005.089207,2096.850324,40421.43076,2791.837829,2805.558773,1627.293972,12764.55016,30140.53533,167334.6077,111178.6204,25186.27307,92755.5373,408869.6045,36945.26926,33499.08444,30547.34774,15074.21441,4089294.148,61271.34698,58806.04805,31394.46717,5073.737084,1919.248844,1060.55837
P3_VPA5,neg,cells,sample,vpa,base,p3,15286.21635,315621.5755,9164.985799,349032.3722,91569.4167,809386.2054,763222.1491,6366.028232,4560.421352,752324.7704,760234.2547,1078.154842,4658.748106,68162.50801,74774.69968,93189.46627,2843.33326,10430.37917,109266.495,367144.701,228247.1453,8989.37025,190356.9672,14569.32128,1395534.61,33173.31606,59044.22507,18300.08965,31169.35604,48091.36346,480792.2554,466362.8809,9993.972769,7783.761936,244685.1379,17461.45621,27572.2545,252874.9211,111963.4629,28144.07128,597043.8356,61415.74095,12010.51981,3548834.921,80749.62637,33120.9014,22817.24812,1540.533026,8895.282073,2305.585862,469.823192,37972.4271,112379.4941,36203.79033,21570.474,30260.88397,149682.6295,13164.46518,1582.485791,1492.9628,358705.9023,1677.47806,11195.22012,2645.892175,5097.65916,19357.39335,1781.395614,37547.88631,22308.0935,28681.92404,2626.699764,,48698.15681,31434.11102,238275.9878,15393.29411,31918.95363,108220.5609,2499.496148,5897.937857,21276.93065,3142.950551,15896.88571,1081782.707,74957.53609,11063.19503,123257.6992,2567.047831,335439.2398,21995.14121,4578.113569,21177.78151,59227.0754,6309.764446,19978.74097,77036.6057,2132470.485,11944.08639,3591.520019,29178.65788,112909.2504,23480.10186,968100.5197,20420.43004,961948.5235,1988.533974,496.1089494,30718.54116,16027.67574,813082.1374,920.4728937,11317.35806,1064.900709,4106.678234,405699.7119,3970.430139,2312.801216,27403.56085,4355.790645,3325.566736,389.1937359,6318.837177,14902.32299,96343.50155,69274.4104,9869.881991,56085.12476,266353.0828,19685.31161,21475.09416,18548.34939,12562.27755,2509892.512,43106.48376,35393.70016,13124.36465,2193.992851,644.0878633,
P4_C5,neg,cells,sample,cntrl,base,p4,14613.03514,209984.3908,6739.707773,303826.9039,63543.95132,607997.1814,1958555.148,6958.006949,2254.337742,497169.8901,503008.4754,1723.567623,4816.154896,41246.48555,79477.60021,64320.30726,1997.467563,5560.994285,36383.75635,324099.7402,183118.6446,6405.009972,130488.0362,10527.83174,1237091.676,60522.0523,51261.85409,17051.82912,30099.71993,41459.05789,459852.7914,394447.1537,10707.19189,7755.572968,151040.2856,19045.48027,49953.67401,220530.222,57469.9272,24040.87515,267669.2499,48907.59495,19552.51061,2369729.966,50933.19695,20255.4323,29951.73018,1579.563628,7553.062243,417.5179325,218.8388601,40489.34555,125135.0736,32568.29548,15790.15747,24855.66754,140300.9236,13560.6884,574.586128,2096.880363,312964.4049,1550.141703,10698.84362,554.1759773,6487.256123,24051.36102,1008.645328,36816.46733,18860.54684,27777.95236,3517.127188,,29271.02832,37121.5451,198047.5311,15841.37612,34877.09027,227314.5729,2281.588291,4267.267132,13920.09916,3385.087966,8645.978225,885959.6889,76257.97911,17248.64453,96626.7031,3033.581408,313205.3178,8863.62779,3828.279269,16261.03247,61542.93628,10964.48095,50332.63273,71812.12472,2285618.19,6720.840575,2475.213862,24362.24278,367088.7531,23602.15695,794663.9392,60567.87138,1107858.041,1049.787173,1981.14409,27495.58122,6969.986888,383169.98,1131.890432,12231.95352,2740.112634,20483.01154,230973.813,3542.276421,2248.53316,87079.3922,4333.965066,3078.465584,886.176908,865.0522457,6870.734784,54868.26828,38201.35318,2788.929974,20940.89812,104851.6653,4646.168271,16160.9891,12767.33542,8499.01334,1601404.023,19249.27354,28572.7746,12126.049,289.130404,,
P4_C6,neg,cells,sample,cntrl,base,p4,11503.77493,83412.55037,4571.093365,152080.8163,38923.28709,268359.8118,704918.1811,2078.0895,433.1219241,226166.8213,230277.8904,231.7915097,2316.797624,21701.71911,35274.73154,48388.49325,1388.771531,4433.935328,16496.11008,165535.6417,80538.50453,4935.28028,92161.02158,11143.14352,667504.9276,34353.73469,41037.08009,8226.385987,7802.59636,22936.65866,193975.0031,181172.1396,4562.610346,2011.771384,103939.1291,19597.25038,33424.89296,173525.7918,51379.15721,10875.58097,167647.9463,14596.01013,9159.562158,1015140.613,17114.91252,9742.326585,22441.60605,1806.830826,2704.709569,,155.4959722,41014.48467,60916.07135,30653.61915,4887.957999,19556.35195,143367.9254,17963.86194,115.445833,130.215463,163085.3447,1081.170957,7341.77502,,3059.019287,11255.74642,,37683.34098,7330.942558,13859.51718,1139.801726,,6950.009972,18654.02014,97361.27785,9565.63898,18496.78191,106606.3037,689.0913599,223.8460747,4965.180237,2583.632035,3014.477999,372243.1253,84292.82969,8925.008601,58348.94233,2483.502248,159757.8269,1032.186364,5688.410225,7377.247175,65447.18003,4749.805723,24189.55698,47794.40418,2715590.592,,129.3093868,8878.899536,186644.5246,28762.50612,602470.1953,27833.71312,1530608.269,113.6096545,2309.264167,30615.96043,3851.004268,158703.8624,,16185.09981,103.0662846,3471.22984,164695.5844,2348.827674,3949.52858,24744.67594,6015.796254,4542.003392,462.5530314,,309.2697803,14714.61983,15251.77484,,5291.976827,39700.69623,103.0810116,6041.245036,3979.234685,3740.43115,855112.8749,5783.682862,10936.77435,1009.17786,,,
P4_FA_VPA5,neg,cells,sample,vpa,5X,p4,19582.36849,385614.8298,24358.84919,344770.6879,87335.79749,973783.7197,2225994.93,11416.667,4182.251784,808196.471,815241.9317,1422.360449,4332.943211,77263.32675,85571.74853,102474.468,4495.645959,9815.326692,91109.0943,443571.8178,252899.6593,9057.932444,281797.677,13764.9361,1593495.586,60371.42483,82650.06414,19905.47781,52243.78395,54876.56096,687222.931,605390.4652,11708.67303,11882.6787,260289.0299,21322.90075,23426.25898,368022.4756,308152.1642,44435.08689,513175.1763,73984.3795,17587.88627,3812953.455,61137.02567,41625.44005,35403.00382,16042.92994,11258.75778,4821.065845,1574.968201,41188.84569,85826.03953,52217.53761,24487.27864,35102.50044,262026.9961,14011.86786,1566.36832,1815.756278,452564.0044,2919.133655,11017.90972,2443.92278,6362.590865,43219.81189,5036.271,53003.73488,15211.57711,35895.0668,2678.932375,4008.877169,70775.08799,31625.59004,260046.0879,11990.03864,30869.55101,97313.77533,3091.557241,7615.401691,20217.89977,5738.73,19638.64522,1013190.973,103335.4124,12545.88229,148264.185,4112.243604,342934.4469,17515.43164,5767.351147,17566.51326,92684.30052,5948.162344,25228.55623,116479.2048,4386371.345,12260.29214,9534.598214,36477.325,146117.5296,41741.41685,1418082.78,24931.17968,2718099.451,2223.624044,824.4715509,47944.96344,7601.481798,722032.7283,2586.454561,18023.99058,231.8664278,5514.168348,564071.9581,2608.898168,3348.231911,26550.38776,5995.264526,5246.96357,662.1162033,4562.915707,13676.26602,65080.15312,60743.47717,7866.882493,48844.2352,237967.6549,12539.05942,20491.80717,15938.22187,11612.12045,2135710.455,52650.50384,32870.74392,9311.625808,1517.084049,406.3077854,
