Samples,Mode,Type,Group,VPA,FA,Plate,hVPA_FApC1,hVPA_FApC2,hVPA_FApC3,hVPA_FApC4,hVPA_FApC5,hVPA_FApC6,hVPA_FApC7,hVPA_FApC8,hVPA_FApC9,hVPA_FApC10,hVPA_FApC11,hVPA_FApC12,hVPA_FApC13,hVPA_FApC14,hVPA_FApC15,hVPA_FApC16,hVPA_FApC17,hVPA_FApC18,hVPA_FApC19,hVPA_FApC20,hVPA_FApC21,hVPA_FApC22,hVPA_FApC23,hVPA_FApC24,hVPA_FApC25,hVPA_FApC26,hVPA_FApC27,hVPA_FApC28,hVPA_FApC29,hVPA_FApC30,hVPA_FApC31,hVPA_FApC32,hVPA_FApC33,hVPA_FApC34,hVPA_FApC35,hVPA_FApC36,hVPA_FApC37,hVPA_FApC38,hVPA_FApC39,hVPA_FApC40,hVPA_FApC41,hVPA_FApC42,hVPA_FApC43,hVPA_FApC44,hVPA_FApC45,hVPA_FApC46,hVPA_FApC47,hVPA_FApC48,hVPA_FApC49,hVPA_FApC50,hVPA_FApC51,hVPA_FApC52,hVPA_FApC53,hVPA_FApC54,hVPA_FApC55,hVPA_FApC56,hVPA_FApC57,hVPA_FApC58,hVPA_FApC59,hVPA_FApC60,hVPA_FApC61,hVPA_FApC62,hVPA_FApC63,hVPA_FApC64,hVPA_FApC65,hVPA_FApC66,hVPA_FApC67,hVPA_FApC68,hVPA_FApC69,hVPA_FApC70,hVPA_FApC71,hVPA_FApC72,hVPA_FApC73,hVPA_FApC74,hVPA_FApC75,hVPA_FApC76,hVPA_FApC77,hVPA_FApC78,hVPA_FApC79,hVPA_FApC80,hVPA_FApC81,hVPA_FApC82,hVPA_FApC83,hVPA_FApC84,hVPA_FApC85,hVPA_FApC86,hVPA_FApC87,hVPA_FApC88,hVPA_FApC89,hVPA_FApC90,hVPA_FApC91,hVPA_FApC92,hVPA_FApC93,hVPA_FApC94,hVPA_FApC95,hVPA_FApC96,hVPA_FApC97,hVPA_FApC98,hVPA_FApC99,hVPA_FApC100,hVPA_FApC101,hVPA_FApC102,hVPA_FApC103,hVPA_FApC104,hVPA_FApC105,hVPA_FApC106,hVPA_FApC107,hVPA_FApC108,hVPA_FApC109,hVPA_FApC110,hVPA_FApC111,hVPA_FApC112,hVPA_FApC113,hVPA_FApC114,hVPA_FApC115,hVPA_FApC116,hVPA_FApC117,hVPA_FApC118,hVPA_FApC119,hVPA_FApC120,hVPA_FApC121,hVPA_FApC122,hVPA_FApC123,hVPA_FApC124,hVPA_FApC125,hVPA_FApC126,hVPA_FApC127,hVPA_FApC128,hVPA_FApC129,hVPA_FApC130,hVPA_FApC131,hVPA_FApC132,hVPA_FApC133,hVPA_FApC134,hVPA_FApC135,hVPA_FApC136,hVPA_FApC137,hVPA_FApC138,hVPA_FApC139,hVPA_FApC140,hVPA_FApC141,hVPA_FApC142,hVPA_FApC143,hVPA_FApC144
P1_FA2,neg,cells,sample,cntrl,5X,p1,12598.37023,2752.924752,551005.2304,521229.7697,1952552.544,5584.120704,24384.53131,29645.54933,1193942.566,44778.8149,90936193.87,180347.607,50186.5063,795785.5217,59206.7368,2202.361581,1850282.119,1527283.386,124636.3562,4489095.157,1300966.689,546922.6916,77330.00843,29304.16832,4982245.994,5857.344163,2401.539632,81882.77632,11223.13805,13027482.76,2482724.825,2906018.789,98437.71364,65710.07021,196906.2175,16927.31376,123475.1872,303472.58,32735.58003,16869.09528,20107.32044,30059.47246,20553.26157,569976.5609,9011165.862,1075662.04,2938349.853,395060.5849,4556.942891,987.1660527,4056.769275,1075450.507,16427.85516,582109.1134,3542389.691,18866.85415,6341.417335,3315428.862,85483.07059,47240.15406,243338.3459,338602.9984,5012.179619,5588.791351,4567780.091,10343.78224,1343088.442,140866.9863,65798.4867,49892766.04,3100945.386,179827.9897,330251.5845,26842.79125,3652684.265,951790.1947,20814.7079,351177.9751,365439.0503,518699.1154,44884.95318,29234.09551,95984.37388,24119.93122,5208.532794,12111.90491,50906.6594,4289.540625,9934.64716,2700.787185,8442911.023,10822.00231,1515.845522,3090.094789,264261.7516,274680.6178,176184.6633,103081.0644,13007.59874,17712.2785,166010.2568,5530.039462,1809189.166,3165.952765,21909.04248,1112.378094,140357.9801,8600.761335,753.9738667,7932.691107,9213.394496,11491.25526,26421.0446,88529.63723,28567.32649,8922.137468,4238.478731,11539.44159,427.3317507,39921.25068,1051168.269,31194.87711,688.6011247,163190.6561,42876.74,213950.3582,4173.913775,4447.88344,1495331.477,220205.1036,9834.895765,2056.077558,17720.06603,246.4973732,313.3122927,924138.528,486679.0201,465687.3426,29921.14507,136817.7366,25819.3123,2515.005966,12558.50695,29346.22897
P1_VPA1,neg,cells,sample,vpa,base,p1,17164.10953,7521.116636,706662.2877,668267.8012,2947913.554,7275.988047,32102.49719,52879.38363,1868857.811,46555.23659,124480964.9,299870.1414,98020.42678,1187729.278,195492.326,2774.903577,2987910.491,5765001.662,247897.5489,6838067.513,2189274.622,856895.1046,94015.67635,33017.24324,6503460.87,11426.56316,2800.672151,59587.00841,9234.63359,17601724.1,4081057.809,4949043.707,124417.8714,66827.13133,374970.954,16897.3433,63925.96454,367478.3846,51719.58748,26861.7031,42476.77575,45381.26257,20962.62935,919115.9295,9837337.205,1391856.838,7543119.536,473028.0194,4755.181996,1736.500422,9224.486214,1492887.723,12748.87577,1238917.169,6676408.276,29570.13477,17451.63409,4889128.276,95783.77154,76580.12305,319811.2648,558957.0366,12218.99677,8268.168465,6088535.315,22028.32119,1903351.132,199394.4236,41094.67949,75949874.42,1754162.119,370925.102,659666.6521,39364.6762,5610824.754,1717349.157,43617.50813,76897.66728,413047.2559,873275.1405,53349.72126,43108.31863,259676.2257,18991.36898,16621.07863,36453.37828,217266.7948,6780.320797,30430.68153,2848.680258,5937241.819,30308.38904,11442.49116,11816.30729,358135.0008,324228.2361,333294.1449,277345.8603,51277.63272,34025.10939,142231.6611,11643.01139,5101227.665,6292.404131,27607.94094,1586.411225,202407.6339,11530.31929,2006.854376,23251.57976,29626.51559,9618.083954,77001.34876,178855.8819,43982.33221,6934.806147,13767.65197,11835.37968,31563.27697,57380.78015,1557984.415,73962.32118,3226.854522,429909.21,105827.2462,486408.7631,23266.80601,13505.00705,3027212.704,454131.2556,16389.61327,2041.180709,17236.89076,2360.758391,1528.791826,1556286.267,589627.2321,721843.754,81914.43526,112150.2707,48934.67552,12863.82929,20578.46045,34671.43737
P2_FA_VPA2,neg,cells,sample,vpa,5X,p2,13691.67505,3169.807794,541237.7376,482645.0383,2316116.503,6398.273842,28371.08236,38741.64136,1247288.94,34786.22241,100261858.9,221987.3088,72559.64099,811822.5986,89521.14873,1891.59431,2098772.136,3700633.65,193372.4153,4405339.253,1545385.652,690575.5351,89713.62092,23032.96373,4911691.21,6568.687646,3441.719913,64150.52092,11951.1478,14482658.92,2830673.644,3304438.586,89513.2202,77185.85905,310430.6703,5306.036153,112719.34,314411.3546,29407.39916,15934.88416,30077.88889,30240.31365,19752.27683,583420.9472,9744938.467,1159081.508,4467480.012,477533.95,4511.578401,1994.319101,5375.052544,1178348.92,12877.00571,910906.1708,4359358.208,19982.39564,12638.85204,3522628.405,72460.08799,56522.44675,238904.0979,395415.3133,4640.289896,6658.322851,5324754.93,18135.49752,1443958.484,144809.3875,27398.67011,60561403.71,2701766.047,239347.3808,403147.3903,27746.96185,3900798.821,1241735.895,30072.09429,141019.5335,459837.2343,595256.757,49316.01382,31788.21866,179274.8751,25249.64175,5622.547948,17892.97632,72405.91939,3661.414848,13949.06807,1985.738591,4377537.876,18954.72093,25151.05468,6330.257422,363602.3816,196021.4891,168839.9559,110467.1083,13858.5221,23572.1407,80780.95067,10224.24782,3204636.982,3529.369869,15559.86148,1025.78887,99255.33033,6981.290614,731.5022694,13647.99703,17682.1393,11786.50056,30935.1676,60889.59799,36745.90324,9481.36967,5627.738821,12730.62354,5777.362859,39959.42728,1132532.238,31249.83144,1397.427755,175601.2343,43946.24303,290929.7663,9182.624504,9831.262259,2061913.12,275095.8323,11248.43306,2271.539286,19033.90901,1249.12743,346.0301507,1088016.818,564340.4088,510773.9733,35510.83996,136153.5586,29276.7457,3904.104456,16903.10713,31511.84519
P2_FA3,neg,cells,sample,cntrl,5X,p2,10325.84382,2543.890837,475621.7126,476148.9448,1767364.177,5831.439535,22275.82942,27175.10076,1158000.485,43586.33256,103833563.4,157969.8898,60388.62767,667353.9278,78593.5006,2187.018266,1743361.446,1279963.551,142613.9314,4197205.096,1165848.182,462526.1211,66206.26358,32769.11814,4509129.678,6770.008978,5320.918187,82702.8997,7313.902877,12218734,2278025.003,2601151.479,90400.13727,58353.67088,170004.8842,12226.48148,113975.7576,279623.9511,41644.35414,15172.71964,18795.96575,25602.80809,21689.25217,509692.0754,6553314.706,934293.58,2970186.233,337671.816,4979.147226,1098.956938,3495.00583,904524.3761,6779.009866,609999.1473,3173999.863,21436.13718,8370.061906,3012964.858,88487.56325,60548.29758,248059.817,303109.8271,4538.122937,4912.2798,4258333.735,9629.129409,1204368.264,122950.7181,64499.70421,46839203.64,3176599.583,160148.1954,303710.9164,23728.33061,3553033.232,900977.2126,22051.9373,203995.3992,346577.6248,461930.3044,46903.2587,31797.89936,83244.27693,25722.29022,3738.230863,15354.93656,78117.22638,4502.178393,14132.35857,2266.61493,8439357.453,11211.66378,14308.68321,3414.789958,296752.4287,286726.6929,275871.9159,182787.5738,20806.11454,16589.88675,120032.6911,3931.547325,2001814.628,2162.680279,33874.69763,1146.789417,218453.4044,8035.688284,957.6129919,9273.068452,13358.49415,10612.00571,47118.77189,154680.4385,30620.27016,8152.402295,7432.08366,12294.51844,3189.261458,42224.90915,1200862.736,40064.40478,386.2364889,200121.82,51670.81628,205280.5507,3664.614843,4277.927029,1358638.119,165766.2339,9893.185944,1692.585472,19309.82562,676.3908308,166.4413821,849427.1003,354932.7503,449757.996,29205.18751,168433.8675,17568.31241,2036.89541,12100.76803,23541.47941
P2_FA4,neg,cells,sample,cntrl,5X,p2,9398.924285,2372.544217,509281.6936,525429.7027,1969416.684,4594.646333,23515.11985,27215.88239,1169047.737,41636.47854,89897565.02,176974.9034,52300.92086,730083.5726,50148.59283,2478.787479,1934098.245,1336197.996,123228.019,4532182.564,1302832.481,526806.2253,73009.67126,31519.09598,4996344.923,5843.437191,3531.580664,83792.56914,9308.705434,12070169.64,2527460.266,2889200.24,87512.95943,67048.02244,176605.3092,12991.19544,129660.5077,236286.852,22111.0485,16482.83268,22257.60527,27483.09215,22354.24629,536032.4853,7931826.893,946144.5183,2707126.894,393372.7997,4380.483089,2152.154117,4937.546427,976580.1396,13057.00468,572174.0052,3465081.795,15857.84012,3814.664506,3192344.315,69706.75426,41401.83171,266855.5711,338404.3759,4643.668618,4781.544493,4377241.682,11686.84235,1233367.083,129032.8511,65278.73686,47802645.24,3058068.367,160455.9957,299234.5924,34548.87964,3690233.344,917883.5619,20518.63033,429364.6435,350030.1006,476844.1082,41016.00017,27940.90448,94122.92605,24787.0967,4478.633753,11327.90365,33021.17592,3725.766718,9443.80737,1736.27827,8311301.035,8376.336133,7885.815443,3068.360772,236464.7888,171967.5725,123141.9583,72486.12119,11147.50238,17875.75815,151856.3711,4696.277801,1528698.885,2710.026233,18326.99679,872.286671,103886.0549,8258.691943,1207.782457,5771.518195,5768.979384,11874.01215,20238.70262,58018.5027,19438.05004,9100.107992,4679.623373,9776.748629,335.652226,38276.34821,1008539.239,22676.64745,194.2970399,130589.9902,31640.41203,176713.2278,2794.935791,4040.761897,1385792.067,182243.1313,9054.991176,2396.402267,17528.39363,,258.8786828,843353.2761,480215.2181,412468.6817,21024.12584,166789.2088,25085.58024,2088.897931,11557.24104,24970.67441
P2_VPA2,neg,cells,sample,vpa,base,p2,16769.92496,7831.760336,685388.8301,765743.067,3297781.986,7567.861812,34823.73782,56349.50866,2202510.901,46840.11252,129297515.8,319717.899,105595.8812,1312596.841,229442.6192,2604.179084,3373077.903,6511470.861,290541.4132,7257030.334,2725455.432,840474.2352,91342.79985,33557.45155,7107118.464,11346.18833,2834.280552,63733.90766,12798.31917,18182211.87,5590928.999,6548290.753,169532.7953,77588.10435,298345.6892,30095.29639,56580.08959,256391.0632,50571.14341,32090.23378,29972.25962,55623.86958,37774.70303,1092165.312,5462968.617,1535893.343,11235484.3,589898.1453,7190.640571,997.3720618,7503.453841,1557371.911,14743.01546,1396508.655,7090485.799,36336.15535,23508.68345,6049429.193,82114.38143,64315.00498,446477.1666,674535.8171,16488.78772,18220.9912,6326269.169,20788.55759,2162370.471,231709.4258,49612.80638,77513528.97,1039697.315,417159.0881,710705.957,32387.58863,6804288.431,2077921.775,53155.24154,85447.03169,359682.89,963386.3802,129722.1719,53258.09288,290202.5392,20222.0721,21528.94439,46727.76162,261993.2387,6438.683633,38759.39078,1830.792129,8475245.603,40595.99669,21446.84519,18321.42612,324653.4482,432162.8927,371201.9855,357030.9143,65889.70594,46098.23699,145990.3915,12889.55794,5555564.929,8978.960261,27121.42755,1807.103047,251999.7104,9839.729884,1593.91225,31459.28421,34653.8981,8493.260387,84031.83762,158699.3869,35021.63312,7087.565175,16219.73803,8990.333669,30879.77192,59248.27288,1683682.785,72495.5165,4271.229378,550820.0941,110724.3827,523547.1503,49877.73682,15882.49884,3221312.356,491939.9657,15517.43717,2718.672336,19062.16132,2645.417695,4485.446271,1659679.972,696498.9824,731791.375,120820.8519,161359.6128,46047.08001,12706.85685,20700.32229,35705.98227
P2_VPA3,neg,cells,sample,vpa,base,p2,12397.64771,6459.731214,651402.0922,623470.7586,2626549.284,5118.248308,31622.42674,47928.05811,1761329.109,50630.80836,117026970.2,258607.2606,82581.24503,1009848.656,195365.4087,2372.8335,2822347.385,5489568.294,233031.5115,5597400.095,2104370.205,708747.8049,91698.17752,40975.6321,5659948.332,7849.306154,3666.811894,49586.78876,7711.211516,15493511.91,4304202.672,4915393.207,124771.0961,73796.4414,271560.6712,15102.88432,59483.55281,264955.2307,55578.90395,22417.89878,20081.90844,37379.04549,13848.99783,784050.5779,6481151.645,1395208.172,7784932.6,454055.8213,3940.866643,1961.943523,6335.358223,1399276.929,15237.98405,1182005.583,5509627.433,31100.78835,18886.64496,4747663.199,69727.9236,54281.99125,298097.5949,513042.1637,9712.844929,11014.36255,5939289.749,19064.95779,1830579.735,185380.1479,39388.41517,62468615.77,1647692.379,339590.1564,573261.7251,20474.78569,5056974.449,1669597.204,44266.15369,36434.05401,290284.1714,766807.5258,88679.54836,43002.82726,272086.4976,20115.97162,13513.80759,37231.57032,245686.3188,6463.849,32191.37931,2187.336417,6072238.844,26732.18259,26157.55896,10030.88763,367108.8861,329360.4895,307181.7325,288215.0307,52658.13987,32416.6627,143314.2741,9990.623587,4376120.663,4638.279926,26831.39483,1444.888635,187000.3636,9708.522294,1260.156974,19721.79674,26887.10018,7459.974363,71432.56303,159397.76,32124.74248,7549.848976,12550.42503,9799.476534,36078.57476,54297.26145,1825469.733,59206.53199,3432.106021,415167.2458,90697.11088,384200.1642,30423.96044,9532.894511,2409535.768,361373.5216,13662.86754,1612.226817,10734.43573,1823.002891,1820.321634,1423350.076,481123.2583,624655.1567,72473.7455,132372.9865,35315.44321,11094.27925,16595.43505,33573.32785
P3_C4,neg,cells,sample,cntrl,base,p3,9880.495421,4669.892942,565868.0286,634857.706,2032207.097,5427.887652,26300.68134,36499.88007,1848213.614,46167.57328,126361167.4,179287.8333,88714.79728,753847.5185,203994.0826,2619.322454,2213288.958,1872860.268,185548.5264,5647652.761,1702269.114,494985.3758,69966.10272,54923.67179,5188888.325,10647.25342,3792.629217,47938.67546,8736.629377,13300787.02,3247321.405,3852603.771,130049.1715,61207.95926,162697.5588,19005.80942,86292.36687,477774.5399,92756.80752,26293.26944,26435.98589,32504.18953,18884.79325,730661.988,5055329.363,1220769.894,5097475.183,301246.6264,5977.571367,902.9032458,3188.922473,1131143.554,10646.65004,775007.0404,4289598.452,37373.88078,16021.58498,4106496.272,124041.0709,67977.24807,372091.7531,436280.5808,10818.52833,7936.494538,4796870.746,13821.98679,1626116.554,165058.703,79364.00742,48977781.02,1147564.181,232285.6069,420927.1757,16055.52754,4671424.039,1358195.051,31451.63653,40955.50978,223680.5743,624637.462,115188.8234,49547.79477,159186.395,18065.72565,15220.67687,40207.15136,371961.5052,7947.2714,46470.28333,4988.334851,10983965.09,20429.85812,8114.991735,8105.110933,419260.4868,677723.9785,562359.7021,558481.9138,92780.54248,23175.11234,231035.3636,7403.28074,2953874.852,4049.026846,56986.25471,1156.035918,428619.8996,9402.506881,876.4342326,14357.71525,22679.43505,7541.93229,135624.7265,334311.3561,27208.77803,6390.107871,23112.42975,8983.674942,39131.2514,47143.99349,1875515.52,66830.24749,2604.722047,515308.1895,100486.2137,280806.6289,16060.5585,7015.973787,1800217.331,250875.7499,11254.75735,1197.879104,11657.61586,873.4228985,364.6849599,1201963.99,333696.6509,532088.8036,84939.64459,123801.575,21274.11601,7199.719738,10460.85517,21296.559
P3_FA_VPA3,neg,cells,sample,vpa,5X,p3,17915.86953,7351.644522,654957.076,644945.1936,3220115.116,7546.236208,30572.35097,58879.16481,1897181.335,38664.04518,137081321.5,311436.3866,96976.0602,1165420.924,163790.6039,4244.252761,3261149.981,5370470.185,231387.0037,6733167.135,2535354.832,1006585.674,117997.1215,33070.5723,7070495.087,10984.92192,2870.67816,98659.05443,12188.16146,17592243.99,5537284.25,6224556.616,133893.1775,98623.77197,330390.0648,39851.92261,58884.10692,136892.1715,44777.47318,28622.58203,66930.1815,43786.91296,29263.23315,946017.5839,8618619.97,1553521.845,8607373.796,687151.96,7279.653454,1824.630989,9821.999292,1508915.574,12981.45869,1210961.574,5844408.305,28491.36565,24577.97724,5712347.846,113831.8602,92860.46575,680973.1093,573400.9457,15638.01673,18709.54269,6541549.833,22629.55754,2226446.514,237878.6712,43836.06528,77182824.96,1277116.916,381746.953,629146.2014,50113.82993,6225247.23,1998647.524,44189.39165,94624.90145,429153.7078,897633.5512,89224.57849,46394.36103,256766.8999,23589.41696,17645.63605,32093.63032,140595.1736,5569.779324,22640.62234,2979.92762,8053566.701,31488.30883,15103.80689,15685.88739,399053.8396,368428.4738,303902.7701,288204.3479,53016.3699,37387.60442,115022.037,13874.91808,5054022.644,8466.913026,21088.56872,1933.839713,211510.2986,7759.730716,1211.306904,27335.76571,28106.72937,10138.58463,59885.60377,118506.601,29772.12722,8983.267007,11678.69638,8615.332809,22034.84507,47149.77012,1321088.137,59201.20306,4054.587284,448552.7251,91352.97772,508777.2308,24595.90943,15301.02978,3092435.758,483289.3446,15581.7229,3249.792241,21419.06067,2475.523835,2648.423449,1511359.026,857235.2752,701935.4438,79566.26729,141032.6737,44821.85958,11536.19429,21182.24201,44428.71251
P3_FA_VPA4,neg,cells,sample,vpa,5X,p3,13216.05951,3784.53997,451860.6296,412460.6559,1847128.677,4941.891932,22563.88311,31042.7759,1061516.895,35477.39821,103845743.3,185327.199,68981.20454,592065.1165,91421.04587,2113.64017,2019263.054,2960411.472,162253.156,3534965.154,1313229.981,513427.4879,76356.77405,33999.753,3935246.025,4670.381442,2596.769506,57909.51129,8422.419326,11648656.01,2572013.235,2974433.55,76714.52906,91706.25456,207142.2963,2722.826322,145798.7812,101574.9742,31779.61183,12917.23778,74153.92583,23857.39846,20047.02465,414094.4442,7291439.954,924717.8888,3716431.065,404511.2085,5232.964533,1309.846605,5199.383956,946470.3473,11298.56175,650965.721,3155521.823,20894.35593,12514.78904,3169455.926,55091.80624,52443.52808,263897.7884,311953.0302,4006.137999,6860.092768,4237072.273,25169.38013,1204399.072,124209.3619,23164.24902,45149028.65,1366599.048,172182.025,254585.3833,23239.81583,2967274.917,1186048.241,29148.27336,74588.48598,263971.8532,445357.9028,48183.21967,31312.18724,151014.218,27752.87886,5452.891097,18050.50753,77299.58732,3871.851686,10347.93444,1484.201212,3456050.047,15617.94396,15036.07166,3903.085408,349758.5184,126737.1032,189629.3041,128763.2636,21482.90556,17645.24782,76883.8409,5545.491806,2202108.778,1813.084753,11850.97321,961.1291418,89442.43122,5209.102194,1377.951642,5994.668023,13318.93387,7819.035883,32136.63937,54270.43069,27337.42962,8009.233635,2070.620884,13028.09634,12651.43031,32095.8267,1184807.444,23264.51453,237.5771943,171324.5923,28821.5256,192068.6118,8858.771298,5624.267894,1372450.038,165302.9303,7435.999478,1633.475347,18186.86166,499.2932956,369.3194013,798975.8802,366839.1838,343206.4757,22372.18105,142464.4925,15645.04917,1694.190105,11054.0207,20489.15473
P3_FA5,neg,cells,sample,cntrl,5X,p3,12001.07194,4943.689872,627902.0331,671662.5584,2471680.809,5522.946979,29302.73636,38328.27856,1795135.962,41193.63507,132208148.9,217548.1031,79850.88291,947409.2659,151523.7304,5028.911271,2686772.591,1820681.032,169898.8659,6501991.806,1923705.799,727955.938,90076.31815,45770.99571,6470983.006,9667.012457,3345.043072,104428.1716,12506.43869,15308020.16,4388000.012,4791174.416,141191.2423,89528.62007,189786.5807,33755.44276,66320.63961,273599.7711,64816.65064,27916.01758,22140.54408,37100.03261,26890.33027,835418.8986,6120856.093,1353828.236,5662465.43,503377.0331,8326.942322,902.6803789,5905.281855,1289843.35,12288.1046,866059.9884,4459338.89,29414.28089,12010.85614,4741255.183,136289.1882,81173.02352,621437.0416,463985.6929,12356.06663,9125.950349,5571519.726,12986.87904,1844023.186,194116.684,87120.58946,60880842.91,2307816.24,262642.5506,518998.5887,27721.44559,5706496.409,1438575.042,30290.2071,164240.0023,350334.7938,719651.6628,93225.28398,45257.77101,125964.5776,23113.19977,8101.923998,29624.45073,194254.8359,6501.287545,29006.21105,4557.355029,12650064.57,20616.84645,6591.803187,7025.054464,359312.1811,448184.239,405362.5989,381415.9649,61340.32408,25746.47985,163990.9972,5860.327259,3493393.597,4644.85125,44328.90343,1683.610614,492036.9726,8449.597362,1016.852988,18625.19004,18995.12936,10774.66691,70902.36736,194002.8262,24554.25687,8566.641905,13154.19717,10974.13223,15759.837,47248.94809,1420005.957,63584.03693,1570.009245,303837.5563,92765.67411,372019.2304,9651.334505,10285.75748,2087244.489,294952.7895,12801.19228,1682.125067,15612.50485,988.5894234,531.0571982,1253608.184,499074.33,582756.0997,70387.24303,139231.0202,27851.27605,6025.077247,14828.83164,32412.58805
P3_VPA4,neg,cells,sample,vpa,base,p3,16194.54563,10824.12857,1024494.412,1094401.632,4922769.293,8856.058985,48166.00429,95984.79243,2785866.295,55054.6757,141372580.8,395420.1415,126119.9751,2179213.392,386383.324,7689.504926,4889345.02,12772528.15,361106.2506,11338567.98,4037840.358,1302326.638,108026.7245,50011.47525,10809206.9,19499.64322,4249.332758,74683.11158,19088.68393,25259458.38,7316332.57,8688373.02,183447.5924,71108.08869,518500.5048,29913.87045,20402.52257,769632.4412,71600.98983,51128.99385,53818.56227,77655.35236,20124.77319,2020613.311,14074731.92,2274866.495,14025511.28,677376.9606,6953.158396,1076.453198,13827.42585,2247738.251,22622.01926,1033275.244,12786682.87,50855.50278,40887.44936,7559152.663,189913.034,116212.37,454121.804,802912.183,27013.18195,15990.61207,5620089.677,41977.98454,3608290.186,360830.335,87927.55954,118739543.3,3138659.617,657943.7017,1408730.538,73752.85244,11413637.49,2275092.167,63911.70094,121981.3535,539407.2076,1525330.475,123867.4106,67379.99392,654699.7242,16324.99397,51253.82583,76905.97948,349042.9049,8057.578184,51615.87875,6282.002386,9779726.101,69669.43626,62290.49414,17405.94632,357170.6729,583174.5093,444659.0067,424393.0564,106233.0827,71774.86696,601588.3329,22506.81277,10885406.21,17082.99476,39039.39322,1924.064354,300913.6108,6334.827895,1463.971342,76582.57755,75943.10508,4459.144242,88373.0613,268524.3489,26755.78093,4449.925135,17086.90978,7636.003676,49517.85809,88296.13678,2066366.898,99009.01607,11904.98002,1324672.955,214856.526,1076103.734,60384.25355,12311.59489,5385837.631,1303528.995,28030.11315,2772.602282,10737.39584,6396.311117,2077.131656,3475049.644,1106043.95,1479680.416,210032.5864,111622.8562,144110.1243,47305.62976,33943.91213,83898.88899
P3_VPA5,neg,cells,sample,vpa,base,p3,13409.46094,6052.674843,741298.3663,643569.1137,2917628.689,5736.478447,31875.95797,58345.49047,1980237.394,51526.29488,125873477,255715.1207,94332.14274,1222017.957,247147.2976,3203.949763,3304300.722,7608587.712,219093.4287,6718983.024,2330411.011,783624.8777,93328.16479,33201.38799,6593809.979,10087.12357,2418.425689,41360.35097,8408.293239,16287578.35,4301236.17,5248758.398,126939.972,69598.83046,367684.8051,17611.96307,31520.84388,373284.8711,57135.44799,29557.82223,31478.32354,45781.00673,24289.43748,1097706.429,11443252.3,1544275.448,7226176.105,500715.0981,4343.605224,713.6402095,5723.759263,1533597.509,15610.32435,1070819.34,7065780.644,34256.69348,28358.62049,5389877.809,128589.5232,75719.73793,335418.23,522414.6736,13953.76337,10428.39846,5278034.472,22814.25193,2231662.936,222130.6336,45630.15857,68397495.56,1390848.515,378797.4586,736320.1094,111179.1226,6030227.967,1800672.457,48452.23929,55327.23852,362177.6888,914460.9202,86184.48869,45335.35235,365357.9175,18047.203,31730.21483,52069.23319,247577.755,5647.7132,34791.87593,3212.916066,5828079.383,33307.86302,30254.14901,12800.89057,470880.925,313145.5164,341769.1793,322091.3437,72897.42277,35339.93422,152195.3516,14323.4465,5220566.177,6909.957248,27343.78505,1459.035048,208696.7273,9544.034794,1133.65482,30417.97248,36575.51956,7460.347173,73741.98598,185041.2532,36113.44726,6688.90678,14198.82759,9882.759116,37659.01668,51884.40446,1623493.238,68861.71184,5078.316072,770093.1851,124045.6879,531295.5061,37370.09837,10764.3387,3221176.116,566208.162,18062.78186,1668.568771,10419.02289,3507.552862,1065.67809,1942843.329,666603.3206,797964.5943,84852.70531,128386.9114,59131.87839,30314.71529,20301.89276,8502.313118
P4_C5,neg,cells,sample,cntrl,base,p4,8683.552577,4294.982451,559505.946,637584.0822,2235261.628,7034.634197,28980.58891,37811.71281,1909959.587,48740.80902,129173245.2,176387.2348,90976.32191,809657.5241,248477.839,16521.89383,2113754.145,2355236.431,189374.8455,6046608.13,1884743.411,497867.0532,58077.08456,61238.87688,5462716.656,10066.40929,3787.011072,46002.01711,8865.886286,14271478.95,3580383.216,3925133.326,130152.5199,65460.93395,198134.0433,13070.13695,64172.01498,558812.5107,116953.0588,26982.829,21838.27252,36455.40942,10703.34091,800004.9867,6650459.909,1324780.187,4707121.215,342405.7926,5177.381361,929.2209897,2950.598867,1174991.951,12962.81153,880508.4865,5206495.163,39475.39418,16884.50158,4261775.699,148803.1868,75028.43726,305298.8911,435221.5896,12884.55852,9605.635412,5589840.452,14181.25835,1682371.716,172012.1825,94829.62657,51166841.55,2475096.996,248215.1861,517332.6344,64378.8152,4745685.589,1302079.319,30455.14426,76105.95002,266376.721,631150.7089,106380.5847,58169.55931,146293.6974,18411.1789,6149.170037,47694.40957,546793.5054,12275.4575,64004.01292,6766.153762,12058109.76,24815.50522,5539.616771,7260.229766,506033.3416,795559.81,805006.3498,776627.7009,115120.4274,23748.70927,184610.8883,6967.720944,2901077.636,5741.920337,86903.03663,1036.77487,478644.9537,14293.69235,943.488278,17448.75959,26829.29099,6207.823967,157358.0227,621781.0826,35261.61469,6376.612257,31021.85317,9213.731217,35140.07261,58480.66021,2256210.35,82895.2291,2237.944356,359837.9179,131478.68,233588.1034,13076.06306,6286.788826,1420742.296,198681.998,16139.32164,1221.870013,12191.90704,1506.089958,444.1630217,1303906.375,317734.5159,655545.997,78913.88708,168312.4432,20271.28897,9007.153834,12218.34551,608.4250705
